Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",161,234,"7.06 GB","64.39 Kbps"
2,"Top > Engineering Quad > C Wing",29,38,"6.20 GB","206.79 Kbps"
3,"Top > 199 Nassau St.",9,9,"5.23 GB","797.61 Kbps"
4,"Top > Jadwin Hall",68,87,"4.58 GB","34.90 Kbps"
5,"Top > Frick Chemistry Laboratory",100,111,"4.35 GB","42.14 Kbps"
6,"Top > Architecture Building",49,76,"4.08 GB","103.69 Kbps"
7,"Top > Firestone Library",77,89,"3.94 GB","21.36 Kbps"
8,"Top > Engineering Quad > E Wing",19,23,"2.80 GB","76.62 Kbps"
9,"Top > 20 Washington Road (Old Frick)",63,73,"2.58 GB","16.22 Kbps"
10,"Top > 701 Carnegie",64,64,"2.56 GB","78.04 Kbps"
11,"Top > Wallace Hall",29,29,"2.42 GB","69.71 Kbps"
12,"Top > Carl Icahn",58,73,"2.21 GB","26.48 Kbps"
13,"Top > 228 Alexander St.",13,14,"1.90 GB","92.30 Kbps"
14,"Top > New South Building",41,73,"1.75 GB","47.96 Kbps"
15,"Top > 185 Nassau St.",19,29,"1.73 GB","18.68 Kbps"
16,"Top > Fine Hall",41,73,"1.49 GB","14.42 Kbps"
17,"Top > Sherrerd Hall",53,57,"1.49 GB","27.83 Kbps"
18,"Top > 200 Elm Dr.",28,46,"1.37 GB","86.14 Kbps"
19,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",5,5,"1.27 GB","79.95 Kbps"
20,"Top > 48 Unversity Place",14,46,"1.26 GB","58.62 Kbps"
21,"Top > Neuro-Institute-Psych",123,133,"1.13 GB","8.27 Kbps"
22,"Top > McCosh Infirmary",52,100,"1.12 GB","16.82 Kbps"
23,"Top > Woolworth Music Center",26,74,"1.08 GB","19.58 Kbps"
24,"Top > 58 Prospect",15,23,"1.08 GB","41.10 Kbps"
25,"Top > Campus Club",6,36,"1.02 GB","57.07 Kbps"
26,"Top > Andlinger",36,37,"830.63 MB","12.31 Kbps"
27,"Top > Engineering Quad > F Wing",19,24,"712.63 MB","63.35 Kbps"
28,"Top > Lowrie House",12,12,"698.02 MB","49.64 Kbps"
29,"Top > Dillon Gym",57,133,"692.18 MB","11.72 Kbps"
30,"Top > 22 Chambers St.",15,19,"658.09 MB","41.29 Kbps"
31,"Top > Engineering Quad > J Wing",28,28,"592.31 MB","16.63 Kbps"
32,"Top > Guyot Hall",70,112,"592.08 MB","4.51 Kbps"
33,"Top > 4 Mercer",1,3,"553.68 MB","147.65 Kbps"
34,"Top > Jadwin Gym",29,34,"514.80 MB","7.13 Kbps"
35,"Top > Peyton Hall",18,29,"405.66 MB","6.36 Kbps"
36,"Top > McCosh Hall",26,52,"404.43 MB","10.78 Kbps"
37,"Top > 36 University Place",27,84,"372.61 MB","7.79 Kbps"
38,"Top > Computer Science",42,47,"356.16 MB","7.75 Kbps"
39,"Top > Engineering Quad > B Wing",20,21,"340.28 MB","7.56 Kbps"
40,"Top > Thomas Laboratory",32,62,"326.97 MB","3.45 Kbps"
41,"Top > Moffett-Schultz Laboratory",33,54,"312.68 MB","4.33 Kbps"
42,"Top > Robertson Hall",33,54,"311.63 MB","4.62 Kbps"
43,"Top > East Pyne Building",37,73,"298.07 MB","4.97 Kbps"
44,"Top > Engineering Quad > D Wing",29,33,"218.28 MB","5.41 Kbps"
45,"Top > Lewis Science Library",37,48,"200.37 MB","4.45 Kbps"
46,"Top > Friend Center",12,14,"159.61 MB","3.34 Kbps"
47,"Top > 306 Alexander",19,25,"144.84 MB","15.45 Kbps"
48,"Top > Architecture Lab",11,15,"138.17 MB","36.84 Kbps"
49,"Top > Clio Hall",9,21,"137.64 MB","6.12 Kbps"
50,"Top > LCA",1,1,"135.50 MB","36.13 Kbps"
51,"Top > McDonnell Hall",15,22,"131.18 MB","4.12 Kbps"
52,"Top > MacMillan Building",47,51,"126 MB","2.86 Kbps"
53,"Top > Nassau Hall",21,42,"110.86 MB","1.74 Kbps"
54,"Top > Caldwell Field House",11,12,"100.02 MB","1.69 Kbps"
55,"Top > Bowen Hall",11,12,"87.59 MB","1.61 Kbps"
56,"Top > Dillon Court East/West",13,54,"70.46 MB","3.01 Kbps"
57,"Top > DeNunzio Pool",2,2,"67.12 MB","3.77 Kbps"
58,"Top > Baker Rink",12,71,"62.54 MB","1.96 Kbps"
59,"Top > 330 Alexander St.",14,17,"60.18 MB","2.57 Kbps"
60,"Top > 1879 Hall",26,81,"48.24 MB","1.17 Kbps"
61,"Top > Palmer House",6,7,"48.01 MB","2.84 Kbps"
62,"Top > 282 Alexander",4,10,"47.88 MB","7.30 Kbps"
