Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",595,772,"95.59 GB","517.60 Kbps"
2,"Top > Frist Campus Center",385,1296,"68.23 GB","647.80 Kbps"
3,"Top > Lewis Science Library",157,276,"33.74 GB","749.79 Kbps"
4,"Top > East Pyne Building",165,1190,"24.26 GB","404.32 Kbps"
5,"Top > Jadwin Hall",95,243,"23.57 GB","179.58 Kbps"
6,"Top > Architecture Building",102,481,"23.35 GB","593 Kbps"
7,"Top > Frick Chemistry Laboratory",192,289,"19.10 GB","192.06 Kbps"
8,"Top > Dillon Gym",161,712,"19.03 GB","322.27 Kbps"
9,"Top > 20 Washington Road (Old Frick)",189,505,"14.48 GB","90.85 Kbps"
10,"Top > Engineering Quad > C Wing",64,195,"13.84 GB","461.45 Kbps"
11,"Top > Neuro-Institute-Psych",173,219,"11.32 GB","82.67 Kbps"
12,"Top > Wallace Hall",93,159,"9.83 GB","283.49 Kbps"
13,"Top > Fine Hall",82,491,"9.60 GB","93.10 Kbps"
14,"Top > 1879 Hall",97,1202,"8.38 GB","203.20 Kbps"
15,"Top > Engineering Quad > E Wing",39,139,"7.97 GB","217.98 Kbps"
16,"Top > 58 Prospect",34,141,"6.59 GB","250.92 Kbps"
17,"Top > Princeton Stadium",93,185,"6.39 GB","75.74 Kbps"
18,"Top > Bobst Hall",10,29,"6.38 GB","296.06 Kbps"
19,"Top > Woolworth Music Center",83,702,"6.28 GB","113.60 Kbps"
20,"Top > Guyot Hall",106,554,"6.26 GB","47.72 Kbps"
21,"Top > Carl Icahn",73,225,"6.04 GB","72.42 Kbps"
22,"Top > Chapel",36,500,"5.77 GB","473.64 Kbps"
23,"Top > Jadwin Gym",85,136,"5.63 GB","78.05 Kbps"
24,"Top > Andlinger",83,130,"4.97 GB","73.63 Kbps"
25,"Top > Computer Science",61,209,"4.84 GB","105.30 Kbps"
26,"Top > Friend Center",46,108,"4.34 GB","94.49 Kbps"
27,"Top > Fisher-Bendheim-Corwin",105,342,"4.10 GB","79.47 Kbps"
28,"Top > Robertson Hall",67,614,"4.01 GB","61.84 Kbps"
29,"Top > Sherrerd Hall",87,104,"4.01 GB","74.98 Kbps"
30,"Top > McCarter Theater",119,528,"3.94 GB","55.34 Kbps"
31,"Top > 185 Nassau St.",47,394,"3.93 GB","42.30 Kbps"
32,"Top > Prospect House",61,777,"3.89 GB","129.62 Kbps"
33,"Top > Engineering Quad > F Wing",42,134,"3.86 GB","343.10 Kbps"
34,"Top > 36 University Place",85,625,"3.80 GB","79.38 Kbps"
35,"Top > Moffett-Schultz Laboratory",54,205,"3.53 GB","48.97 Kbps"
36,"Top > 693 Alexander Rd.",28,28,"3.52 GB","91.54 Kbps"
37,"Top > Roberts Stadium",108,364,"3.51 GB","249.47 Kbps"
38,"Top > DeNunzio Pool",52,97,"3.13 GB","175.94 Kbps"
39,"Top > Thomas Laboratory",62,259,"3.07 GB","32.40 Kbps"
40,"Top > Bowen Hall",13,25,"3.01 GB","55.29 Kbps"
41,"Top > McCosh Hall",54,549,"2.91 GB","77.50 Kbps"
42,"Top > McCosh Infirmary",65,459,"2.90 GB","43.62 Kbps"
43,"Top > 701 Carnegie",60,61,"2.76 GB","87.56 Kbps"
44,"Top > Peyton Hall",84,234,"2.51 GB","39.37 Kbps"
45,"Top > Engineering Quad > B Wing",37,83,"2.12 GB","47.04 Kbps"
46,"Top > Caldwell Field House",30,88,"1.88 GB","31.80 Kbps"
47,"Top > Engineering Quad > A Wing",36,59,"1.82 GB","77.50 Kbps"
48,"Top > Shea Rowing Center",40,72,"1.74 GB","68.77 Kbps"
49,"Top > 4 Mercer",11,82,"1.54 GB","411.33 Kbps"
50,"Top > Campus Club",35,552,"1.50 GB","84.14 Kbps"
51,"Top > Engineering Quad > J Wing",29,63,"1.43 GB","40.08 Kbps"
52,"Top > West Windsor Maintenance Yard",9,29,"1.38 GB","489.81 Kbps"
53,"Top > New South Building",54,218,"1.36 GB","37.13 Kbps"
54,"Top > Friend Center > Friend Center Event APs",17,55,"1.29 GB","152.87 Kbps"
55,"Top > Elementary Particles Lab",21,91,"1.25 GB","57.99 Kbps"
56,"Top > 200 Elm Dr.",31,72,"1.24 GB","78.07 Kbps"
57,"Top > MacMillan Building",81,125,"1.02 GB","23.20 Kbps"
58,"Top > 194 Nassau St.",25,260,"922.98 MB","41.02 Kbps"
59,"Top > 179-183 Nassau St.",31,184,"853.68 MB","303.53 Kbps"
60,"Top > Alexander Hall",58,223,"832.84 MB","59.22 Kbps"
61,"Top > Engineering Quad > D Wing",36,87,"790.85 MB","19.62 Kbps"
62,"Top > Nassau Hall",52,682,"771.52 MB","12.10 Kbps"
63,"Top > 221 Nassau St.",39,220,"762.87 MB","54.25 Kbps"
64,"Top > Architecture Lab",33,164,"678.14 MB","180.84 Kbps"
65,"Top > Maclean House",44,473,"676.66 MB","103.11 Kbps"
66,"Top > Princeton Station",24,156,"631.93 MB","96.29 Kbps"
67,"Top > 22 Chambers St.",25,115,"616.37 MB","38.67 Kbps"
68,"Top > Dickinson Hall",28,434,"571.64 MB","16.05 Kbps"
69,"Top > 48 Unversity Place",45,366,"542.02 MB","25.14 Kbps"
70,"Top > Engineering Quad > G Wing",13,20,"498.88 MB","33.26 Kbps"
71,"Top > 201 Nassau St.",37,264,"495.80 MB","35.26 Kbps"
