Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",421,578,"70.90 GB","383.88 Kbps"
2,"Top > Robertson Hall",594,2770,"35.90 GB","554.06 Kbps"
3,"Top > Computer Science",105,237,"31.66 GB","689.12 Kbps"
4,"Top > Campus Club",498,2496,"20.69 GB","1.16 Mbps"
5,"Top > Friend Center",126,188,"19.82 GB","430.53 Kbps"
6,"Top > Lewis Science Library",116,179,"18.34 GB","407.51 Kbps"
7,"Top > 20 Washington Road (Old Frick)",300,1592,"17.76 GB","111.44 Kbps"
8,"Top > Architecture Building",158,1687,"16.68 GB","423.50 Kbps"
9,"Top > 1879 Hall",437,3646,"16.39 GB","397.23 Kbps"
10,"Top > Frist Campus Center",212,1930,"15.71 GB","149.04 Kbps"
11,"Top > Jadwin Hall",86,182,"13.12 GB","99.93 Kbps"
12,"Top > Prospect House",129,1388,"12.43 GB","414.35 Kbps"
13,"Top > Engineering Quad > C Wing",49,147,"11.87 GB","395.60 Kbps"
14,"Top > Fisher-Bendheim-Corwin",306,1742,"11.56 GB","224.23 Kbps"
15,"Top > Frick Chemistry Laboratory",161,207,"11.21 GB","112.83 Kbps"
16,"Top > Wallace Hall",101,152,"10.82 GB","311.78 Kbps"
17,"Top > Neuro-Institute-Psych",149,178,"9.53 GB","69.64 Kbps"
18,"Top > Engineering Quad > E Wing",47,105,"8.06 GB","220.42 Kbps"
19,"Top > Peyton Hall",25,132,"8.02 GB","125.82 Kbps"
20,"Top > Fine Hall",68,353,"7.85 GB","76.14 Kbps"
21,"Top > East Pyne Building",62,719,"7.75 GB","129.23 Kbps"
22,"Top > Guyot Hall",87,492,"7.14 GB","54.39 Kbps"
23,"Top > Sherrerd Hall",92,129,"6.49 GB","121.42 Kbps"
24,"Top > Dillon Gym",159,694,"6.35 GB","107.53 Kbps"
25,"Top > Carl Icahn",72,139,"5.87 GB","70.41 Kbps"
26,"Top > Eno Hall",25,173,"5.41 GB","577.21 Kbps"
27,"Top > Andlinger",42,75,"4.63 GB","68.53 Kbps"
28,"Top > Woolworth Music Center",98,1898,"4.14 GB","74.79 Kbps"
29,"Top > Thomas Laboratory",62,211,"3.75 GB","39.61 Kbps"
30,"Top > McCarter Theater",96,492,"3.56 GB","50.03 Kbps"
31,"Top > Bobst Hall",13,55,"3.39 GB","157.28 Kbps"
32,"Top > 693 Alexander Rd.",28,29,"3.33 GB","86.73 Kbps"
33,"Top > Engineering Quad > F Wing",29,98,"3.19 GB","283.55 Kbps"
34,"Top > Moffett-Schultz Laboratory",49,205,"2.73 GB","37.83 Kbps"
35,"Top > Chapel",82,399,"2.13 GB","174.59 Kbps"
36,"Top > Palmer House",12,85,"1.84 GB","108.77 Kbps"
37,"Top > DeNunzio Pool",45,71,"1.78 GB","99.87 Kbps"
38,"Top > 58 Prospect",149,804,"1.71 GB","65.30 Kbps"
39,"Top > Bendheim Center for Finance",345,1816,"1.66 GB","104.20 Kbps"
40,"Top > Von Neumann Hall",10,27,"1.64 GB","145.50 Kbps"
41,"Top > Engineering Quad > J Wing",25,44,"1.53 GB","42.90 Kbps"
42,"Top > Jadwin Gym",32,63,"1.45 GB","20.10 Kbps"
43,"Top > Engineering Quad > A Wing",18,35,"1.40 GB","59.86 Kbps"
44,"Top > Friend Center > Friend Center Event APs",14,87,"1.40 GB","165.34 Kbps"
45,"Top > Hoyt Lab",18,125,"1.35 GB","40.05 Kbps"
46,"Top > Engineering Quad > B Wing",26,58,"1.30 GB","28.87 Kbps"
47,"Top > 228 Alexander St.",13,43,"1.26 GB","61.29 Kbps"
48,"Top > Engineering Quad > D Wing",34,68,"1.18 GB","29.18 Kbps"
49,"Top > 36 University Place",56,442,"1.03 GB","21.59 Kbps"
50,"Top > Alexander Hall",45,180,"1.03 GB","72.96 Kbps"
51,"Top > Lowrie House",13,13,"942.29 MB","67.01 Kbps"
52,"Top > 306 Alexander",21,77,"875.70 MB","93.41 Kbps"
53,"Top > Nassau Hall",41,479,"848.51 MB","13.31 Kbps"
