Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",322,918,"17.84 GB","162.67 Kbps"
2,"Top > Neuro-Institute-Psych",122,135,"16.95 GB","123.86 Kbps"
3,"Top > Jadwin Hall",68,116,"15.83 GB","120.64 Kbps"
4,"Top > Architecture Building",91,211,"15.79 GB","401 Kbps"
5,"Top > Carl Icahn",60,99,"12.48 GB","149.61 Kbps"
6,"Top > Engineering Quad > C Wing",40,77,"7.63 GB","254.19 Kbps"
7,"Top > Frick Chemistry Laboratory",87,103,"6.90 GB","66.88 Kbps"
8,"Top > Fine Hall",63,187,"5.46 GB","52.99 Kbps"
9,"Top > 693 Alexander Rd.",25,25,"4.91 GB","127.67 Kbps"
10,"Top > Sherrerd Hall",60,70,"4.82 GB","90.18 Kbps"
11,"Top > East Pyne Building",49,180,"4.10 GB","68.37 Kbps"
12,"Top > Engineering Quad > D Wing",27,38,"3.89 GB","96.47 Kbps"
13,"Top > Wallace Hall",35,42,"3.51 GB","101.20 Kbps"
14,"Top > Eno Hall",24,79,"3.50 GB","373.85 Kbps"
15,"Top > 22 Chambers St.",16,24,"3.31 GB","207.75 Kbps"
16,"Top > 701 Carnegie",60,60,"3.07 GB","93.47 Kbps"
17,"Top > Engineering Quad > E Wing",19,38,"2.45 GB","67.03 Kbps"
18,"Top > 185 Nassau St.",22,69,"2.24 GB","24.10 Kbps"
19,"Top > 36 University Place",70,331,"2.13 GB","44.56 Kbps"
20,"Top > Robertson Hall",70,613,"1.73 GB","25.66 Kbps"
21,"Top > McDonnell Hall",15,19,"1.37 GB","42.88 Kbps"
22,"Top > Peyton Hall",18,47,"1.29 GB","20.21 Kbps"
23,"Top > Hoyt Lab",11,31,"1.25 GB","36.98 Kbps"
24,"Top > Guyot Hall",68,237,"1.12 GB","8.50 Kbps"
25,"Top > McCarter Theater",84,220,"932.46 MB","13.09 Kbps"
26,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",6,8,"900.93 MB","56.53 Kbps"
27,"Top > Engineering Quad > J Wing",30,37,"887.54 MB","24.91 Kbps"
28,"Top > 200 Elm Dr.",36,73,"816.90 MB","51.26 Kbps"
29,"Top > Lewis Science Library",38,52,"784.99 MB","17.44 Kbps"
30,"Top > Andlinger",35,36,"780.10 MB","11.56 Kbps"
31,"Top > Fisher-Bendheim-Corwin",30,159,"745.42 MB","14.46 Kbps"
32,"Top > 87 Prospect",26,26,"725.51 MB","33.65 Kbps"
33,"Top > Lowrie House",12,12,"651 MB","46.29 Kbps"
34,"Top > Engineering Quad > F Wing",25,62,"639.51 MB","56.85 Kbps"
35,"Top > Thomas Laboratory",39,87,"631.42 MB","6.67 Kbps"
36,"Top > Computer Science",53,105,"613.62 MB","13.36 Kbps"
37,"Top > Woolworth Music Center",33,386,"591.67 MB","10.70 Kbps"
38,"Top > Prospect House",47,513,"582.44 MB","19.41 Kbps"
39,"Top > Friend Center > Friend Center Event APs",4,9,"560.93 MB","66.48 Kbps"
40,"Top > McCosh Infirmary",72,431,"535.30 MB","8.04 Kbps"
41,"Top > Campus Club",18,352,"508.80 MB","28.56 Kbps"
42,"Top > New South Building",45,128,"477.28 MB","13.05 Kbps"
