Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",447,656,"49.74 GB","269.33 Kbps"
2,"Top > Frist Campus Center",375,911,"31.29 GB","297.04 Kbps"
3,"Top > Neuro-Institute-Psych",259,361,"26.01 GB","190.02 Kbps"
4,"Top > 20 Washington Road (Old Frick)",209,563,"21.58 GB","135.38 Kbps"
5,"Top > East Pyne Building",155,737,"19.71 GB","328.58 Kbps"
6,"Top > Dillon Gym",167,575,"18.88 GB","319.73 Kbps"
7,"Top > Engineering Quad > E Wing",107,289,"16.57 GB","453.11 Kbps"
8,"Top > Robertson Hall",241,538,"15.92 GB","245.63 Kbps"
9,"Top > Jadwin Hall",182,387,"14.27 GB","108.76 Kbps"
10,"Top > Guyot Hall",182,627,"13.91 GB","105.97 Kbps"
11,"Top > Engineering Quad > D Wing",71,174,"13.44 GB","333.48 Kbps"
12,"Top > Thomas Laboratory",137,319,"12.66 GB","133.74 Kbps"
13,"Top > 701 Carnegie",283,342,"11.66 GB","370.13 Kbps"
14,"Top > 221 Nassau St.",52,225,"11.50 GB","817.53 Kbps"
15,"Top > Architecture Building",82,234,"11.34 GB","288.10 Kbps"
16,"Top > Engineering Quad > C Wing",103,378,"11.20 GB","373.34 Kbps"
17,"Top > McCosh Infirmary",135,362,"10.22 GB","153.57 Kbps"
18,"Top > Frick Chemistry Laboratory",265,383,"9.80 GB","98.63 Kbps"
19,"Top > MacMillan Building",215,371,"9.56 GB","216.90 Kbps"
20,"Top > Carl Icahn",115,290,"9.04 GB","108.39 Kbps"
21,"Top > Computer Science",100,388,"7.99 GB","173.97 Kbps"
22,"Top > Sherrerd Hall",101,186,"7.47 GB","139.73 Kbps"
23,"Top > Wallace Hall",111,198,"7.25 GB","208.95 Kbps"
24,"Top > Fine Hall",132,584,"6.73 GB","65.30 Kbps"
25,"Top > Lewis Science Library",90,128,"6.71 GB","149.14 Kbps"
26,"Top > New South Building",202,401,"6.53 GB","178.62 Kbps"
27,"Top > 22 Chambers St.",92,169,"6.46 GB","405.58 Kbps"
28,"Top > 693 Alexander Rd.",82,100,"6.45 GB","167.87 Kbps"
29,"Top > Andlinger",97,216,"6.17 GB","91.48 Kbps"
30,"Top > Shea Rowing Center",119,174,"5.51 GB","217.72 Kbps"
31,"Top > Moffett-Schultz Laboratory",88,295,"5.47 GB","75.79 Kbps"
32,"Top > PU Press",90,247,"5 GB","113.58 Kbps"
33,"Top > Engineering Quad > J Wing",62,164,"4.71 GB","132.20 Kbps"
34,"Top > Friend Center",46,132,"4.13 GB","89.92 Kbps"
35,"Top > Peyton Hall",72,299,"3.84 GB","60.27 Kbps"
36,"Top > 200 Elm Dr.",73,137,"3.75 GB","235.56 Kbps"
37,"Top > Engineering Quad > G Wing",61,99,"3.65 GB","243.37 Kbps"
38,"Top > Fisher-Bendheim-Corwin",100,346,"3.55 GB","68.85 Kbps"
39,"Top > Engineering Quad > A Wing",59,130,"3.25 GB","138.49 Kbps"
40,"Top > Engineering Quad > B Wing",49,136,"3.15 GB","70.10 Kbps"
41,"Top > 228 Alexander St.",38,77,"2.96 GB","143.58 Kbps"
42,"Top > Jadwin Gym",61,160,"2.83 GB","39.20 Kbps"
43,"Top > Nassau Hall",82,397,"2.79 GB","43.72 Kbps"
44,"Top > Woolworth Music Center",51,339,"2.67 GB","48.33 Kbps"
45,"Top > 36 University Place",84,298,"2.66 GB","55.65 Kbps"
46,"Top > 87 Prospect",78,106,"2.61 GB","121.08 Kbps"
47,"Top > Dickinson Hall",40,351,"2.49 GB","69.84 Kbps"
48,"Top > West College",80,180,"2.39 GB","70.77 Kbps"
49,"Top > 194 Nassau St.",44,200,"2.35 GB","104.50 Kbps"
50,"Top > McCosh Hall",62,302,"2.15 GB","57.44 Kbps"
51,"Top > Prospect House",80,413,"1.99 GB","66.38 Kbps"
52,"Top > Hoyt Lab",35,167,"1.98 GB","58.55 Kbps"
53,"Top > 330 Alexander St.",116,211,"1.93 GB","82.22 Kbps"
54,"Top > Princeton Stadium",29,158,"1.93 GB","22.82 Kbps"
55,"Top > Baker Rink",54,480,"1.91 GB","59.87 Kbps"
56,"Top > Jones Hall",82,312,"1.83 GB","61.72 Kbps"
57,"Top > Caldwell Field House",31,84,"1.81 GB","30.61 Kbps"
58,"Top > 185 Nassau St.",68,317,"1.71 GB","18.44 Kbps"
59,"Top > Elementary Particles Lab",23,108,"1.68 GB","77.88 Kbps"
60,"Top > 306 Alexander",49,207,"1.63 GB","173.91 Kbps"
61,"Top > Princeton Station",28,210,"1.58 GB","240.79 Kbps"
62,"Top > McDonnell Hall",18,52,"1.53 GB","49.87 Kbps"
63,"Top > Von Neumann Hall",21,64,"1.48 GB","131.21 Kbps"
64,"Top > Bowen Hall",25,74,"1.41 GB","25.86 Kbps"
65,"Top > 1879 Hall",65,840,"1.40 GB","34 Kbps"
66,"Top > Engineering Quad > F Wing",25,164,"1.40 GB","124.45 Kbps"
67,"Top > 169 Nassau St.",23,126,"1.22 GB","433.52 Kbps"
68,"Top > GBM-Trailer",23,200,"1.15 GB","175.83 Kbps"
69,"Top > Eno Hall",27,120,"1.12 GB","119.80 Kbps"
70,"Top > McCarter Theater",77,400,"1.09 GB","16.33 Kbps"
71,"Top > Bendheim Center for Finance",18,176,"1.08 GB","67.61 Kbps"
72,"Top > 91 Prospect Ave.",28,75,"1.06 GB","62.83 Kbps"
73,"Top > 48 Unversity Place",28,222,"1.04 GB","48.01 Kbps"
74,"Top > Friend Center > Friend Center Event APs",17,77,"1.02 GB","121.13 Kbps"
75,"Top > 5 Ivy Lane",16,46,"1 GB","66.68 Kbps"
76,"Top > DeNunzio Pool",14,54,"964.33 MB","54.14 Kbps"
77,"Top > Forrestal Campus > Gas Dynamics",22,34,"955.14 MB","36.39 Kbps"
78,"Top > LCA",18,34,"914.44 MB","243.85 Kbps"
79,"Top > Chapel",19,406,"704.89 MB","57.84 Kbps"
80,"Top > Cordish Family Pavilion",2,13,"687.86 MB","191.07 Kbps"
81,"Top > Dillon Court East/West",38,223,"656.86 MB","28.03 Kbps"
82,"Top > 16 Stockton St.",10,56,"636.20 MB","678.62 Kbps"
83,"Top > Clio Hall",34,186,"623.05 MB","27.69 Kbps"
84,"Top > 755 Alexander Rd.",28,52,"527.20 MB","12.23 Kbps"
85,"Top > Palmer House",11,69,"524.46 MB","31.08 Kbps"
86,"Top > Stanhope Hall",16,223,"512.27 MB","30.36 Kbps"
87,"Top > Campus Club",25,427,"495.53 MB","27.82 Kbps"
88,"Top > Sayre Hall",11,36,"430.83 MB","47.87 Kbps"
89,"Top > Forrestal Campus > Recap",13,13,"401.21 MB","106.99 Kbps"
90,"Top > West Windsor Maintenance Yard",15,50,"398.06 MB","141.53 Kbps"
91,"Top > Mudd Library",22,171,"387.05 MB","8.60 Kbps"
92,"Top > Architecture Lab",35,192,"369.90 MB","98.64 Kbps"
