Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",396,616,"56.63 GB","319.42 Kbps"
2,"Top > Frist Campus Center",234,1521,"27.27 GB","258.98 Kbps"
3,"Top > Lewis Science Library",134,228,"22.64 GB","524.07 Kbps"
4,"Top > Computer Science",73,247,"18.30 GB","414.88 Kbps"
5,"Top > Architecture Building",106,597,"17.93 GB","474.26 Kbps"
6,"Top > Dillon Gym",186,839,"13.78 GB","242.95 Kbps"
7,"Top > Neuro-Institute-Psych",154,196,"13.71 GB","104.34 Kbps"
8,"Top > Wallace Hall",94,141,"12.80 GB","384.28 Kbps"
9,"Top > McCarter Theater",332,797,"12.64 GB","184.72 Kbps"
10,"Top > Sherrerd Hall",75,92,"12.48 GB","243.35 Kbps"
11,"Top > Prospect House",159,1287,"12.07 GB","419.14 Kbps"
12,"Top > Jadwin Hall",111,284,"11.43 GB","90.69 Kbps"
13,"Top > Frick Chemistry Laboratory",167,217,"11.13 GB","112.45 Kbps"
14,"Top > East Pyne Building",136,1055,"10.83 GB","188.09 Kbps"
15,"Top > Engineering Quad > E Wing",48,150,"9.66 GB","275.29 Kbps"
16,"Top > Friend Center",78,142,"9.23 GB","201.04 Kbps"
17,"Top > Fine Hall",81,500,"8.22 GB","83.02 Kbps"
18,"Top > Bobst Hall",13,72,"7.71 GB","372.60 Kbps"
19,"Top > Chapel",125,548,"7.25 GB","619.58 Kbps"
20,"Top > Woolworth Music Center",91,1187,"6.34 GB","119.32 Kbps"
21,"Top > 20 Washington Road (Old Frick)",123,486,"5.88 GB","38.41 Kbps"
22,"Top > Roberts Stadium",84,277,"5.76 GB","426.44 Kbps"
23,"Top > Carl Icahn",76,166,"5.46 GB","68.12 Kbps"
24,"Top > 1879 Hall",158,2101,"5.04 GB","127.15 Kbps"
25,"Top > Engineering Quad > F Wing",50,160,"4.72 GB","436.97 Kbps"
26,"Top > McCosh Infirmary",61,411,"4.24 GB","66.37 Kbps"
27,"Top > Guyot Hall",108,527,"3.87 GB","30.68 Kbps"
28,"Top > 185 Nassau St.",37,351,"3.25 GB","36.53 Kbps"
29,"Top > Engineering Quad > B Wing",29,72,"3.21 GB","74.32 Kbps"
30,"Top > Lowrie House",12,14,"3.21 GB","237.69 Kbps"
31,"Top > Engineering Quad > C Wing",61,213,"3.14 GB","108.87 Kbps"
32,"Top > Palmer House",12,71,"2.58 GB","159.50 Kbps"
33,"Top > Shea Rowing Center",29,48,"2.30 GB","94.83 Kbps"
34,"Top > Engineering Quad > J Wing",38,61,"2.30 GB","67.13 Kbps"
35,"Top > Moffett-Schultz Laboratory",48,215,"2.23 GB","32.19 Kbps"
36,"Top > Peyton Hall",38,188,"2.10 GB","34.28 Kbps"
37,"Top > 36 University Place",127,631,"2.01 GB","43.76 Kbps"
38,"Top > 693 Alexander Rd.",26,26,"1.95 GB","52.95 Kbps"
39,"Top > Campus Club",130,1254,"1.81 GB","105.80 Kbps"
40,"Top > Friend Center > Friend Center Event APs",31,77,"1.65 GB","203.13 Kbps"
41,"Top > Thomas Laboratory",48,234,"1.58 GB","17.37 Kbps"
42,"Top > McDonnell Hall",16,62,"1.52 GB","49.77 Kbps"
43,"Top > McCosh Hall",40,589,"1.41 GB","39.24 Kbps"
44,"Top > 701 Carnegie",58,59,"1.41 GB","44.76 Kbps"
45,"Top > Architecture Lab",31,104,"1.38 GB","383.09 Kbps"
46,"Top > Caldwell Field House",29,55,"1.31 GB","23.06 Kbps"
47,"Top > Andlinger",86,118,"1.28 GB","19.69 Kbps"
48,"Top > 48 Unversity Place",44,361,"1.25 GB","60.54 Kbps"
49,"Top > 58 Prospect",27,202,"1.24 GB","49.17 Kbps"
50,"Top > Robertson Hall",126,1230,"1.21 GB","18.65 Kbps"
51,"Top > Dickinson Hall",36,377,"1.15 GB","33.70 Kbps"
52,"Top > Fisher-Bendheim-Corwin",51,438,"1.10 GB","22.29 Kbps"
53,"Top > Hoyt Lab",24,138,"1.05 GB","32.44 Kbps"
54,"Top > 330 Alexander St.",19,74,"923.68 MB","41.05 Kbps"
55,"Top > 221 Nassau St.",35,239,"853.73 MB","63.24 Kbps"
56,"Top > 179-183 Nassau St.",32,210,"801.33 MB","296.79 Kbps"
57,"Top > Princeton Station",14,105,"763.08 MB","121.12 Kbps"
58,"Top > 200 Elm Dr.",36,83,"614.34 MB","40.15 Kbps"
59,"Top > Jadwin Gym",20,55,"494.26 MB","7.13 Kbps"
60,"Top > Princeton Stadium",23,110,"440.16 MB","5.43 Kbps"
61,"Top > MacMillan Building",46,84,"439.82 MB","10.40 Kbps"
62,"Top > New South Building",48,198,"405.53 MB","11.55 Kbps"
63,"Top > Engineering Quad > D Wing",31,75,"403.06 MB","10.42 Kbps"
64,"Top > 22 Chambers St.",23,108,"370.21 MB","24.20 Kbps"
65,"Top > Jones Hall",31,635,"346.23 MB","11.66 Kbps"
66,"Top > Engineering Quad > A Wing",19,31,"333.42 MB","14.82 Kbps"
67,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",10,34,"332.58 MB","21.74 Kbps"
68,"Top > Nassau Hall",43,452,"317.52 MB","5.19 Kbps"
69,"Top > Engineering Quad > G Wing",16,29,"306 MB","21.25 Kbps"
70,"Top > Baker Rink",24,210,"300.86 MB","9.83 Kbps"
71,"Top > Stanhope Hall",22,303,"244.76 MB","15.11 Kbps"
72,"Top > Dillon Court East/West",40,364,"233.10 MB","10.36 Kbps"
73,"Top > 194 Nassau St.",18,222,"210.97 MB","9.77 Kbps"
74,"Top > Alexander Hall",21,171,"194.50 MB","14.41 Kbps"
75,"Top > 5 Ivy Lane",6,25,"185.79 MB","12.90 Kbps"
76,"Top > 228 Alexander St.",11,30,"158.29 MB","7.99 Kbps"
77,"Top > Henry House",17,222,"158.14 MB","29.29 Kbps"
78,"Top > Whig Hall",21,413,"147.18 MB","8.61 Kbps"
79,"Top > Maclean House",29,323,"143.42 MB","22.77 Kbps"
80,"Top > 91 Prospect Ave.",10,35,"131.21 MB","8.10 Kbps"
81,"Top > 4 Mercer",11,57,"115.34 MB","32.04 Kbps"
82,"Top > DeNunzio Pool",2,12,"111.78 MB","6.54 Kbps"
83,"Top > Clio Hall",29,443,"106.65 MB","4.94 Kbps"
84,"Top > 282 Alexander",25,249,"106.02 MB","16.83 Kbps"
85,"Top > Bendheim Center for Finance",57,419,"102.93 MB","6.73 Kbps"
86,"Top > 201 Nassau St.",15,220,"95.85 MB","7.10 Kbps"
87,"Top > Eno Hall",16,128,"77.47 MB","8.61 Kbps"
88,"Top > 1952 Field House",6,22,"71.73 MB","11.39 Kbps"
89,"Top > 169 Nassau St.",27,293,"69.54 MB","25.76 Kbps"
90,"Top > 199 Nassau St.",13,130,"60.03 MB","9.53 Kbps"
91,"Top > PU Press",12,104,"55.36 MB","1.31 Kbps"
92,"Top > GBM-Trailer",9,60,"45.26 MB","7.18 Kbps"
93,"Top > 16 Stockton St.",8,33,"43.81 MB","48.67 Kbps"
94,"Top > 306 Alexander",20,97,"36.95 MB","4.11 Kbps"
95,"Top > Von Neumann Hall",13,36,"34.96 MB","3.24 Kbps"
96,"Top > West College",21,175,"34.55 MB","1.07 Kbps"
97,"Top > 71 University Place",13,180,"33.37 MB","9.27 Kbps"
98,"Top > Bowen Hall",12,25,"30.87 MB","0.59 Kbps"
99,"Top > 350 Alexander",13,99,"22.08 MB","6.13 Kbps"
100,"Top > 294 Alexander Street",4,45,"21.27 MB","1.58 Kbps"
101,"Top > Sayre Hall",4,6,"21.05 MB","2.34 Kbps"
102,"Top > 87 Prospect",25,29,"20.52 MB","0.99 Kbps"
103,"Top > Haaga House",10,113,"20.13 MB","3.20 Kbps"
104,"Top > Mudd Library",9,104,"18.50 MB","0.43 Kbps"
105,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",9,54,"16.56 MB","1.02 Kbps"
106,"Top > Elementary Particles Lab",6,21,"11.74 MB","0.57 Kbps"
107,"Top > Forrestal Campus > Gas Dynamics",7,7,"11.31 MB","0.45 Kbps"
108,"Top > Fitzrandolph Observatory",2,8,"6.45 MB","7.16 Kbps"
109,"Top > 755 Alexander Rd.",15,17,"4.49 MB","0.11 Kbps"
110,"Top > Cordish Family Pavilion",1,13,"0.96 MB","0.27 Kbps"
111,"Top > LCA",2,2,"0.39 MB","0.11 Kbps"
112,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",1,4,"0.16 MB","0.18 Kbps"
113,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
114,"Top > West Windsor Maintenance Yard",2,12,"0.05 MB","0.02 Kbps"
115,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
116,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
117,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
118,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
119,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
120,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
121,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
122,Top,0,0,"0 MB","0 Kbps"
123,"Top > Clark Field",0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
