Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",597,828,"83.37 GB","451.42 Kbps"
2,"Top > Frist Campus Center",343,1167,"54.07 GB","492.96 Kbps"
3,"Top > Lewis Science Library",202,324,"39.99 GB","888.57 Kbps"
4,"Top > Dillon Gym",218,853,"27.99 GB","473.98 Kbps"
5,"Top > Architecture Building",124,422,"23.39 GB","594.13 Kbps"
6,"Top > Frick Chemistry Laboratory",214,273,"21.58 GB","209.22 Kbps"
7,"Top > Neuro-Institute-Psych",160,202,"15.58 GB","113.85 Kbps"
8,"Top > Fine Hall",147,579,"15.05 GB","145.94 Kbps"
9,"Top > Computer Science",79,258,"14.21 GB","309.25 Kbps"
10,"Top > Wallace Hall",107,166,"14.04 GB","404.61 Kbps"
11,"Top > Jadwin Hall",128,289,"13.81 GB","105.20 Kbps"
12,"Top > Engineering Quad > F Wing",59,158,"13.13 GB","1.17 Mbps"
13,"Top > Friend Center",67,141,"12.97 GB","271.33 Kbps"
14,"Top > East Pyne Building",135,1070,"12.65 GB","210.78 Kbps"
15,"Top > Bobst Hall",13,52,"12.40 GB","575.17 Kbps"
16,"Top > Sherrerd Hall",92,140,"11.14 GB","208.55 Kbps"
17,"Top > Fisher-Bendheim-Corwin",101,400,"8.94 GB","173.45 Kbps"
18,"Top > Shea Rowing Center",91,127,"8.87 GB","350.42 Kbps"
19,"Top > McCarter Theater",216,663,"8.61 GB","120.77 Kbps"
20,"Top > 20 Washington Road (Old Frick)",154,561,"8.57 GB","53.78 Kbps"
21,"Top > Carl Icahn",92,190,"8.55 GB","102.51 Kbps"
22,"Top > 185 Nassau St.",48,381,"7.74 GB","83.37 Kbps"
23,"Top > Engineering Quad > C Wing",69,221,"7.57 GB","252.24 Kbps"
24,"Top > Andlinger",90,120,"7.13 GB","105.61 Kbps"
25,"Top > Woolworth Music Center",139,740,"7.11 GB","128.47 Kbps"
26,"Top > Guyot Hall",107,531,"7.06 GB","53.80 Kbps"
27,"Top > Roberts Stadium",117,394,"6.75 GB","479.67 Kbps"
28,"Top > Prospect House",156,874,"6.54 GB","218.09 Kbps"
29,"Top > Engineering Quad > E Wing",55,144,"6.24 GB","170.75 Kbps"
30,"Top > Chapel",89,619,"5.66 GB","464.05 Kbps"
31,"Top > 693 Alexander Rd.",26,26,"5.22 GB","135.85 Kbps"
32,"Top > 58 Prospect",36,137,"4.52 GB","172.20 Kbps"
33,"Top > Engineering Quad > G Wing",20,33,"4.42 GB","294.77 Kbps"
34,"Top > Peyton Hall",45,206,"4.37 GB","68.53 Kbps"
35,"Top > Engineering Quad > B Wing",39,98,"3.83 GB","85.04 Kbps"
36,"Top > 1879 Hall",99,1185,"3.42 GB","82.91 Kbps"
37,"Top > Robertson Hall",91,579,"3.41 GB","50.59 Kbps"
38,"Top > 36 University Place",101,716,"3.05 GB","63.71 Kbps"
39,"Top > Moffett-Schultz Laboratory",51,248,"2.88 GB","39.88 Kbps"
40,"Top > Thomas Laboratory",54,272,"2.81 GB","29.65 Kbps"
41,"Top > Engineering Quad > J Wing",37,76,"2.74 GB","76.89 Kbps"
