Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Architecture Building",47,52,"24.98 GB","634.42 Kbps"
2,"Top > Neuro-Institute-Psych",110,117,"15.08 GB","110.14 Kbps"
3,"Top > Eno Hall",11,13,"5.16 GB","550.80 Kbps"
4,"Top > 693 Alexander Rd.",25,25,"3.45 GB","89.71 Kbps"
5,"Top > Carl Icahn",45,51,"2.79 GB","33.44 Kbps"
6,"Top > Engineering Quad > E Wing",16,19,"2.52 GB","68.87 Kbps"
7,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",5,8,"2.04 GB","128.04 Kbps"
8,"Top > Thomas Laboratory",30,36,"1.35 GB","14.21 Kbps"
9,"Top > 36 University Place",18,38,"1.27 GB","26.49 Kbps"
10,"Top > Jadwin Hall",45,53,"1.26 GB","9.58 Kbps"
11,"Top > Fine Hall",32,40,"1.22 GB","11.85 Kbps"
12,"Top > Engineering Quad > J Wing",21,21,"1.09 GB","30.67 Kbps"
13,"Top > Woolworth Music Center",20,22,"945.13 MB","17.09 Kbps"
14,"Top > 185 Nassau St.",17,23,"704.62 MB","7.59 Kbps"
15,"Top > Andlinger",34,35,"694.14 MB","10.28 Kbps"
16,"Top > Wallace Hall",25,29,"638.67 MB","18.41 Kbps"
17,"Top > Lowrie House",12,12,"624.22 MB","44.39 Kbps"
18,"Top > 701 Carnegie",59,59,"549.44 MB","16.74 Kbps"
19,"Top > McCosh Infirmary",47,50,"538.24 MB","8.09 Kbps"
20,"Top > Firestone Library",81,76,"428.38 MB","2.32 Kbps"
21,"Top > Engineering Quad > C Wing",28,33,"410.17 MB","13.67 Kbps"
22,"Top > Guyot Hall",54,66,"407.99 MB","3.11 Kbps"
23,"Top > 22 Chambers St.",12,15,"401.08 MB","25.17 Kbps"
24,"Top > Jadwin Gym",19,21,"399.47 MB","5.53 Kbps"
25,"Top > MacMillan Building",43,50,"343.13 MB","7.79 Kbps"
26,"Top > Engineering Quad > D Wing",26,28,"332.60 MB","8.25 Kbps"
27,"Top > Engineering Quad > B Wing",17,17,"226.37 MB","5.03 Kbps"
28,"Top > Frick Chemistry Laboratory",77,83,"220.24 MB","2.14 Kbps"
29,"Top > East Pyne Building",28,35,"216.36 MB","3.61 Kbps"
30,"Top > 87 Prospect",26,28,"183.65 MB","8.52 Kbps"
31,"Top > Sherrerd Hall",55,58,"170.67 MB","3.19 Kbps"
32,"Top > 200 Elm Dr.",25,35,"164.57 MB","10.33 Kbps"
