Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",955,1454,"163.11 GB","883.18 Kbps"
2,"Top > Frist Campus Center",836,2159,"100.30 GB","952.27 Kbps"
3,"Top > Neuro-Institute-Psych",424,568,"89.32 GB","652.55 Kbps"
4,"Top > East Pyne Building",441,1511,"47.84 GB","797.41 Kbps"
5,"Top > Frick Chemistry Laboratory",429,602,"43.65 GB","439.63 Kbps"
6,"Top > Jadwin Hall",277,500,"40.49 GB","308.50 Kbps"
7,"Top > Engineering Quad > E Wing",160,305,"39.21 GB","1.07 Mbps"
8,"Top > 20 Washington Road (Old Frick)",429,903,"37.29 GB","233.98 Kbps"
9,"Top > Computer Science",249,553,"37.16 GB","809.03 Kbps"
10,"Top > Lewis Science Library",256,403,"34.42 GB","764.80 Kbps"
11,"Top > Carl Icahn",255,451,"33.19 GB","397.75 Kbps"
12,"Top > Guyot Hall",324,677,"29.99 GB","228.47 Kbps"
13,"Top > Dillon Gym",226,665,"27.45 GB","464.72 Kbps"
14,"Top > Wallace Hall",233,371,"26.27 GB","757.36 Kbps"
15,"Top > Engineering Quad > C Wing",172,383,"25.72 GB","857.49 Kbps"
16,"Top > Robertson Hall",355,846,"23.68 GB","365.46 Kbps"
17,"Top > Architecture Building",184,502,"23.12 GB","587.12 Kbps"
18,"Top > Fine Hall",236,645,"22.14 GB","214.69 Kbps"
19,"Top > Peyton Hall",146,377,"20.54 GB","322.15 Kbps"
20,"Top > 701 Carnegie",302,367,"20.21 GB","646.64 Kbps"
21,"Top > DeNunzio Pool",10,28,"19.79 GB","1.11 Mbps"
22,"Top > Thomas Laboratory",218,366,"18.32 GB","193.50 Kbps"
23,"Top > Sherrerd Hall",184,322,"17.95 GB","335.83 Kbps"
24,"Top > McCosh Infirmary",187,633,"16.98 GB","255.05 Kbps"
25,"Top > Engineering Quad > D Wing",140,213,"15.98 GB","396.50 Kbps"
26,"Top > Moffett-Schultz Laboratory",143,306,"15.89 GB","220.19 Kbps"
27,"Top > Friend Center",170,345,"15.42 GB","336.01 Kbps"
28,"Top > 22 Chambers St.",92,160,"14.02 GB","879.87 Kbps"
29,"Top > Fisher-Bendheim-Corwin",192,539,"13.77 GB","267.10 Kbps"
30,"Top > Andlinger",143,250,"13.61 GB","201.67 Kbps"
31,"Top > Dickinson Hall",98,407,"12.39 GB","347.91 Kbps"
32,"Top > MacMillan Building",236,343,"12.27 GB","278.40 Kbps"
33,"Top > Engineering Quad > J Wing",95,162,"11.97 GB","336.09 Kbps"
34,"Top > 693 Alexander Rd.",94,105,"11.03 GB","286.98 Kbps"
35,"Top > Jadwin Gym",93,152,"10.62 GB","147.14 Kbps"
36,"Top > McCosh Hall",119,574,"10.62 GB","283.07 Kbps"
37,"Top > 5 Ivy Lane",23,32,"10.16 GB","677.25 Kbps"
38,"Top > Woolworth Music Center",181,769,"9.93 GB","179.50 Kbps"
39,"Top > New South Building",179,355,"9.62 GB","263.07 Kbps"
40,"Top > 36 University Place",141,402,"9.03 GB","188.81 Kbps"
41,"Top > Engineering Quad > F Wing",90,219,"8.19 GB","727.60 Kbps"
42,"Top > Engineering Quad > B Wing",107,177,"7.52 GB","167.10 Kbps"
43,"Top > PU Press",105,282,"6.30 GB","142.94 Kbps"
44,"Top > 185 Nassau St.",107,375,"6.01 GB","64.78 Kbps"
45,"Top > 1879 Hall",204,1104,"5.97 GB","144.63 Kbps"
46,"Top > Hoyt Lab",70,157,"5.89 GB","174.48 Kbps"
47,"Top > 221 Nassau St.",77,234,"5.71 GB","405.90 Kbps"
48,"Top > 194 Nassau St.",72,264,"5.69 GB","252.79 Kbps"
49,"Top > Friend Center > Friend Center Event APs",43,127,"5.64 GB","681.27 Kbps"
50,"Top > Engineering Quad > A Wing",62,116,"5.11 GB","217.87 Kbps"
51,"Top > Engineering Quad > G Wing",62,95,"4.91 GB","327.41 Kbps"
52,"Top > Shea Rowing Center",43,64,"4.80 GB","189.70 Kbps"
53,"Top > 87 Prospect",83,104,"4.64 GB","215.06 Kbps"
54,"Top > West College",90,184,"4.62 GB","136.79 Kbps"
55,"Top > 58 Prospect",93,243,"4.59 GB","174.83 Kbps"
56,"Top > Prospect House",244,903,"4.11 GB","136.90 Kbps"
57,"Top > 228 Alexander St.",38,62,"3.91 GB","189.51 Kbps"
58,"Top > 330 Alexander St.",119,152,"3.88 GB","165.47 Kbps"
59,"Top > Jones Hall",109,509,"3.67 GB","123.61 Kbps"
60,"Top > Princeton Stadium",58,208,"3.45 GB","40.89 Kbps"
61,"Top > Eno Hall",79,176,"3.19 GB","340.59 Kbps"
62,"Top > Clio Hall",53,213,"3.12 GB","138.73 Kbps"
63,"Top > Dillon Court East/West",54,258,"3.12 GB","133.03 Kbps"
64,"Top > 755 Alexander Rd.",47,58,"2.86 GB","66.35 Kbps"
65,"Top > 200 Elm Dr.",80,155,"2.78 GB","174.22 Kbps"
66,"Top > 16 Stockton St.",15,41,"2.73 GB","2.91 Mbps"
67,"Top > McCarter Theater",86,258,"2.72 GB","38.12 Kbps"
68,"Top > 91 Prospect Ave.",36,82,"2.69 GB","159.23 Kbps"
69,"Top > Chapel",116,839,"2.60 GB","213.51 Kbps"
70,"Top > Campus Club",95,729,"2.53 GB","142.32 Kbps"
71,"Top > Caldwell Field House",37,95,"2.34 GB","39.60 Kbps"
72,"Top > Von Neumann Hall",31,68,"1.87 GB","166.28 Kbps"
73,"Top > Elementary Particles Lab",25,57,"1.73 GB","80.28 Kbps"
74,"Top > Henry House",66,324,"1.70 GB","314.15 Kbps"
75,"Top > 48 Unversity Place",28,140,"1.66 GB","76.99 Kbps"
76,"Top > Bobst Hall",29,65,"1.58 GB","73.21 Kbps"
77,"Top > GBM-Trailer",20,85,"1.49 GB","226.71 Kbps"
78,"Top > Baker Rink",65,269,"1.47 GB","46.14 Kbps"
79,"Top > Princeton Station",28,125,"1.43 GB","217.75 Kbps"
80,"Top > McDonnell Hall",31,55,"1.41 GB","46.18 Kbps"
81,"Top > Bowen Hall",39,60,"1.40 GB","25.79 Kbps"
82,"Top > LCA",18,31,"1.28 GB","340.34 Kbps"
83,"Top > Mudd Library",48,236,"1.24 GB","27.53 Kbps"
84,"Top > Sayre Hall",28,41,"1.18 GB","130.61 Kbps"
85,"Top > 306 Alexander",50,136,"1.12 GB","119.05 Kbps"
86,"Top > Nassau Hall",148,679,"1.05 GB","16.39 Kbps"
87,"Top > 179-183 Nassau St.",44,184,"1 GB","355.64 Kbps"
88,"Top > Stanhope Hall",40,210,"985.70 MB","58.41 Kbps"
89,"Top > Bendheim Center for Finance",38,265,"819.40 MB","51.41 Kbps"
90,"Top > Forrestal Campus > Recap",14,16,"780.17 MB","208.05 Kbps"
91,"Top > 199 Nassau St.",27,70,"727.01 MB","110.78 Kbps"
92,"Top > Palmer House",10,41,"726.98 MB","43.08 Kbps"
93,"Top > Maclean House",33,141,"709.30 MB","108.08 Kbps"
94,"Top > Cordish Family Pavilion",4,5,"570.12 MB","158.37 Kbps"
95,"Top > 71 University Place",15,87,"388.39 MB","103.57 Kbps"
96,"Top > 282 Alexander",26,136,"361.49 MB","55.08 Kbps"
97,"Top > 169 Nassau St.",37,210,"358.13 MB","127.33 Kbps"
98,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",16,43,"305.90 MB","19.19 Kbps"
99,"Top > Forrestal Campus > Gas Dynamics",18,23,"298.13 MB","11.36 Kbps"
100,"Top > West Windsor Maintenance Yard",18,31,"260.17 MB","92.50 Kbps"
101,"Top > Architecture Lab",43,169,"241.26 MB","64.34 Kbps"
102,"Top > 4 Mercer",6,19,"237.27 MB","63.27 Kbps"
103,"Top > 294 Alexander Street",31,114,"223.23 MB","15.87 Kbps"
104,"Top > 201 Nassau St.",35,136,"207.19 MB","14.73 Kbps"
105,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",18,69,"191.96 MB","11.38 Kbps"
106,"Top > Whig Hall",47,346,"181.56 MB","10.19 Kbps"
107,"Top > Alexander Hall",19,124,"179.30 MB","12.75 Kbps"
108,"Top > 1952 Field House",3,11,"150.55 MB","22.94 Kbps"
109,"Top > HPCRC - 151 Forrestal Rd.",3,5,"96.68 MB","4.48 Kbps"
110,"Top > Lowrie House",10,10,"72.12 MB","5.13 Kbps"
111,"Top > Roberts Stadium",28,224,"61.08 MB","4.34 Kbps"
112,"Top > 350 Alexander",21,75,"36.99 MB","9.86 Kbps"
113,"Top > Fitzrandolph Observatory",5,11,"31.49 MB","33.59 Kbps"
114,"Top > Haaga House",11,56,"30.91 MB","4.71 Kbps"
115,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",2,12,"3.26 MB","3.47 Kbps"
116,"Top > Clark Field",1,1,"0.54 MB","0.57 Kbps"
117,"Top > Charlton St Substation",1,1,"0 MB","0.01 Kbps"
118,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
119,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
120,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
121,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
122,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
123,Top,0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
