Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",518,720,"98.22 GB","553.99 Kbps"
2,"Top > Lewis Science Library",191,280,"60.09 GB","1.39 Mbps"
3,"Top > Computer Science",85,230,"37.97 GB","861.02 Kbps"
4,"Top > Frist Campus Center",225,1266,"34.58 GB","328.37 Kbps"
5,"Top > Jadwin Hall",120,241,"23.21 GB","184.19 Kbps"
6,"Top > Neuro-Institute-Psych",161,187,"22.47 GB","171.04 Kbps"
7,"Top > Architecture Building",99,494,"21.11 GB","558.37 Kbps"
8,"Top > Frick Chemistry Laboratory",149,197,"19.11 GB","192.98 Kbps"
9,"Top > 20 Washington Road (Old Frick)",122,447,"17.08 GB","111.65 Kbps"
10,"Top > Sherrerd Hall",97,132,"16 GB","311.97 Kbps"
11,"Top > Wallace Hall",93,137,"14.75 GB","442.79 Kbps"
12,"Top > Dillon Gym",145,552,"11.22 GB","197.85 Kbps"
13,"Top > Carl Icahn",90,169,"10.58 GB","132.03 Kbps"
14,"Top > Engineering Quad > J Wing",42,67,"10.23 GB","299.17 Kbps"
15,"Top > Fisher-Bendheim-Corwin",57,401,"9.22 GB","186.19 Kbps"
16,"Top > Guyot Hall",94,445,"8.08 GB","64.12 Kbps"
17,"Top > Friend Center",78,128,"7.27 GB","158.46 Kbps"
18,"Top > Fine Hall",88,472,"6.83 GB","69.02 Kbps"
19,"Top > Eno Hall",24,142,"6.73 GB","747.61 Kbps"
20,"Top > Engineering Quad > C Wing",58,192,"6.19 GB","214.76 Kbps"
21,"Top > Engineering Quad > E Wing",55,117,"6.12 GB","174.25 Kbps"
22,"Top > Shea Rowing Center",22,30,"5.81 GB","238.94 Kbps"
23,"Top > Engineering Quad > F Wing",46,155,"5.42 GB","502.25 Kbps"
24,"Top > Robertson Hall",95,1025,"5.25 GB","81.07 Kbps"
25,"Top > East Pyne Building",89,800,"5.15 GB","89.49 Kbps"
26,"Top > 693 Alexander Rd.",26,27,"4.66 GB","126.34 Kbps"
27,"Top > Peyton Hall",33,192,"4.39 GB","71.68 Kbps"
28,"Top > DeNunzio Pool",32,50,"4.18 GB","244.55 Kbps"
29,"Top > Campus Club",73,1003,"4.05 GB","236.97 Kbps"
30,"Top > Thomas Laboratory",63,227,"3.77 GB","41.43 Kbps"
31,"Top > Hoyt Lab",21,148,"3.09 GB","95.33 Kbps"
32,"Top > 71 University Place",15,125,"3.04 GB","845.18 Kbps"
33,"Top > 1879 Hall",91,1731,"2.83 GB","71.42 Kbps"
34,"Top > Engineering Quad > B Wing",32,71,"2.81 GB","65.09 Kbps"
35,"Top > McCarter Theater",87,388,"2.54 GB","37.18 Kbps"
36,"Top > Andlinger",41,76,"2.44 GB","37.70 Kbps"
37,"Top > Engineering Quad > D Wing",50,97,"2.41 GB","62.20 Kbps"
38,"Top > West College",26,137,"2.39 GB","73.85 Kbps"
39,"Top > Alexander Hall",130,263,"2.19 GB","162.55 Kbps"
40,"Top > Woolworth Music Center",59,728,"2.19 GB","41.21 Kbps"
41,"Top > Engineering Quad > G Wing",16,28,"1.93 GB","134.17 Kbps"
42,"Top > 185 Nassau St.",50,335,"1.81 GB","20.33 Kbps"
43,"Top > Chapel",59,428,"1.81 GB","154.83 Kbps"
44,"Top > 701 Carnegie",63,64,"1.80 GB","57.05 Kbps"
45,"Top > Moffett-Schultz Laboratory",53,267,"1.79 GB","25.84 Kbps"
46,"Top > 179-183 Nassau St.",33,182,"1.59 GB","589.43 Kbps"
47,"Top > McDonnell Hall",14,33,"1.52 GB","49.79 Kbps"
48,"Top > Bobst Hall",13,36,"1.45 GB","69.85 Kbps"
49,"Top > Jadwin Gym",52,71,"1.32 GB","19.04 Kbps"
50,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",8,19,"1.03 GB","67.17 Kbps"
51,"Top > Jones Hall",49,643,"962.44 MB","32.41 Kbps"
52,"Top > Prospect House",68,683,"957.12 MB","33.23 Kbps"
53,"Top > Nassau Hall",44,509,"953.30 MB","15.58 Kbps"
54,"Top > 221 Nassau St.",35,206,"896.96 MB","66.44 Kbps"
55,"Top > Dickinson Hall",49,416,"822.90 MB","24.06 Kbps"
56,"Top > McCosh Infirmary",82,484,"770.51 MB","12.06 Kbps"
57,"Top > 36 University Place",46,349,"746.35 MB","16.26 Kbps"
58,"Top > McCosh Hall",37,588,"742.75 MB","20.63 Kbps"
59,"Top > 200 Elm Dr.",26,63,"659.94 MB","43.13 Kbps"
60,"Top > Lowrie House",12,12,"659.06 MB","48.82 Kbps"
61,"Top > Palmer House",9,52,"609.22 MB","37.61 Kbps"
62,"Top > 306 Alexander",19,87,"604.49 MB","67.17 Kbps"
63,"Top > 330 Alexander St.",18,65,"449.67 MB","19.99 Kbps"
64,"Top > Bendheim Center for Finance",144,1105,"441.24 MB","28.84 Kbps"
65,"Top > Sayre Hall",8,10,"415.09 MB","46.12 Kbps"
66,"Top > Baker Rink",26,169,"398.49 MB","13.02 Kbps"
67,"Top > Stanhope Hall",19,291,"354.51 MB","21.88 Kbps"
68,"Top > 48 Unversity Place",26,197,"342.08 MB","16.53 Kbps"
69,"Top > Maclean House",31,328,"280.31 MB","44.49 Kbps"
70,"Top > Dillon Court East/West",37,279,"247.95 MB","11.02 Kbps"
71,"Top > Henry House",23,244,"219.45 MB","40.64 Kbps"
72,"Top > Princeton Station",12,107,"208.45 MB","33.09 Kbps"
73,"Top > Engineering Quad > A Wing",18,36,"190.33 MB","8.46 Kbps"
74,"Top > Princeton Stadium",11,69,"189.91 MB","2.34 Kbps"
75,"Top > New South Building",39,121,"188.48 MB","5.37 Kbps"
76,"Top > 194 Nassau St.",20,199,"177.45 MB","8.22 Kbps"
77,"Top > Von Neumann Hall",12,31,"166.73 MB","15.44 Kbps"
78,"Top > 5 Ivy Lane",10,70,"161.91 MB","11.24 Kbps"
79,"Top > 4 Mercer",5,15,"150.66 MB","41.85 Kbps"
80,"Top > 282 Alexander",18,210,"143.96 MB","22.85 Kbps"
81,"Top > PU Press",13,120,"141.52 MB","3.35 Kbps"
82,"Top > Bowen Hall",12,15,"135.15 MB","2.59 Kbps"
83,"Top > MacMillan Building",41,60,"133.39 MB","3.15 Kbps"
84,"Top > 22 Chambers St.",23,92,"126.17 MB","8.25 Kbps"
85,"Top > 58 Prospect",15,166,"118.70 MB","4.71 Kbps"
86,"Top > Caldwell Field House",17,42,"88.29 MB","1.56 Kbps"
87,"Top > 199 Nassau St.",16,169,"82.87 MB","13.15 Kbps"
88,"Top > 169 Nassau St.",18,231,"80.41 MB","29.78 Kbps"
89,"Top > Roberts Stadium",15,116,"79.86 MB","5.92 Kbps"
90,"Top > Mudd Library",6,101,"79.22 MB","1.83 Kbps"
91,"Top > Architecture Lab",22,80,"75.84 MB","21.07 Kbps"
92,"Top > Clio Hall",19,186,"71.05 MB","3.29 Kbps"
93,"Top > Whig Hall",13,215,"67.36 MB","3.94 Kbps"
94,"Top > Friend Center > Friend Center Event APs",5,42,"60.04 MB","7.41 Kbps"
95,"Top > Elementary Particles Lab",11,50,"59.49 MB","2.87 Kbps"
96,"Top > 228 Alexander St.",11,39,"48.78 MB","2.46 Kbps"
97,"Top > Forrestal Campus > Gas Dynamics",8,8,"47.56 MB","1.89 Kbps"
98,"Top > GBM-Trailer",9,66,"43.37 MB","6.88 Kbps"
99,"Top > 755 Alexander Rd.",15,21,"43.34 MB","1.05 Kbps"
100,"Top > 201 Nassau St.",13,152,"37.03 MB","2.74 Kbps"
101,"Top > 91 Prospect Ave.",11,25,"36.09 MB","2.23 Kbps"
102,"Top > 1952 Field House",4,11,"30.36 MB","4.82 Kbps"
103,"Top > 294 Alexander Street",8,89,"25.99 MB","1.93 Kbps"
104,"Top > 87 Prospect",28,30,"22.90 MB","1.11 Kbps"
105,"Top > Haaga House",20,119,"21.33 MB","3.39 Kbps"
106,"Top > 350 Alexander",12,115,"16.77 MB","4.66 Kbps"
107,"Top > Forrestal Campus > Recap",2,2,"12.65 MB","3.51 Kbps"
108,"Top > 16 Stockton St.",4,27,"11.15 MB","12.39 Kbps"
109,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",9,36,"9.21 MB","0.57 Kbps"
110,"Top > Fitzrandolph Observatory",7,12,"8.73 MB","9.70 Kbps"
111,"Top > Cordish Family Pavilion",2,15,"6.26 MB","1.74 Kbps"
112,"Top > LCA",2,2,"0.44 MB","0.12 Kbps"
113,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",1,5,"0.26 MB","0.29 Kbps"
114,"Top > Clark Field",1,2,"0.03 MB","0.03 Kbps"
115,"Top > Charlton St Substation",0,2,"0.02 MB","0.03 Kbps"
116,"Top > West Windsor Maintenance Yard",2,8,"0.02 MB","0.01 Kbps"
117,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
118,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
