Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Engineering Quad > C Wing",44,82,"8.98 GB","299.21 Kbps"
2,"Top > Dillon Gym",111,219,"8.06 GB","136.39 Kbps"
3,"Top > Architecture Building",36,63,"6.29 GB","159.86 Kbps"
4,"Top > MacMillan Building",137,287,"4.39 GB","99.52 Kbps"
5,"Top > Firestone Library",162,180,"3.65 GB","19.77 Kbps"
6,"Top > Frist Campus Center",141,244,"3.60 GB","32.84 Kbps"
7,"Top > Engineering Quad > E Wing",37,78,"3.22 GB","87.94 Kbps"
8,"Top > Shea Rowing Center",119,159,"3.20 GB","126.38 Kbps"
9,"Top > Thomas Laboratory",76,133,"3.19 GB","33.70 Kbps"
10,"Top > Engineering Quad > D Wing",32,56,"3.13 GB","77.71 Kbps"
11,"Top > West Windsor Maintenance Yard",26,57,"2.98 GB","1.06 Mbps"
12,"Top > Neuro-Institute-Psych",133,154,"2.91 GB","21.24 Kbps"
13,"Top > Guyot Hall",78,214,"2.44 GB","18.59 Kbps"
14,"Top > Andlinger",55,86,"2.31 GB","34.15 Kbps"
15,"Top > 306 Alexander",40,127,"2.04 GB","217.14 Kbps"
16,"Top > Jadwin Hall",67,164,"1.85 GB","14.08 Kbps"
17,"Top > Carl Icahn",56,106,"1.83 GB","21.92 Kbps"
18,"Top > McCosh Infirmary",61,99,"1.76 GB","26.39 Kbps"
19,"Top > Elementary Particles Lab",25,72,"1.57 GB","72.82 Kbps"
20,"Top > 701 Carnegie",122,127,"1.53 GB","47.70 Kbps"
21,"Top > 221 Nassau St.",32,90,"1.52 GB","108.18 Kbps"
22,"Top > Sherrerd Hall",62,84,"1.39 GB","25.92 Kbps"
23,"Top > Wallace Hall",44,56,"1.31 GB","37.84 Kbps"
24,"Top > East Pyne Building",58,150,"1.22 GB","20.34 Kbps"
25,"Top > GBM-Trailer",20,124,"1.20 GB","182.54 Kbps"
26,"Top > Prospect House",22,83,"1.14 GB","38.05 Kbps"
27,"Top > Princeton Stadium",29,97,"1.11 GB","13.14 Kbps"
28,"Top > McCarter Theater",41,170,"1.08 GB","15.16 Kbps"
29,"Top > Frick Chemistry Laboratory",99,128,"1.06 GB","10.27 Kbps"
30,"Top > 330 Alexander St.",28,74,"1.03 GB","44.06 Kbps"
31,"Top > Engineering Quad > J Wing",29,46,"1 GB","28.10 Kbps"
32,"Top > Fine Hall",45,199,"940 MB","9.12 Kbps"
33,"Top > Peyton Hall",26,104,"879.93 MB","13.80 Kbps"
34,"Top > 20 Washington Road (Old Frick)",57,107,"875.83 MB","5.50 Kbps"
35,"Top > 185 Nassau St.",25,94,"773.86 MB","8.34 Kbps"
36,"Top > Jadwin Gym",30,71,"751.13 MB","10.41 Kbps"
37,"Top > Moffett-Schultz Laboratory",47,132,"646.17 MB","8.95 Kbps"
38,"Top > Dillon Court East/West",21,83,"622.61 MB","26.56 Kbps"
39,"Top > 36 University Place",35,111,"610.90 MB","12.78 Kbps"
40,"Top > Baker Rink",31,259,"560.71 MB","17.59 Kbps"
41,"Top > Lowrie House",11,11,"533.72 MB","37.95 Kbps"
42,"Top > DeNunzio Pool",24,41,"503.04 MB","28.24 Kbps"
43,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",18,84,"447.43 MB","28.07 Kbps"
44,"Top > Fisher-Bendheim-Corwin",26,68,"434.76 MB","8.43 Kbps"
45,"Top > Friend Center",9,15,"359.43 MB","7.52 Kbps"
46,"Top > 87 Prospect",44,48,"355.87 MB","16.50 Kbps"
47,"Top > Haaga House",21,110,"355.75 MB","54.21 Kbps"
48,"Top > Robertson Hall",61,107,"350.83 MB","5.20 Kbps"
49,"Top > Nassau Hall",31,87,"343.43 MB","5.39 Kbps"
50,"Top > Von Neumann Hall",18,35,"322.83 MB","28.70 Kbps"
51,"Top > Princeton Station",24,136,"309.13 MB","47.10 Kbps"
52,"Top > Hoyt Lab",13,43,"306.50 MB","9.08 Kbps"
53,"Top > New South Building",58,138,"305.76 MB","8.36 Kbps"
54,"Top > 194 Nassau St.",19,72,"289.89 MB","12.88 Kbps"
55,"Top > 200 Elm Dr.",42,88,"267.82 MB","16.80 Kbps"
56,"Top > 755 Alexander Rd.",26,41,"261.38 MB","6.06 Kbps"
57,"Top > McDonnell Hall",12,18,"252.33 MB","7.92 Kbps"
58,"Top > Lewis Science Library",26,31,"252.31 MB","5.61 Kbps"
59,"Top > Engineering Quad > B Wing",22,37,"241.25 MB","5.36 Kbps"
60,"Top > 693 Alexander Rd.",46,48,"234.91 MB","6.11 Kbps"
61,"Top > Engineering Quad > G Wing",13,22,"233.47 MB","15.56 Kbps"
