Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",159,666,"21.76 GB","198.35 Kbps"
2,"Top > Architecture Building",72,188,"13.86 GB","352.07 Kbps"
3,"Top > Engineering Quad > C Wing",34,79,"8.63 GB","287.52 Kbps"
4,"Top > Carl Icahn",51,85,"8.06 GB","96.56 Kbps"
5,"Top > 693 Alexander Rd.",27,27,"7.55 GB","196.55 Kbps"
6,"Top > Dillon Gym",129,424,"5.29 GB","89.63 Kbps"
7,"Top > Sherrerd Hall",59,67,"4.36 GB","81.52 Kbps"
8,"Top > Neuro-Institute-Psych",127,141,"3.76 GB","27.49 Kbps"
9,"Top > Firestone Library",73,77,"3.47 GB","18.81 Kbps"
10,"Top > Engineering Quad > E Wing",27,55,"3.37 GB","92.19 Kbps"
11,"Top > Jadwin Hall",61,97,"3.28 GB","24.98 Kbps"
12,"Top > Frick Chemistry Laboratory",91,109,"3.13 GB","30.31 Kbps"
13,"Top > 22 Chambers St.",13,26,"2.96 GB","185.90 Kbps"
14,"Top > East Pyne Building",63,224,"2.62 GB","43.65 Kbps"
15,"Top > Fine Hall",50,144,"2.55 GB","24.71 Kbps"
16,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",9,11,"2.18 GB","136.52 Kbps"
17,"Top > Andlinger",39,47,"2.17 GB","32.19 Kbps"
18,"Top > Guyot Hall",65,192,"2.13 GB","16.26 Kbps"
19,"Top > Thomas Laboratory",41,86,"1.89 GB","19.98 Kbps"
20,"Top > Wallace Hall",31,37,"1.68 GB","48.41 Kbps"
21,"Top > 36 University Place",82,400,"1.68 GB","35.11 Kbps"
22,"Top > 1879 Hall",67,654,"1.67 GB","40.47 Kbps"
23,"Top > 20 Washington Road (Old Frick)",54,97,"1.62 GB","10.18 Kbps"
24,"Top > 330 Alexander St.",16,29,"1.58 GB","67.45 Kbps"
25,"Top > 200 Elm Dr.",26,61,"1.58 GB","99.06 Kbps"
26,"Top > Engineering Quad > B Wing",20,34,"1.57 GB","34.98 Kbps"
27,"Top > 185 Nassau St.",24,80,"1.21 GB","13 Kbps"
28,"Top > Robertson Hall",69,512,"1.12 GB","16.60 Kbps"
29,"Top > Shea Rowing Center",16,20,"1.08 GB","42.63 Kbps"
30,"Top > West College",19,44,"1.01 GB","29.99 Kbps"
31,"Top > Campus Club",30,360,"957.83 MB","53.77 Kbps"
32,"Top > 306 Alexander",18,35,"931.85 MB","99.40 Kbps"
33,"Top > Woolworth Music Center",39,405,"925.91 MB","16.74 Kbps"
34,"Top > Engineering Quad > G Wing",8,10,"859.98 MB","57.33 Kbps"
35,"Top > Computer Science",47,77,"735.35 MB","16.01 Kbps"
36,"Top > 294 Alexander Street",6,19,"647.21 MB","46.02 Kbps"
37,"Top > Prospect House",60,427,"501.34 MB","16.71 Kbps"
38,"Top > Moffett-Schultz Laboratory",34,81,"493.09 MB","6.83 Kbps"
39,"Top > Stanhope Hall",8,60,"487.76 MB","28.90 Kbps"
40,"Top > Jadwin Gym",20,23,"448.67 MB","6.22 Kbps"
41,"Top > McCosh Infirmary",63,232,"440.85 MB","6.62 Kbps"
42,"Top > 701 Carnegie",59,59,"437.72 MB","13.34 Kbps"
43,"Top > Palmer House",10,13,"415.30 MB","24.61 Kbps"
44,"Top > Engineering Quad > F Wing",17,47,"393.30 MB","34.96 Kbps"
45,"Top > McCarter Theater",47,187,"372.11 MB","5.22 Kbps"
46,"Top > Lewis Science Library",28,36,"368.99 MB","8.20 Kbps"
47,"Top > MacMillan Building",41,47,"355.51 MB","8.07 Kbps"
48,"Top > Engineering Quad > A Wing",14,17,"322.32 MB","13.75 Kbps"
49,"Top > 48 Unversity Place",37,158,"304.89 MB","14.14 Kbps"
50,"Top > New South Building",43,116,"286.28 MB","7.83 Kbps"
51,"Top > Hoyt Lab",7,13,"277.90 MB","8.23 Kbps"
52,"Top > Clio Hall",22,123,"263.61 MB","11.72 Kbps"
53,"Top > Eno Hall",15,56,"244.02 MB","26.03 Kbps"
54,"Top > Princeton Station",13,87,"238.74 MB","36.38 Kbps"
55,"Top > McDonnell Hall",12,20,"230.71 MB","7.24 Kbps"
56,"Top > 87 Prospect",25,25,"227.12 MB","10.53 Kbps"
57,"Top > Roberts Stadium",11,49,"189.32 MB","13.46 Kbps"
58,"Top > Fisher-Bendheim-Corwin",16,128,"163.94 MB","3.18 Kbps"
59,"Top > 91 Prospect Ave.",7,16,"156.83 MB","9.29 Kbps"
60,"Top > Jones Hall",34,335,"151.86 MB","4.91 Kbps"
61,"Top > Engineering Quad > D Wing",21,38,"126.33 MB","3.13 Kbps"
62,"Top > McCosh Hall",26,179,"124.91 MB","3.33 Kbps"
63,"Top > Baker Rink",20,119,"118.20 MB","3.71 Kbps"
64,"Top > DeNunzio Pool",4,4,"96.23 MB","5.40 Kbps"
65,"Top > 58 Prospect",18,68,"93.90 MB","3.58 Kbps"
66,"Top > Nassau Hall",25,116,"70.24 MB","1.10 Kbps"
67,"Top > Sayre Hall",5,5,"69.38 MB","7.40 Kbps"
68,"Top > 179-183 Nassau St.",6,36,"68.16 MB","24.24 Kbps"
69,"Top > Architecture Lab",19,22,"63.73 MB","16.99 Kbps"
