Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",369,496,"33.69 GB","182.43 Kbps"
2,"Top > Frist Campus Center",276,1139,"21.99 GB","200.52 Kbps"
3,"Top > Jadwin Hall",227,433,"21.02 GB","160.16 Kbps"
4,"Top > Lewis Science Library",137,195,"19.79 GB","439.70 Kbps"
5,"Top > Neuro-Institute-Psych",300,326,"17.59 GB","128.51 Kbps"
6,"Top > Frick Chemistry Laboratory",315,365,"17.10 GB","165.78 Kbps"
7,"Top > Sherrerd Hall",132,173,"16.69 GB","312.41 Kbps"
8,"Top > Computer Science",160,328,"14.92 GB","324.86 Kbps"
9,"Top > Dillon Gym",268,806,"14.33 GB","242.66 Kbps"
10,"Top > Architecture Building",121,475,"13.37 GB","339.57 Kbps"
11,"Top > 20 Washington Road (Old Frick)",240,621,"11.36 GB","71.28 Kbps"
12,"Top > Fine Hall",150,657,"11.26 GB","109.17 Kbps"
13,"Top > Prospect House",324,1249,"10.90 GB","363.39 Kbps"
14,"Top > 185 Nassau St.",75,468,"10.73 GB","115.65 Kbps"
15,"Top > Engineering Quad > C Wing",114,284,"10.16 GB","338.55 Kbps"
16,"Top > Carl Icahn",128,261,"9.77 GB","117.07 Kbps"
17,"Top > Engineering Quad > D Wing",89,119,"9.61 GB","238.32 Kbps"
18,"Top > Thomas Laboratory",131,274,"9.39 GB","99.12 Kbps"
19,"Top > Guyot Hall",226,578,"9.17 GB","69.87 Kbps"
20,"Top > Wallace Hall",100,132,"7.49 GB","215.84 Kbps"
21,"Top > East Pyne Building",119,900,"7.26 GB","120.98 Kbps"
22,"Top > DeNunzio Pool",91,161,"6.79 GB","381.16 Kbps"
23,"Top > 1879 Hall",300,1772,"5.86 GB","142.02 Kbps"
24,"Top > Shea Rowing Center",138,162,"5.44 GB","215.06 Kbps"
25,"Top > Jones Hall",66,399,"5.19 GB","167.80 Kbps"
26,"Top > Fisher-Bendheim-Corwin",80,557,"5.04 GB","97.78 Kbps"
27,"Top > Engineering Quad > E Wing",110,178,"5.01 GB","137.08 Kbps"
28,"Top > Hoyt Lab",52,160,"4.79 GB","142.07 Kbps"
29,"Top > Robertson Hall",159,1166,"4.43 GB","65.64 Kbps"
30,"Top > McCarter Theater",144,577,"4.38 GB","61.40 Kbps"
31,"Top > 693 Alexander Rd.",35,34,"4.25 GB","110.46 Kbps"
32,"Top > Andlinger",85,152,"4.19 GB","62.14 Kbps"
33,"Top > Friend Center",75,107,"3.81 GB","79.77 Kbps"
34,"Top > Engineering Quad > G Wing",37,60,"3.68 GB","245.16 Kbps"
35,"Top > Jadwin Gym",70,135,"3.66 GB","50.65 Kbps"
36,"Top > Engineering Quad > F Wing",55,175,"3.64 GB","323.28 Kbps"
37,"Top > McDonnell Hall",33,78,"3.45 GB","108.35 Kbps"
38,"Top > Sayre Hall",17,27,"3.01 GB","320.91 Kbps"
39,"Top > Chapel",72,376,"2.97 GB","243.80 Kbps"
40,"Top > Moffett-Schultz Laboratory",100,243,"2.71 GB","37.53 Kbps"
41,"Top > Palmer House",69,163,"2.55 GB","150.82 Kbps"
42,"Top > Engineering Quad > B Wing",55,117,"2.50 GB","55.58 Kbps"
43,"Top > McCosh Hall",92,690,"2.44 GB","65.18 Kbps"
44,"Top > Woolworth Music Center",191,1101,"2.44 GB","44.17 Kbps"
45,"Top > Dickinson Hall",52,343,"2.39 GB","66.96 Kbps"
46,"Top > Engineering Quad > J Wing",62,123,"2.26 GB","63.50 Kbps"
47,"Top > Engineering Quad > A Wing",34,52,"2.26 GB","96.37 Kbps"
48,"Top > Campus Club",124,1443,"2.10 GB","118.03 Kbps"
49,"Top > 179-183 Nassau St.",36,225,"2.04 GB","724.06 Kbps"
50,"Top > 36 University Place",85,495,"1.98 GB","41.33 Kbps"
51,"Top > 58 Prospect",25,174,"1.90 GB","72.28 Kbps"
52,"Top > 330 Alexander St.",39,127,"1.62 GB","69.31 Kbps"
53,"Top > Peyton Hall",77,281,"1.35 GB","21.10 Kbps"
54,"Top > 306 Alexander",37,151,"1.11 GB","118.51 Kbps"
55,"Top > 4 Mercer",13,84,"1.08 GB","287.11 Kbps"
56,"Top > Baker Rink",57,279,"1.02 GB","32.08 Kbps"
57,"Top > 22 Chambers St.",63,157,"1.01 GB","63.67 Kbps"
58,"Top > Eno Hall",43,145,"987.44 MB","105.33 Kbps"
59,"Top > Bowen Hall",56,69,"787.40 MB","14.48 Kbps"
60,"Top > McCosh Infirmary",108,443,"784.38 MB","11.78 Kbps"
61,"Top > Alexander Hall",29,164,"749.53 MB","53.30 Kbps"
62,"Top > Princeton Station",26,167,"738.02 MB","112.46 Kbps"
63,"Top > Lowrie House",13,14,"693.70 MB","49.33 Kbps"
64,"Top > 701 Carnegie",105,88,"691.82 MB","21.08 Kbps"
65,"Top > New South Building",66,214,"684.69 MB","18.73 Kbps"
66,"Top > Princeton Stadium",35,172,"678.05 MB","8.04 Kbps"
67,"Top > Elementary Particles Lab",18,103,"676.04 MB","31.35 Kbps"
68,"Top > Von Neumann Hall",24,58,"666.69 MB","59.26 Kbps"
69,"Top > MacMillan Building",66,107,"637.70 MB","14.47 Kbps"
70,"Top > West College",31,124,"597.52 MB","17.70 Kbps"
71,"Top > 221 Nassau St.",50,266,"542.90 MB","38.61 Kbps"
72,"Top > Nassau Hall",80,555,"499.32 MB","7.83 Kbps"
73,"Top > 200 Elm Dr.",41,99,"450.59 MB","28.27 Kbps"
74,"Top > Maclean House",31,343,"404.60 MB","61.65 Kbps"
75,"Top > Architecture Lab",45,235,"379.76 MB","101.27 Kbps"
76,"Top > 48 Unversity Place",55,348,"376.52 MB","17.46 Kbps"
77,"Top > 5 Ivy Lane",9,12,"340.78 MB","22.72 Kbps"
78,"Top > Caldwell Field House",70,118,"331.58 MB","5.61 Kbps"
79,"Top > 282 Alexander",43,402,"325.31 MB","49.57 Kbps"
80,"Top > 71 University Place",23,167,"277.30 MB","73.95 Kbps"
81,"Top > Whig Hall",21,289,"259.91 MB","14.59 Kbps"
82,"Top > Stanhope Hall",26,230,"220.31 MB","13.06 Kbps"
83,"Top > Dillon Court East/West",48,302,"216.01 MB","9.22 Kbps"
84,"Top > 194 Nassau St.",41,297,"206.26 MB","9.17 Kbps"
85,"Top > 169 Nassau St.",30,306,"187.71 MB","66.74 Kbps"
86,"Top > Roberts Stadium",19,162,"168.67 MB","11.99 Kbps"
87,"Top > Bendheim Center for Finance",97,444,"137.26 MB","8.61 Kbps"
88,"Top > 199 Nassau St.",18,120,"131.84 MB","20.09 Kbps"
89,"Top > Clio Hall",40,254,"121.09 MB","5.38 Kbps"
90,"Top > 87 Prospect",31,36,"100.18 MB","4.65 Kbps"
91,"Top > GBM-Trailer",16,149,"80.23 MB","12.23 Kbps"
92,"Top > PU Press",24,160,"75.19 MB","1.71 Kbps"
93,"Top > 91 Prospect Ave.",19,58,"72.81 MB","4.31 Kbps"
94,"Top > 201 Nassau St.",19,190,"71.67 MB","5.10 Kbps"
95,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",14,66,"69.56 MB","4.12 Kbps"
96,"Top > Bobst Hall",15,48,"58.26 MB","2.70 Kbps"
97,"Top > 228 Alexander St.",20,77,"57.95 MB","2.81 Kbps"
98,"Top > Henry House",36,212,"51.51 MB","9.16 Kbps"
99,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",9,29,"42.44 MB","2.66 Kbps"
100,"Top > Mudd Library",18,150,"42.30 MB","0.94 Kbps"
101,"Top > Fitzrandolph Observatory",3,21,"40.21 MB","42.90 Kbps"
102,"Top > Friend Center > Friend Center Event APs",19,35,"35.19 MB","4.17 Kbps"
103,"Top > Haaga House",14,115,"22.64 MB","3.45 Kbps"
104,"Top > 350 Alexander",20,133,"20.72 MB","5.52 Kbps"
105,"Top > Forrestal Campus > Gas Dynamics",8,14,"19.57 MB","0.75 Kbps"
106,"Top > 294 Alexander Street",10,85,"18.04 MB","1.28 Kbps"
107,"Top > 1952 Field House",5,36,"11.39 MB","1.74 Kbps"
108,"Top > 755 Alexander Rd.",17,29,"9.31 MB","0.22 Kbps"
