Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Alexander Hall",774,890,"13.55 GB","963.45 Kbps"
2,"Top > Firestone Library",227,329,"33.83 GB","183.16 Kbps"
3,"Top > Robertson Hall",221,715,"12.65 GB","187.40 Kbps"
4,"Top > Frist Campus Center",180,667,"22.49 GB","205.07 Kbps"
5,"Top > Frick Chemistry Laboratory",160,216,"20.62 GB","199.94 Kbps"
6,"Top > Neuro-Institute-Psych",144,175,"9.44 GB","69 Kbps"
7,"Top > McCarter Theater",138,427,"9.62 GB","135.02 Kbps"
8,"Top > Dillon Gym",138,418,"11.62 GB","196.77 Kbps"
9,"Top > Fine Hall",129,396,"11.92 GB","115.54 Kbps"
10,"Top > Jadwin Hall",114,252,"17.48 GB","133.20 Kbps"
11,"Top > Guyot Hall",111,361,"4.16 GB","31.68 Kbps"
12,"Top > 1879 Hall",110,904,"4.87 GB","118.13 Kbps"
13,"Top > Campus Club",102,653,"4.05 GB","227.56 Kbps"
14,"Top > McCosh Hall",101,529,"813.72 MB","21.70 Kbps"
15,"Top > Architecture Building",96,310,"13.43 GB","341.18 Kbps"
16,"Top > Lewis Science Library",92,136,"13.28 GB","295.04 Kbps"
17,"Top > 185 Nassau St.",85,373,"8.53 GB","91.91 Kbps"
18,"Top > East Pyne Building",85,723,"3.70 GB","61.66 Kbps"
19,"Top > Sherrerd Hall",80,107,"7.86 GB","147.07 Kbps"
20,"Top > Chapel",72,295,"2.79 GB","228.60 Kbps"
21,"Top > DeNunzio Pool",70,116,"7.49 GB","420.64 Kbps"
22,"Top > Nassau Hall",69,492,"464.38 MB","7.28 Kbps"
23,"Top > 20 Washington Road (Old Frick)",68,329,"5.16 GB","32.37 Kbps"
24,"Top > 36 University Place",68,426,"1.15 GB","24.16 Kbps"
25,"Top > Carl Icahn",68,138,"4.18 GB","50.09 Kbps"
26,"Top > Computer Science",67,170,"2.85 GB","62.02 Kbps"
27,"Top > 701 Carnegie",65,68,"1.87 GB","56.85 Kbps"
28,"Top > Prospect House",61,424,"273.21 MB","9.11 Kbps"
29,"Top > McCosh Infirmary",60,272,"1.12 GB","16.81 Kbps"
30,"Top > Wallace Hall",56,80,"7.81 GB","225.02 Kbps"
31,"Top > Engineering Quad > C Wing",55,144,"22.91 GB","763.64 Kbps"
32,"Top > Woolworth Music Center",53,346,"1.67 GB","30.16 Kbps"
33,"Top > West College",52,214,"194.31 MB","5.76 Kbps"
34,"Top > Moffett-Schultz Laboratory",52,150,"1.81 GB","25.08 Kbps"
35,"Top > Bendheim Center for Finance",52,291,"107.92 MB","6.77 Kbps"
36,"Top > McDonnell Hall",46,80,"3.07 GB","96.29 Kbps"
37,"Top > MacMillan Building",45,66,"807 MB","18.31 Kbps"
38,"Top > Thomas Laboratory",45,145,"2.13 GB","22.54 Kbps"
39,"Top > Andlinger",45,66,"2.97 GB","44.01 Kbps"
40,"Top > Engineering Quad > E Wing",44,94,"5.51 GB","150.62 Kbps"
41,"Top > Jadwin Gym",44,82,"1.54 GB","21.33 Kbps"
42,"Top > Palmer House",44,101,"4.21 GB","249.49 Kbps"
43,"Top > 221 Nassau St.",41,236,"1.07 GB","76.37 Kbps"
44,"Top > New South Building",40,124,"163.57 MB","4.47 Kbps"
45,"Top > Maclean House",39,337,"228.07 MB","34.75 Kbps"
46,"Top > Jones Hall",38,304,"7.96 GB","257.33 Kbps"
47,"Top > Engineering Quad > F Wing",36,112,"3.73 GB","331.63 Kbps"
48,"Top > Engineering Quad > J Wing",35,51,"2.10 GB","59.07 Kbps"
49,"Top > Engineering Quad > D Wing",34,56,"6.35 GB","157.41 Kbps"
50,"Top > 200 Elm Dr.",34,70,"3.40 GB","213.51 Kbps"
51,"Top > 179-183 Nassau St.",32,206,"2.21 GB","785.64 Kbps"
52,"Top > Engineering Quad > B Wing",30,56,"1.19 GB","26.38 Kbps"
53,"Top > Peyton Hall",30,146,"809.20 MB","12.69 Kbps"
54,"Top > 194 Nassau St.",30,239,"134.87 MB","5.99 Kbps"
55,"Top > Fisher-Bendheim-Corwin",30,200,"8.07 GB","156.54 Kbps"
56,"Top > 22 Chambers St.",30,105,"692.12 MB","43.43 Kbps"
57,"Top > 48 Unversity Place",30,198,"268.71 MB","12.46 Kbps"
58,"Top > 58 Prospect",30,132,"832.67 MB","31.72 Kbps"
59,"Top > Architecture Lab",29,135,"214.35 MB","57.16 Kbps"
60,"Top > Clio Hall",27,251,"95 MB","4.22 Kbps"
61,"Top > 693 Alexander Rd.",26,27,"6.57 GB","171 Kbps"
62,"Top > 87 Prospect",26,27,"561.88 MB","26.06 Kbps"
63,"Top > 169 Nassau St.",26,253,"132.44 MB","47.09 Kbps"
64,"Top > Dickinson Hall",25,275,"168.93 MB","4.74 Kbps"
65,"Top > Eno Hall",24,98,"746.33 MB","79.61 Kbps"
66,"Top > Stanhope Hall",23,228,"192.04 MB","11.38 Kbps"
67,"Top > 282 Alexander",23,221,"88.85 MB","13.54 Kbps"
68,"Top > Baker Rink",23,156,"516.55 MB","16.21 Kbps"
69,"Top > Friend Center",22,37,"1.54 GB","32.19 Kbps"
70,"Top > Dillon Court East/West",22,166,"106.13 MB","4.53 Kbps"
71,"Top > Princeton Station",21,91,"708.63 MB","107.98 Kbps"
72,"Top > Caldwell Field House",21,66,"253.58 MB","4.29 Kbps"
73,"Top > 306 Alexander",21,103,"615.94 MB","65.70 Kbps"
74,"Top > 330 Alexander St.",20,73,"1.27 GB","54.27 Kbps"
75,"Top > Engineering Quad > G Wing",18,33,"2.48 GB","165.05 Kbps"
76,"Top > Hoyt Lab",18,97,"2.70 GB","80.01 Kbps"
77,"Top > Engineering Quad > A Wing",18,27,"2 GB","85.49 Kbps"
78,"Top > Henry House",17,138,"119.65 MB","21.27 Kbps"
79,"Top > Princeton Stadium",15,77,"182.73 MB","2.17 Kbps"
80,"Top > 199 Nassau St.",15,102,"19.21 MB","2.93 Kbps"
81,"Top > 755 Alexander Rd.",15,18,"23.28 MB","0.54 Kbps"
82,"Top > Shea Rowing Center",15,20,"129.01 MB","5.10 Kbps"
83,"Top > 91 Prospect Ave.",14,32,"3.96 MB","0.23 Kbps"
84,"Top > 71 University Place",14,120,"28.85 MB","7.69 Kbps"
85,"Top > Haaga House",13,80,"16.93 MB","2.58 Kbps"
86,"Top > 228 Alexander St.",13,51,"7.54 MB","0.37 Kbps"
87,"Top > 201 Nassau St.",13,184,"125.80 MB","8.95 Kbps"
88,"Top > Elementary Particles Lab",13,60,"199.21 MB","9.24 Kbps"
89,"Top > PU Press",13,70,"31.65 MB","0.72 Kbps"
90,"Top > Von Neumann Hall",13,31,"328.95 MB","29.24 Kbps"
91,"Top > 4 Mercer",12,62,"2.62 GB","698.80 Kbps"
92,"Top > 350 Alexander",12,85,"3.73 MB","0.99 Kbps"
93,"Top > Lowrie House",12,12,"5.23 GB","371.90 Kbps"
94,"Top > Roberts Stadium",12,81,"371.60 MB","26.42 Kbps"
95,"Top > Bowen Hall",11,17,"13.61 MB","0.25 Kbps"
96,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",10,25,"649.72 MB","40.77 Kbps"
97,"Top > Whig Hall",10,172,"268.57 MB","15.08 Kbps"
98,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",9,41,"26.24 MB","1.55 Kbps"
99,"Top > GBM-Trailer",8,56,"39.04 MB","5.95 Kbps"
100,"Top > Mudd Library",8,77,"40.10 MB","0.89 Kbps"
101,"Top > Bobst Hall",7,19,"45.16 MB","2.09 Kbps"
102,"Top > Forrestal Campus > Gas Dynamics",7,7,"4.68 MB","0.18 Kbps"
103,"Top > Fitzrandolph Observatory",5,15,"170 MB","181.33 Kbps"
104,"Top > 294 Alexander Street",5,36,"32.95 MB","2.34 Kbps"
105,"Top > Sayre Hall",5,6,"43.69 MB","4.66 Kbps"
106,"Top > 5 Ivy Lane",5,7,"771.13 MB","51.41 Kbps"
107,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
108,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
109,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
110,"Top > 16 Stockton St.",3,17,"5.92 MB","6.31 Kbps"
111,"Top > 1952 Field House",3,12,"6.64 MB","1.01 Kbps"
112,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
113,"Top > Clark Field",2,3,"4.70 MB","5.02 Kbps"
114,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
115,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
116,"Top > LCA",2,2,"0.69 MB","0.18 Kbps"
117,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
118,"Top > Friend Center > Friend Center Event APs",2,8,"3.92 MB","0.46 Kbps"
119,"Top > West Windsor Maintenance Yard",1,4,"0.09 MB","0.03 Kbps"
120,"Top > Cordish Family Pavilion",1,2,"0.06 MB","0.02 Kbps"
121,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
122,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
123,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
124,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
125,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
127,Top,0,0,"0 MB","0 Kbps"
128,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
129,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",0,3,"0.12 MB","0.13 Kbps"
130,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
131,"Top > Green Hall",0,0,"0 MB","0 Kbps"
