Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",212,369,"27.78 GB","253.24 Kbps"
2,"Top > Architecture Building",79,134,"23.38 GB","593.77 Kbps"
3,"Top > Fine Hall",75,145,"12.37 GB","119.91 Kbps"
4,"Top > Lewis Science Library",73,86,"12.35 GB","274.41 Kbps"
5,"Top > Neuro-Institute-Psych",127,140,"10.64 GB","77.70 Kbps"
6,"Top > Firestone Library",131,140,"9.85 GB","53.32 Kbps"
7,"Top > Engineering Quad > C Wing",44,88,"8.82 GB","294.14 Kbps"
8,"Top > Carl Icahn",61,83,"8.43 GB","101.08 Kbps"
9,"Top > Jadwin Hall",67,97,"7.33 GB","55.84 Kbps"
10,"Top > 693 Alexander Rd.",25,25,"7.11 GB","185.10 Kbps"
11,"Top > Sherrerd Hall",84,91,"5.41 GB","101.33 Kbps"
12,"Top > East Pyne Building",77,162,"4.20 GB","69.92 Kbps"
13,"Top > Frick Chemistry Laboratory",97,107,"3.88 GB","37.60 Kbps"
14,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",5,7,"3.73 GB","234.01 Kbps"
15,"Top > Wallace Hall",33,43,"3.39 GB","97.72 Kbps"
16,"Top > Engineering Quad > E Wing",28,48,"3.02 GB","82.52 Kbps"
17,"Top > Palmer House",3,4,"2.33 GB","137.78 Kbps"
18,"Top > 36 University Place",54,270,"2.32 GB","48.54 Kbps"
19,"Top > 169 Nassau St.",8,17,"2.28 GB","808.97 Kbps"
20,"Top > Andlinger",40,41,"1.90 GB","28.21 Kbps"
21,"Top > 48 Unversity Place",31,147,"1.78 GB","82.56 Kbps"
22,"Top > Friend Center > Friend Center Event APs",4,7,"1.76 GB","208.76 Kbps"
23,"Top > Woolworth Music Center",34,124,"1.65 GB","29.85 Kbps"
24,"Top > 20 Washington Road (Old Frick)",49,75,"1.63 GB","10.25 Kbps"
25,"Top > McCosh Infirmary",56,167,"1.16 GB","17.39 Kbps"
26,"Top > 200 Elm Dr.",36,66,"1.09 GB","68.46 Kbps"
27,"Top > Engineering Quad > J Wing",26,36,"1.03 GB","28.83 Kbps"
28,"Top > Fisher-Bendheim-Corwin",11,37,"949.68 MB","18.42 Kbps"
29,"Top > Computer Science",46,81,"869.55 MB","18.93 Kbps"
30,"Top > New South Building",46,108,"855.62 MB","23.40 Kbps"
31,"Top > Chapel",9,55,"829.35 MB","68.05 Kbps"
32,"Top > 185 Nassau St.",28,47,"812.31 MB","8.75 Kbps"
33,"Top > Thomas Laboratory",42,75,"780.57 MB","8.24 Kbps"
34,"Top > Friend Center",13,22,"714.66 MB","14.95 Kbps"
35,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",5,9,"626.45 MB","37.12 Kbps"
