Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Carl Icahn",46,51,"22.97 GB","286.78 Kbps"
2,"Top > 693 Alexander Rd.",27,27,"6.88 GB","186.32 Kbps"
3,"Top > Architecture Building",35,44,"2.75 GB","72.76 Kbps"
4,"Top > Engineering Quad > E Wing",18,19,"2.67 GB","76.04 Kbps"
5,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",6,16,"2.32 GB","151.74 Kbps"
6,"Top > Jadwin Hall",48,56,"1.48 GB","11.71 Kbps"
7,"Top > Neuro-Institute-Psych",114,121,"1.32 GB","10.07 Kbps"
8,"Top > 185 Nassau St.",16,25,"1.25 GB","14.04 Kbps"
9,"Top > Wallace Hall",27,32,"1.15 GB","34.47 Kbps"
10,"Top > Fine Hall",32,44,"946.60 MB","9.56 Kbps"
11,"Top > Firestone Library",74,74,"746.57 MB","4.21 Kbps"
12,"Top > MacMillan Building",67,85,"611.53 MB","14.46 Kbps"
13,"Top > Andlinger",34,35,"600.48 MB","9.27 Kbps"
14,"Top > 22 Chambers St.",11,12,"454.86 MB","29.73 Kbps"
15,"Top > Engineering Quad > C Wing",23,27,"446.81 MB","15.51 Kbps"
16,"Top > Shea Rowing Center",12,12,"441.51 MB","18.17 Kbps"
17,"Top > Guyot Hall",53,70,"431.91 MB","3.43 Kbps"
18,"Top > Jadwin Gym",19,21,"429.34 MB","6.20 Kbps"
19,"Top > Sherrerd Hall",49,51,"365.13 MB","7.12 Kbps"
20,"Top > Engineering Quad > B Wing",16,16,"297.98 MB","6.90 Kbps"
21,"Top > Moffett-Schultz Laboratory",40,44,"280.23 MB","4.04 Kbps"
22,"Top > East Pyne Building",31,40,"238.32 MB","4.14 Kbps"
23,"Top > McCosh Infirmary",46,55,"221.88 MB","3.47 Kbps"
24,"Top > West College",15,16,"204.70 MB","6.32 Kbps"
25,"Top > Frick Chemistry Laboratory",82,91,"204.54 MB","2.07 Kbps"
26,"Top > 200 Elm Dr.",25,31,"175.86 MB","11.49 Kbps"
27,"Top > Thomas Laboratory",31,37,"170.97 MB","1.88 Kbps"
28,"Top > 87 Prospect",25,26,"142.62 MB","6.89 Kbps"
29,"Top > 701 Carnegie",58,58,"139.04 MB","4.41 Kbps"
30,"Top > Engineering Quad > J Wing",22,22,"129.93 MB","3.80 Kbps"
31,"Top > Frist Campus Center",67,83,"129.81 MB","1.23 Kbps"
32,"Top > Caldwell Field House",13,14,"109.06 MB","1.92 Kbps"
33,"Top > Computer Science",38,40,"105.53 MB","2.39 Kbps"
34,"Top > Palmer House",8,8,"105.36 MB","6.50 Kbps"
35,"Top > 91 Prospect Ave.",12,14,"95.68 MB","5.91 Kbps"
36,"Top > Engineering Quad > F Wing",10,10,"93.18 MB","8.63 Kbps"
37,"Top > DeNunzio Pool",4,5,"88.35 MB","5.17 Kbps"
38,"Top > Woolworth Music Center",20,23,"83.84 MB","1.58 Kbps"
39,"Top > Engineering Quad > D Wing",20,23,"80.36 MB","2.08 Kbps"
40,"Top > Baker Rink",10,24,"73.04 MB","2.39 Kbps"
41,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",6,19,"71.10 MB","4.39 Kbps"
42,"Top > Maclean House",1,6,"52.38 MB","8.31 Kbps"
43,"Top > Robertson Hall",29,39,"48.17 MB","0.74 Kbps"
44,"Top > 20 Washington Road (Old Frick)",39,42,"40.30 MB","0.26 Kbps"
45,"Top > GBM-Trailer",8,16,"36.57 MB","5.81 Kbps"
46,"Top > Dillon Gym",46,60,"35.06 MB","0.62 Kbps"
47,"Top > McCarter Theater",20,37,"34.73 MB","0.51 Kbps"
48,"Top > Fisher-Bendheim-Corwin",11,15,"32.95 MB","0.67 Kbps"
49,"Top > Prospect House",4,11,"32.20 MB","1.12 Kbps"
50,"Top > 48 Unversity Place",12,22,"27.97 MB","1.35 Kbps"
51,"Top > Architecture Lab",20,21,"25.90 MB","7.19 Kbps"
52,"Top > 221 Nassau St.",15,20,"24.69 MB","1.83 Kbps"
53,"Top > New South Building",35,42,"23.23 MB","0.66 Kbps"
54,"Top > 4 Mercer",4,6,"21.60 MB","6 Kbps"
55,"Top > 755 Alexander Rd.",14,15,"20.33 MB","0.49 Kbps"
56,"Top > Engineering Quad > A Wing",11,11,"18.78 MB","0.83 Kbps"
57,"Top > 36 University Place",13,24,"17.94 MB","0.39 Kbps"
58,"Top > Lowrie House",12,12,"17.73 MB","1.31 Kbps"
59,"Top > Roberts Stadium",5,17,"17.15 MB","1.27 Kbps"
60,"Top > Bobst Hall",5,8,"16.82 MB","0.81 Kbps"
61,"Top > 1879 Hall",26,39,"15.43 MB","0.39 Kbps"
62,"Top > Forrestal Campus > Gas Dynamics",6,6,"15 MB","0.60 Kbps"
63,"Top > Henry House",4,6,"12.16 MB","2.25 Kbps"
64,"Top > 1952 Field House",3,4,"12.15 MB","1.93 Kbps"
65,"Top > Eno Hall",8,11,"11.95 MB","1.33 Kbps"
66,"Top > McCosh Hall",18,30,"11.67 MB","0.32 Kbps"
67,"Top > Dickinson Hall",14,18,"11.66 MB","0.34 Kbps"
68,"Top > Princeton Station",4,13,"11.63 MB","1.85 Kbps"
69,"Top > Sayre Hall",3,3,"11.60 MB","1.29 Kbps"
70,"Top > 294 Alexander Street",4,6,"11.48 MB","0.85 Kbps"
71,"Top > 330 Alexander St.",15,16,"10.71 MB","0.48 Kbps"
72,"Top > Lewis Science Library",22,22,"10.41 MB","0.24 Kbps"
73,"Top > Peyton Hall",11,20,"9.20 MB","0.15 Kbps"
74,"Top > Engineering Quad > G Wing",5,5,"8.52 MB","0.59 Kbps"
75,"Top > 228 Alexander St.",10,10,"7.75 MB","0.39 Kbps"
76,"Top > Bowen Hall",7,8,"7.71 MB","0.15 Kbps"
77,"Top > Stanhope Hall",5,9,"6.27 MB","0.39 Kbps"
78,"Top > 201 Nassau St.",5,11,"5.83 MB","0.43 Kbps"
79,"Top > Dillon Court East/West",7,10,"5.33 MB","0.24 Kbps"
80,"Top > Clio Hall",6,6,"5.27 MB","0.24 Kbps"
81,"Top > 282 Alexander",3,11,"4.87 MB","0.77 Kbps"
82,"Top > 306 Alexander",13,17,"4.48 MB","0.50 Kbps"
83,"Top > Nassau Hall",16,20,"4.30 MB","0.07 Kbps"
84,"Top > PU Press",6,7,"3.77 MB","0.09 Kbps"
85,"Top > Von Neumann Hall",9,9,"3.67 MB","0.34 Kbps"
86,"Top > Alexander Hall",8,11,"3.02 MB","0.22 Kbps"
87,"Top > Princeton Stadium",6,7,"2.98 MB","0.04 Kbps"
88,"Top > Hoyt Lab",5,6,"2.96 MB","0.09 Kbps"
89,"Top > 194 Nassau St.",9,15,"2.43 MB","0.11 Kbps"
90,"Top > 199 Nassau St.",7,8,"2.34 MB","0.37 Kbps"
91,"Top > Elementary Particles Lab",4,4,"2.23 MB","0.11 Kbps"
92,"Top > Jones Hall",11,16,"1.63 MB","0.05 Kbps"
93,"Top > Cordish Family Pavilion",0,1,"1.14 MB","0.32 Kbps"
94,"Top > 169 Nassau St.",5,9,"1.07 MB","0.40 Kbps"
95,"Top > McDonnell Hall",10,14,"0.73 MB","0.02 Kbps"
96,"Top > 71 University Place",4,7,"0.72 MB","0.20 Kbps"
97,"Top > Mudd Library",3,6,"0.66 MB","0.02 Kbps"
98,"Top > 5 Ivy Lane",3,4,"0.54 MB","0.04 Kbps"
99,"Top > Campus Club",4,13,"0.43 MB","0.03 Kbps"
100,"Top > LCA",2,2,"0.43 MB","0.12 Kbps"
101,"Top > Bendheim Center for Finance",4,5,"0.39 MB","0.03 Kbps"
102,"Top > Haaga House",2,8,"0.37 MB","0.06 Kbps"
103,"Top > Friend Center",5,6,"0.37 MB","0.01 Kbps"
104,"Top > 350 Alexander",2,3,"0.31 MB","0.09 Kbps"
105,"Top > 179-183 Nassau St.",2,3,"0.24 MB","0.09 Kbps"
106,"Top > 58 Prospect",2,4,"0.16 MB","0.01 Kbps"
107,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
108,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",0,3,"0.02 MB","0.02 Kbps"
109,"Top > Whig Hall",2,2,"0.01 MB","0 Kbps"
110,"Top > 16 Stockton St.",1,1,"0 MB","0 Kbps"
111,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
112,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
113,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
114,"Top > West Windsor Maintenance Yard",0,0,"0 MB","0 Kbps"
115,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
116,"Top > Fitzrandolph Observatory",0,0,"0 MB","0 Kbps"
117,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
118,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
