Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Fisher-Bendheim-Corwin",96,187,"10.01 GB","202.12 Kbps"
2,"Top > Dillon Gym",99,261,"9.09 GB","160.33 Kbps"
3,"Top > Frist Campus Center",117,286,"9.04 GB","85.89 Kbps"
4,"Top > Shea Rowing Center",165,227,"8.78 GB","361.12 Kbps"
5,"Top > Firestone Library",140,176,"8.23 GB","46.44 Kbps"
6,"Top > Thomas Laboratory",40,102,"7.43 GB","81.71 Kbps"
7,"Top > Engineering Quad > C Wing",38,79,"6.53 GB","226.81 Kbps"
8,"Top > DeNunzio Pool",78,128,"5.87 GB","343.54 Kbps"
9,"Top > Architecture Building",42,113,"5.19 GB","137.22 Kbps"
10,"Top > 20 Washington Road (Old Frick)",119,217,"4.60 GB","30.06 Kbps"
11,"Top > Jadwin Gym",82,128,"4.29 GB","61.97 Kbps"
12,"Top > Robertson Hall",44,148,"4.18 GB","64.50 Kbps"
13,"Top > 693 Alexander Rd.",27,28,"2.90 GB","78.57 Kbps"
14,"Top > Engineering Quad > E Wing",22,50,"2.82 GB","80.27 Kbps"
15,"Top > McCosh Infirmary",56,142,"2.69 GB","42.18 Kbps"
16,"Top > Fine Hall",43,195,"2.44 GB","24.67 Kbps"
17,"Top > 58 Prospect",25,71,"2.40 GB","95.19 Kbps"
18,"Top > Andlinger",68,91,"2.37 GB","36.51 Kbps"
19,"Top > 1879 Hall",51,291,"2.29 GB","57.83 Kbps"
20,"Top > Frick Chemistry Laboratory",139,170,"2.28 GB","23.04 Kbps"
21,"Top > Palmer House",15,48,"2.14 GB","132.29 Kbps"
22,"Top > Jadwin Hall",58,136,"2.05 GB","16.24 Kbps"
23,"Top > East Pyne Building",50,341,"1.71 GB","29.73 Kbps"
24,"Top > MacMillan Building",74,120,"1.37 GB","32.38 Kbps"
25,"Top > McDonnell Hall",10,15,"1.35 GB","43.99 Kbps"
26,"Top > Carl Icahn",53,97,"1.26 GB","15.73 Kbps"
27,"Top > Lewis Science Library",43,48,"1.20 GB","27.67 Kbps"
28,"Top > Wallace Hall",44,68,"1.17 GB","35.24 Kbps"
29,"Top > Prospect House",19,112,"1.17 GB","40.72 Kbps"
30,"Top > Moffett-Schultz Laboratory",44,85,"1.02 GB","14.68 Kbps"
31,"Top > Neuro-Institute-Psych",116,141,"981.97 MB","7.47 Kbps"
32,"Top > Caldwell Field House",37,97,"978.73 MB","17.26 Kbps"
33,"Top > Hoyt Lab",9,55,"976.54 MB","30.14 Kbps"
34,"Top > Peyton Hall",20,70,"785.61 MB","12.84 Kbps"
35,"Top > 200 Elm Dr.",25,50,"651.40 MB","42.58 Kbps"
36,"Top > Princeton Station",17,106,"623.73 MB","99 Kbps"
37,"Top > Sherrerd Hall",54,61,"616.28 MB","12.01 Kbps"
38,"Top > Guyot Hall",63,187,"576.93 MB","4.58 Kbps"
39,"Top > 22 Chambers St.",16,53,"553.09 MB","36.15 Kbps"
40,"Top > 306 Alexander",19,65,"495.93 MB","55.10 Kbps"
41,"Top > 221 Nassau St.",24,85,"481.75 MB","35.69 Kbps"
42,"Top > 185 Nassau St.",28,171,"459.84 MB","5.16 Kbps"
43,"Top > Engineering Quad > B Wing",18,29,"452.58 MB","10.48 Kbps"
44,"Top > 36 University Place",33,179,"437.17 MB","9.52 Kbps"
45,"Top > Engineering Quad > J Wing",24,33,"432.20 MB","12.64 Kbps"
46,"Top > McCarter Theater",36,184,"415.77 MB","6.08 Kbps"
47,"Top > Roberts Stadium",25,138,"404.27 MB","29.95 Kbps"
48,"Top > Friend Center",9,22,"391.47 MB","8.53 Kbps"
49,"Top > Friend Center > Friend Center Event APs",8,15,"378.11 MB","46.68 Kbps"
50,"Top > Nassau Hall",33,226,"370.77 MB","6.06 Kbps"
51,"Top > Jones Hall",19,114,"357.99 MB","12.05 Kbps"
52,"Top > Baker Rink",22,150,"356.40 MB","11.65 Kbps"
53,"Top > 194 Nassau St.",19,113,"345.87 MB","16.01 Kbps"
54,"Top > Princeton Stadium",14,59,"335.47 MB","4.14 Kbps"
55,"Top > GBM-Trailer",21,105,"330.52 MB","52.46 Kbps"
56,"Top > Elementary Particles Lab",15,75,"329.12 MB","15.90 Kbps"
57,"Top > Maclean House",19,158,"291.82 MB","46.32 Kbps"
58,"Top > Chapel",11,93,"288.85 MB","24.69 Kbps"
59,"Top > Computer Science",41,99,"271.83 MB","6.16 Kbps"
60,"Top > Alexander Hall",25,67,"271.39 MB","20.10 Kbps"
61,"Top > Engineering Quad > A Wing",19,29,"245.26 MB","10.90 Kbps"
62,"Top > 48 Unversity Place",18,105,"229.03 MB","11.06 Kbps"
63,"Top > McCosh Hall",23,134,"228.78 MB","6.36 Kbps"
64,"Top > Bowen Hall",10,17,"222.26 MB","4.26 Kbps"
65,"Top > Bendheim Center for Finance",5,31,"200.11 MB","13.08 Kbps"
