Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > 693 Alexander Rd.",26,26,"5.32 GB","138.42 Kbps"
2,"Top > Engineering Quad > E Wing",19,24,"3.14 GB","85.79 Kbps"
3,"Top > Carl Icahn",47,62,"2.41 GB","28.85 Kbps"
4,"Top > Jadwin Hall",47,63,"2.13 GB","16.26 Kbps"
5,"Top > MacMillan Building",66,79,"2.09 GB","47.54 Kbps"
6,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",6,19,"1.45 GB","90.71 Kbps"
7,"Top > Sherrerd Hall",69,75,"1.38 GB","25.85 Kbps"
8,"Top > Fine Hall",31,61,"1.26 GB","12.26 Kbps"
9,"Top > 185 Nassau St.",21,43,"1.12 GB","12.04 Kbps"
10,"Top > West Windsor Maintenance Yard",3,3,"1.11 GB","393.51 Kbps"
11,"Top > Engineering Quad > J Wing",26,31,"1.10 GB","30.92 Kbps"
12,"Top > Firestone Library",125,124,"1.08 GB","5.86 Kbps"
13,"Top > Bendheim Center for Finance",6,9,"1.07 GB","67.30 Kbps"
14,"Top > Architecture Building",45,55,"1.01 GB","25.77 Kbps"
15,"Top > Nassau Hall",21,24,"946.83 MB","14.85 Kbps"
16,"Top > Computer Science",38,49,"936.13 MB","20.38 Kbps"
17,"Top > Frick Chemistry Laboratory",78,88,"912.34 MB","9.22 Kbps"
18,"Top > Neuro-Institute-Psych",114,128,"805.74 MB","5.89 Kbps"
19,"Top > Engineering Quad > C Wing",32,45,"795.38 MB","26.51 Kbps"
20,"Top > Thomas Laboratory",34,51,"783.15 MB","8.27 Kbps"
21,"Top > Andlinger",40,43,"744.84 MB","11.03 Kbps"
22,"Top > Lowrie House",11,11,"648.47 MB","46.11 Kbps"
23,"Top > 1879 Hall",31,67,"645 MB","15.64 Kbps"
24,"Top > 5 Ivy Lane",5,5,"602.56 MB","40.17 Kbps"
25,"Top > 36 University Place",22,37,"592.48 MB","12.39 Kbps"
26,"Top > New South Building",39,61,"589.29 MB","16.12 Kbps"
27,"Top > Wallace Hall",27,30,"523.49 MB","15.09 Kbps"
28,"Top > Jadwin Gym",25,34,"485.07 MB","6.72 Kbps"
29,"Top > Engineering Quad > D Wing",23,31,"405.54 MB","10.06 Kbps"
30,"Top > Prospect House",7,24,"400.39 MB","13.35 Kbps"
31,"Top > 200 Elm Dr.",33,46,"389.23 MB","24.42 Kbps"
32,"Top > Frist Campus Center",75,107,"385.09 MB","3.63 Kbps"
33,"Top > Guyot Hall",55,85,"370 MB","2.82 Kbps"
34,"Top > Von Neumann Hall",16,29,"268.86 MB","23.90 Kbps"
35,"Top > East Pyne Building",28,43,"256.70 MB","4.28 Kbps"
36,"Top > Caldwell Field House",17,22,"253.58 MB","4.29 Kbps"
37,"Top > DeNunzio Pool",17,23,"252.44 MB","14.17 Kbps"
38,"Top > Shea Rowing Center",18,20,"223.89 MB","8.85 Kbps"
39,"Top > Engineering Quad > A Wing",14,17,"204.11 MB","8.71 Kbps"
40,"Top > Woolworth Music Center",21,33,"203.99 MB","3.69 Kbps"
41,"Top > 306 Alexander",24,34,"195.75 MB","20.88 Kbps"
42,"Top > Haaga House",24,48,"182.60 MB","27.83 Kbps"
43,"Top > Engineering Quad > F Wing",12,21,"176.38 MB","15.68 Kbps"
44,"Top > Dillon Court East/West",13,35,"167.54 MB","7.15 Kbps"
45,"Top > Princeton Station",9,27,"144.26 MB","21.98 Kbps"
46,"Top > 20 Washington Road (Old Frick)",43,57,"136.01 MB","0.85 Kbps"
47,"Top > McCosh Infirmary",46,60,"126.03 MB","1.89 Kbps"
48,"Top > McCosh Hall",20,47,"122.39 MB","3.26 Kbps"
49,"Top > Engineering Quad > B Wing",21,29,"106.76 MB","2.37 Kbps"
50,"Top > 701 Carnegie",58,58,"95.66 MB","3.04 Kbps"
51,"Top > 169 Nassau St.",3,9,"93.50 MB","33.24 Kbps"
52,"Top > Fitzrandolph Observatory",2,3,"86.30 MB","92.06 Kbps"
53,"Top > GBM-Trailer",13,27,"85.81 MB","13.08 Kbps"
54,"Top > Engineering Quad > G Wing",10,13,"82.90 MB","5.53 Kbps"
55,"Top > Baker Rink",12,62,"82.67 MB","2.59 Kbps"
56,"Top > 91 Prospect Ave.",11,16,"67.41 MB","3.99 Kbps"
57,"Top > Dillon Gym",50,84,"65.90 MB","1.12 Kbps"
58,"Top > Robertson Hall",27,42,"63.16 MB","0.94 Kbps"
59,"Top > Hoyt Lab",8,15,"58.39 MB","1.73 Kbps"
60,"Top > 330 Alexander St.",15,17,"58.17 MB","2.48 Kbps"
61,"Top > Bowen Hall",8,11,"48.94 MB","0.90 Kbps"
62,"Top > 22 Chambers St.",12,14,"44.14 MB","2.77 Kbps"
63,"Top > Architecture Lab",22,42,"39.84 MB","10.62 Kbps"
64,"Top > Elementary Particles Lab",7,14,"38.63 MB","1.79 Kbps"
65,"Top > Lewis Science Library",24,25,"38.57 MB","0.86 Kbps"
66,"Top > Moffett-Schultz Laboratory",33,44,"34.12 MB","0.47 Kbps"
67,"Top > Fisher-Bendheim-Corwin",9,19,"33.98 MB","0.66 Kbps"
68,"Top > 87 Prospect",29,27,"20.66 MB","0.96 Kbps"
69,"Top > 48 Unversity Place",12,20,"20.05 MB","0.93 Kbps"
70,"Top > Jones Hall",14,28,"17.12 MB","0.55 Kbps"
71,"Top > Palmer House",4,4,"16.74 MB","0.99 Kbps"
72,"Top > 221 Nassau St.",18,23,"15.95 MB","1.13 Kbps"
73,"Top > Sayre Hall",3,4,"15.93 MB","1.70 Kbps"
74,"Top > 201 Nassau St.",5,9,"15.25 MB","1.08 Kbps"
75,"Top > Eno Hall",11,16,"10.70 MB","1.14 Kbps"
76,"Top > Princeton Stadium",5,8,"10.68 MB","0.13 Kbps"
77,"Top > 228 Alexander St.",13,17,"10.56 MB","0.51 Kbps"
78,"Top > Campus Club",5,21,"10.48 MB","0.59 Kbps"
79,"Top > Bobst Hall",6,11,"9.63 MB","0.45 Kbps"
80,"Top > Chapel",2,10,"8.16 MB","0.67 Kbps"
81,"Top > Dickinson Hall",14,32,"7.36 MB","0.21 Kbps"
82,"Top > 282 Alexander",7,28,"7.05 MB","1.07 Kbps"
83,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",6,15,"6.89 MB","0.41 Kbps"
84,"Top > McCarter Theater",16,25,"6.27 MB","0.09 Kbps"
85,"Top > West College",14,14,"5.54 MB","0.16 Kbps"
86,"Top > Peyton Hall",13,24,"5.25 MB","0.08 Kbps"
87,"Top > Forrestal Campus > Gas Dynamics",7,7,"4.94 MB","0.19 Kbps"
88,"Top > Clio Hall",8,11,"4.62 MB","0.21 Kbps"
89,"Top > 194 Nassau St.",9,15,"4.30 MB","0.19 Kbps"
90,"Top > 755 Alexander Rd.",14,15,"4.23 MB","0.10 Kbps"
91,"Top > 294 Alexander Street",4,12,"4.09 MB","0.29 Kbps"
92,"Top > Friend Center > Friend Center Event APs",3,5,"4.04 MB","0.48 Kbps"
93,"Top > McDonnell Hall",11,16,"3.50 MB","0.11 Kbps"
94,"Top > PU Press",6,15,"3.12 MB","0.07 Kbps"
95,"Top > Alexander Hall",4,10,"2.82 MB","0.20 Kbps"
96,"Top > 199 Nassau St.",8,10,"2.36 MB","0.36 Kbps"
97,"Top > Roberts Stadium",2,7,"1.87 MB","0.13 Kbps"
98,"Top > 58 Prospect",6,12,"1.61 MB","0.06 Kbps"
99,"Top > 350 Alexander",2,4,"1.57 MB","0.42 Kbps"
100,"Top > Henry House",2,7,"1.48 MB","0.26 Kbps"
101,"Top > Stanhope Hall",4,9,"1.25 MB","0.07 Kbps"
102,"Top > 179-183 Nassau St.",2,4,"1.14 MB","0.40 Kbps"
103,"Top > Mudd Library",4,7,"0.97 MB","0.02 Kbps"
104,"Top > Friend Center",4,7,"0.78 MB","0.02 Kbps"
105,"Top > Whig Hall",1,5,"0.25 MB","0.01 Kbps"
106,"Top > 71 University Place",4,10,"0.24 MB","0.07 Kbps"
107,"Top > LCA",2,2,"0.18 MB","0.05 Kbps"
108,"Top > Maclean House",1,1,"0.15 MB","0.02 Kbps"
109,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",0,3,"0.10 MB","0.11 Kbps"
110,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
111,"Top > 1952 Field House",1,1,"0 MB","0 Kbps"
112,"Top > 4 Mercer",1,1,"0 MB","0 Kbps"
113,"Top > Cordish Family Pavilion",1,1,"0 MB","0 Kbps"
114,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
115,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
116,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
117,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
118,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
119,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
120,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
121,Top,0,0,"0 MB","0 Kbps"
122,"Top > Clark Field",0,0,"0 MB","0 Kbps"
123,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
124,"Top > 16 Stockton St.",0,0,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
