Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",392,577,"78.20 GB","423.43 Kbps"
2,"Top > Frist Campus Center",297,890,"53.13 GB","484.35 Kbps"
3,"Top > Dillon Gym",169,627,"19.94 GB","337.53 Kbps"
4,"Top > Neuro-Institute-Psych",138,161,"8.38 GB","61.22 Kbps"
5,"Top > Frick Chemistry Laboratory",138,184,"14.69 GB","142.43 Kbps"
6,"Top > Lewis Science Library",135,225,"26.69 GB","593.13 Kbps"
7,"Top > East Pyne Building",119,644,"6.86 GB","114.40 Kbps"
8,"Top > Jadwin Hall",115,202,"22.55 GB","171.80 Kbps"
9,"Top > Sherrerd Hall",101,117,"15.54 GB","290.80 Kbps"
10,"Top > Fine Hall",97,341,"10.93 GB","105.97 Kbps"
11,"Top > Architecture Building",93,320,"29.89 GB","759.09 Kbps"
12,"Top > Guyot Hall",79,304,"4.71 GB","35.91 Kbps"
13,"Top > 1879 Hall",77,752,"1.89 GB","45.84 Kbps"
14,"Top > Carl Icahn",76,141,"11.51 GB","137.98 Kbps"
15,"Top > 20 Washington Road (Old Frick)",75,224,"6.84 GB","42.92 Kbps"
16,"Top > Wallace Hall",74,102,"14.22 GB","410.01 Kbps"
17,"Top > Woolworth Music Center",74,476,"6.86 GB","123.99 Kbps"
18,"Top > McCosh Infirmary",67,317,"435.98 MB","6.55 Kbps"
19,"Top > 36 University Place",66,488,"1.78 GB","37.13 Kbps"
20,"Top > McCosh Hall",62,374,"2.66 GB","71 Kbps"
21,"Top > Computer Science",60,134,"16.11 GB","350.69 Kbps"
22,"Top > Engineering Quad > C Wing",60,133,"5.82 GB","194.08 Kbps"
23,"Top > Caldwell Field House",59,116,"3.83 GB","64.89 Kbps"
24,"Top > 701 Carnegie",59,61,"484.17 MB","14.76 Kbps"
25,"Top > 185 Nassau St.",58,256,"5.91 GB","63.63 Kbps"
26,"Top > Robertson Hall",55,375,"2.22 GB","32.89 Kbps"
27,"Top > McCarter Theater",54,303,"718.34 MB","10.08 Kbps"
28,"Top > Campus Club",50,363,"5.13 GB","288.13 Kbps"
29,"Top > 48 Unversity Place",49,318,"5.73 GB","265.82 Kbps"
30,"Top > Thomas Laboratory",48,140,"1.76 GB","18.61 Kbps"
31,"Top > Fisher-Bendheim-Corwin",46,161,"5.53 GB","107.20 Kbps"
32,"Top > Moffett-Schultz Laboratory",46,146,"1.88 GB","26.01 Kbps"
33,"Top > Engineering Quad > F Wing",43,96,"4.18 GB","371.76 Kbps"
34,"Top > New South Building",43,133,"146.87 MB","4.02 Kbps"
35,"Top > Engineering Quad > D Wing",42,68,"8.26 GB","204.99 Kbps"
36,"Top > Engineering Quad > E Wing",41,78,"5.53 GB","151.30 Kbps"
37,"Top > Chapel",41,308,"1.45 GB","118.84 Kbps"
38,"Top > Nassau Hall",39,394,"417.13 MB","6.54 Kbps"
39,"Top > MacMillan Building",38,54,"193.14 MB","4.38 Kbps"
40,"Top > Andlinger",38,48,"1.67 GB","24.70 Kbps"
41,"Top > Friend Center",36,61,"3.56 GB","74.37 Kbps"
42,"Top > Engineering Quad > J Wing",33,49,"2.51 GB","70.41 Kbps"
43,"Top > McDonnell Hall",32,56,"4.33 GB","135.94 Kbps"
44,"Top > Baker Rink",32,228,"1.08 GB","33.94 Kbps"
45,"Top > 221 Nassau St.",31,150,"739.04 MB","52.55 Kbps"
46,"Top > Prospect House",31,528,"366.24 MB","12.21 Kbps"
47,"Top > Peyton Hall",29,109,"793.28 MB","12.44 Kbps"
48,"Top > DeNunzio Pool",28,46,"925.73 MB","51.97 Kbps"
49,"Top > 179-183 Nassau St.",28,142,"787.44 MB","279.98 Kbps"
50,"Top > 169 Nassau St.",28,205,"177.53 MB","63.12 Kbps"
51,"Top > Jones Hall",28,360,"1.70 GB","54.86 Kbps"
52,"Top > Alexander Hall",28,108,"587.47 MB","41.78 Kbps"
53,"Top > 200 Elm Dr.",28,80,"454.70 MB","28.53 Kbps"
54,"Top > Engineering Quad > B Wing",27,53,"2.89 GB","64.13 Kbps"
55,"Top > 87 Prospect",27,30,"15.41 MB","0.71 Kbps"
56,"Top > Architecture Lab",26,113,"226.58 MB","60.42 Kbps"
57,"Top > Dillon Court East/West",26,245,"144.90 MB","6.18 Kbps"
58,"Top > 693 Alexander Rd.",25,25,"7.47 GB","194.33 Kbps"
59,"Top > Maclean House",23,252,"319.27 MB","48.65 Kbps"
60,"Top > 194 Nassau St.",22,161,"155.29 MB","6.90 Kbps"
61,"Top > 22 Chambers St.",22,63,"292.59 MB","18.36 Kbps"
62,"Top > Dickinson Hall",22,194,"164.29 MB","4.61 Kbps"
63,"Top > Princeton Station",21,156,"573.27 MB","87.36 Kbps"
64,"Top > Eno Hall",21,108,"2.48 GB","264.29 Kbps"
65,"Top > Jadwin Gym",21,56,"462.73 MB","6.41 Kbps"
66,"Top > West College",20,96,"32.15 MB","0.95 Kbps"
67,"Top > Engineering Quad > A Wing",19,28,"746.18 MB","31.84 Kbps"
68,"Top > Hoyt Lab",17,85,"2.83 GB","83.94 Kbps"
69,"Top > 330 Alexander St.",16,35,"750.26 MB","32.01 Kbps"
70,"Top > Clio Hall",15,164,"41.20 MB","1.83 Kbps"
71,"Top > Henry House",15,140,"270.90 MB","48.16 Kbps"
72,"Top > 306 Alexander",15,50,"13.17 MB","1.41 Kbps"
73,"Top > Elementary Particles Lab",15,42,"113.32 MB","5.26 Kbps"
74,"Top > 755 Alexander Rd.",14,14,"4.30 MB","0.10 Kbps"
75,"Top > Bobst Hall",13,25,"2.22 GB","103.02 Kbps"
76,"Top > 71 University Place",13,97,"222.65 MB","59.37 Kbps"
77,"Top > Shea Rowing Center",13,19,"788.58 MB","31.15 Kbps"
78,"Top > Engineering Quad > G Wing",12,21,"1.23 GB","81.90 Kbps"
79,"Top > Princeton Stadium",12,75,"144.51 MB","1.71 Kbps"
80,"Top > Lowrie House",12,13,"826.98 MB","58.81 Kbps"
