Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Carl Icahn",49,57,"8.09 GB","96.92 Kbps"
2,"Top > 693 Alexander Rd.",27,27,"7.67 GB","199.49 Kbps"
3,"Top > Architecture Building",46,65,"7.49 GB","190.29 Kbps"
4,"Top > Engineering Quad > C Wing",28,33,"6.68 GB","222.73 Kbps"
5,"Top > Frist Campus Center",92,140,"6.31 GB","57.56 Kbps"
6,"Top > Engineering Quad > E Wing",21,21,"2.69 GB","73.52 Kbps"
7,"Top > Frick Chemistry Laboratory",91,99,"2.11 GB","20.46 Kbps"
8,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",9,13,"1.97 GB","123.61 Kbps"
9,"Top > Fine Hall",35,46,"1.90 GB","18.43 Kbps"
10,"Top > 4 Mercer",2,4,"1.70 GB","453.40 Kbps"
11,"Top > Jadwin Hall",48,58,"1.51 GB","11.53 Kbps"
12,"Top > Guyot Hall",60,79,"1.24 GB","9.45 Kbps"
13,"Top > Wallace Hall",27,27,"1.10 GB","31.77 Kbps"
14,"Top > Sherrerd Hall",51,55,"1.09 GB","20.39 Kbps"
15,"Top > 22 Chambers St.",11,13,"1.06 GB","66.39 Kbps"
16,"Top > 200 Elm Dr.",27,45,"854.27 MB","53.60 Kbps"
17,"Top > Neuro-Institute-Psych",115,121,"789.41 MB","5.77 Kbps"
18,"Top > Andlinger",34,35,"670.89 MB","9.94 Kbps"
19,"Top > MacMillan Building",41,47,"544.88 MB","12.37 Kbps"
20,"Top > Stanhope Hall",4,12,"513.58 MB","30.43 Kbps"
21,"Top > Woolworth Music Center",28,45,"419.37 MB","7.58 Kbps"
22,"Top > 36 University Place",44,123,"413.80 MB","8.65 Kbps"
23,"Top > Jadwin Gym",19,21,"409.38 MB","5.67 Kbps"
24,"Top > 306 Alexander",14,18,"376.93 MB","40.21 Kbps"
25,"Top > Firestone Library",73,73,"365.17 MB","1.98 Kbps"
26,"Top > West College",17,24,"347.88 MB","10.31 Kbps"
27,"Top > 701 Carnegie",58,58,"339.90 MB","10.36 Kbps"
28,"Top > New South Building",38,73,"335.78 MB","9.18 Kbps"
29,"Top > East Pyne Building",29,56,"309.97 MB","5.17 Kbps"
30,"Top > Computer Science",39,42,"307.32 MB","6.69 Kbps"
31,"Top > Engineering Quad > B Wing",16,20,"283.34 MB","6.30 Kbps"
32,"Top > Thomas Laboratory",31,37,"267.34 MB","2.82 Kbps"
33,"Top > Clio Hall",9,25,"259.85 MB","11.55 Kbps"
34,"Top > 1879 Hall",27,74,"241.80 MB","5.86 Kbps"
35,"Top > McCarter Theater",20,48,"142.80 MB","2 Kbps"
36,"Top > McCosh Infirmary",51,86,"124.15 MB","1.87 Kbps"
37,"Top > 20 Washington Road (Old Frick)",41,54,"118.52 MB","0.74 Kbps"
38,"Top > Princeton Station",11,44,"97.21 MB","14.81 Kbps"
39,"Top > Engineering Quad > D Wing",20,28,"96.56 MB","2.40 Kbps"
40,"Top > Lowrie House",12,12,"94 MB","6.68 Kbps"
41,"Top > DeNunzio Pool",4,5,"88.37 MB","4.96 Kbps"
42,"Top > Baker Rink",13,58,"88.23 MB","2.77 Kbps"
43,"Top > Caldwell Field House",13,16,"79.34 MB","1.34 Kbps"
44,"Top > 1952 Field House",10,17,"78.05 MB","11.89 Kbps"
45,"Top > Engineering Quad > J Wing",22,23,"65.94 MB","1.85 Kbps"
46,"Top > Roberts Stadium",6,29,"58.43 MB","4.16 Kbps"
47,"Top > Dillon Gym",62,132,"58 MB","0.98 Kbps"
48,"Top > Robertson Hall",30,47,"56.16 MB","0.83 Kbps"
49,"Top > McCosh Hall",23,44,"45.30 MB","1.21 Kbps"
50,"Top > Fisher-Bendheim-Corwin",11,19,"40.50 MB","0.79 Kbps"
51,"Top > Eno Hall",9,13,"39.13 MB","4.17 Kbps"
52,"Top > 194 Nassau St.",10,18,"38.57 MB","1.71 Kbps"
53,"Top > Engineering Quad > F Wing",11,14,"35.95 MB","3.20 Kbps"
54,"Top > Prospect House",6,35,"34.42 MB","1.15 Kbps"
55,"Top > Lewis Science Library",25,27,"32.73 MB","0.73 Kbps"
56,"Top > 48 Unversity Place",15,52,"31.82 MB","1.48 Kbps"
57,"Top > 185 Nassau St.",15,25,"29.36 MB","0.32 Kbps"
58,"Top > Von Neumann Hall",9,10,"29.26 MB","2.60 Kbps"
59,"Top > Moffett-Schultz Laboratory",32,37,"27.53 MB","0.38 Kbps"
60,"Top > 87 Prospect",25,25,"26.90 MB","1.25 Kbps"
61,"Top > 221 Nassau St.",16,20,"25.54 MB","1.82 Kbps"
62,"Top > 330 Alexander St.",15,19,"25.38 MB","1.08 Kbps"
63,"Top > Architecture Lab",20,23,"22.83 MB","6.09 Kbps"
64,"Top > Henry House",4,10,"18.78 MB","3.34 Kbps"
65,"Top > Dickinson Hall",14,28,"17.76 MB","0.50 Kbps"
66,"Top > Palmer House",7,7,"17.70 MB","1.05 Kbps"
67,"Top > Engineering Quad > A Wing",11,12,"16.86 MB","0.72 Kbps"
68,"Top > Bowen Hall",8,8,"14.71 MB","0.27 Kbps"
69,"Top > Jones Hall",16,51,"14.69 MB","0.47 Kbps"
70,"Top > Dillon Court East/West",10,38,"14.56 MB","0.62 Kbps"
71,"Top > Engineering Quad > G Wing",6,7,"12.82 MB","0.85 Kbps"
72,"Top > 755 Alexander Rd.",13,13,"12.60 MB","0.29 Kbps"
73,"Top > Forrestal Campus > Gas Dynamics",6,6,"11.37 MB","0.43 Kbps"
74,"Top > Sayre Hall",3,3,"11.09 MB","1.18 Kbps"
75,"Top > Bobst Hall",4,4,"9.18 MB","0.43 Kbps"
76,"Top > Peyton Hall",13,23,"9.14 MB","0.14 Kbps"
77,"Top > Cordish Family Pavilion",1,2,"6.89 MB","1.84 Kbps"
78,"Top > 228 Alexander St.",8,13,"6.09 MB","0.30 Kbps"
79,"Top > GBM-Trailer",3,4,"5.88 MB","0.90 Kbps"
80,"Top > Nassau Hall",17,34,"5.66 MB","0.09 Kbps"
81,"Top > 282 Alexander",5,13,"5.30 MB","0.81 Kbps"
82,"Top > Campus Club",6,30,"4.70 MB","0.26 Kbps"
83,"Top > 294 Alexander Street",5,8,"4.41 MB","0.31 Kbps"
84,"Top > Bendheim Center for Finance",4,12,"2.87 MB","0.18 Kbps"
85,"Top > Hoyt Lab",5,7,"2.83 MB","0.08 Kbps"
86,"Top > 91 Prospect Ave.",6,7,"2.80 MB","0.17 Kbps"
87,"Top > Alexander Hall",10,17,"2.67 MB","0.19 Kbps"
88,"Top > Princeton Stadium",5,8,"2.66 MB","0.03 Kbps"
89,"Top > 199 Nassau St.",7,9,"2.54 MB","0.39 Kbps"
90,"Top > Whig Hall",4,13,"2.39 MB","0.13 Kbps"
91,"Top > Shea Rowing Center",15,18,"2.37 MB","0.09 Kbps"
92,"Top > PU Press",6,10,"2.14 MB","0.05 Kbps"
93,"Top > McDonnell Hall",9,9,"2.02 MB","0.06 Kbps"
94,"Top > 350 Alexander",3,6,"1.74 MB","0.46 Kbps"
95,"Top > 201 Nassau St.",5,11,"1.73 MB","0.12 Kbps"
96,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",4,11,"1.25 MB","0.07 Kbps"
97,"Top > Mudd Library",4,7,"1.05 MB","0.02 Kbps"
98,"Top > 179-183 Nassau St.",2,6,"1.03 MB","0.36 Kbps"
99,"Top > Elementary Particles Lab",5,6,"0.76 MB","0.04 Kbps"
100,"Top > 71 University Place",5,12,"0.68 MB","0.18 Kbps"
101,"Top > 169 Nassau St.",5,12,"0.66 MB","0.23 Kbps"
102,"Top > Maclean House",1,6,"0.59 MB","0.09 Kbps"
103,"Top > Friend Center",6,6,"0.56 MB","0.01 Kbps"
104,"Top > Haaga House",1,3,"0.56 MB","0.08 Kbps"
105,"Top > 5 Ivy Lane",3,4,"0.55 MB","0.04 Kbps"
106,"Top > LCA",2,2,"0.49 MB","0.13 Kbps"
107,"Top > 58 Prospect",1,2,"0.13 MB","0 Kbps"
108,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
109,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",0,2,"0.08 MB","0.08 Kbps"
110,"Top > Fitzrandolph Observatory",0,2,"0.01 MB","0.01 Kbps"
111,"Top > Friend Center > Friend Center Event APs",1,2,"0.01 MB","0 Kbps"
112,"Top > Chapel",2,3,"0.01 MB","0 Kbps"
113,"Top > 16 Stockton St.",1,1,"0 MB","0 Kbps"
114,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
115,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
116,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
117,"Top > West Windsor Maintenance Yard",0,0,"0 MB","0 Kbps"
118,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
119,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
120,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
121,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
122,Top,0,0,"0 MB","0 Kbps"
123,"Top > Clark Field",0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
