Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",285,365,"48.42 GB","262.15 Kbps"
2,"Top > Computer Science",135,230,"26.64 GB","579.99 Kbps"
3,"Top > Lewis Science Library",92,120,"15.45 GB","343.31 Kbps"
4,"Top > Frist Campus Center",164,1202,"11.84 GB","112.35 Kbps"
5,"Top > Neuro-Institute-Psych",127,141,"11.31 GB","82.66 Kbps"
6,"Top > Dillon Gym",173,1103,"10.51 GB","177.95 Kbps"
7,"Top > Wallace Hall",54,78,"7.68 GB","221.30 Kbps"
8,"Top > 20 Washington Road (Old Frick)",104,339,"7.30 GB","45.79 Kbps"
9,"Top > Robertson Hall",123,862,"6.85 GB","105.75 Kbps"
10,"Top > Fine Hall",59,258,"6.13 GB","59.42 Kbps"
11,"Top > 1879 Hall",247,1990,"5.78 GB","140.05 Kbps"
12,"Top > Engineering Quad > E Wing",32,69,"5.09 GB","139.34 Kbps"
13,"Top > Prospect House",106,1144,"5.03 GB","167.52 Kbps"
14,"Top > Carl Icahn",62,104,"5.01 GB","60.08 Kbps"
15,"Top > Frick Chemistry Laboratory",125,149,"4.74 GB","47.83 Kbps"
16,"Top > Jadwin Gym",35,70,"3.73 GB","51.66 Kbps"
17,"Top > Fisher-Bendheim-Corwin",37,339,"3.71 GB","71.90 Kbps"
18,"Top > Architecture Building",67,911,"3.55 GB","90.06 Kbps"
19,"Top > Thomas Laboratory",51,181,"3.38 GB","35.66 Kbps"
20,"Top > Chapel",82,328,"3.35 GB","274.59 Kbps"
21,"Top > Guyot Hall",74,393,"3.26 GB","24.80 Kbps"
22,"Top > DeNunzio Pool",79,119,"3 GB","168.25 Kbps"
23,"Top > Engineering Quad > C Wing",37,94,"2.83 GB","94.34 Kbps"
24,"Top > Jadwin Hall",57,122,"2.79 GB","21.29 Kbps"
25,"Top > Friend Center",44,89,"2.57 GB","56.06 Kbps"
26,"Top > Sherrerd Hall",68,82,"2.32 GB","43.41 Kbps"
27,"Top > Engineering Quad > B Wing",23,38,"2.16 GB","47.90 Kbps"
28,"Top > McCarter Theater",75,536,"2.02 GB","28.42 Kbps"
29,"Top > Andlinger",40,53,"1.85 GB","27.41 Kbps"
30,"Top > East Pyne Building",56,629,"1.63 GB","27.16 Kbps"
31,"Top > Engineering Quad > D Wing",32,45,"1.50 GB","37.26 Kbps"
32,"Top > 228 Alexander St.",12,38,"1.45 GB","70.43 Kbps"
33,"Top > 36 University Place",74,583,"1.45 GB","30.37 Kbps"
34,"Top > Hoyt Lab",15,68,"1.16 GB","34.43 Kbps"
35,"Top > Woolworth Music Center",60,1289,"1.15 GB","20.80 Kbps"
36,"Top > McCosh Hall",65,593,"1.11 GB","29.58 Kbps"
37,"Top > 200 Elm Dr.",38,95,"944.62 MB","59.27 Kbps"
38,"Top > Peyton Hall",21,97,"900.31 MB","14.12 Kbps"
39,"Top > 693 Alexander Rd.",27,27,"868.14 MB","22.59 Kbps"
40,"Top > Baker Rink",33,249,"812.16 MB","25.48 Kbps"
41,"Top > 306 Alexander",21,93,"783.04 MB","83.52 Kbps"
42,"Top > Nassau Hall",45,424,"772.71 MB","12.12 Kbps"
43,"Top > Engineering Quad > A Wing",18,27,"771.50 MB","32.92 Kbps"
44,"Top > West College",21,144,"758.43 MB","22.47 Kbps"
45,"Top > Eno Hall",19,151,"728.58 MB","77.72 Kbps"
46,"Top > Lowrie House",13,13,"672.42 MB","47.82 Kbps"
47,"Top > Palmer House",12,52,"648.86 MB","38.45 Kbps"
48,"Top > Engineering Quad > F Wing",17,58,"628.84 MB","55.90 Kbps"
49,"Top > Architecture Lab",33,96,"536.49 MB","143.06 Kbps"
50,"Top > Engineering Quad > J Wing",22,30,"520.94 MB","14.62 Kbps"
51,"Top > Elementary Particles Lab",12,49,"502.93 MB","23.32 Kbps"
52,"Top > MacMillan Building",43,60,"480.75 MB","10.91 Kbps"
53,"Top > Stanhope Hall",24,325,"474.57 MB","28.12 Kbps"
54,"Top > Shea Rowing Center",43,61,"467.57 MB","18.47 Kbps"
55,"Top > Princeton Station",25,165,"460.97 MB","70.24 Kbps"
56,"Top > Campus Club",104,747,"445.87 MB","25.03 Kbps"
57,"Top > 221 Nassau St.",26,122,"442.88 MB","31.49 Kbps"
58,"Top > 185 Nassau St.",31,188,"415.94 MB","4.48 Kbps"
59,"Top > McCosh Infirmary",57,384,"414.90 MB","6.23 Kbps"
60,"Top > 48 Unversity Place",78,610,"369.36 MB","17.13 Kbps"
61,"Top > 701 Carnegie",62,62,"350.94 MB","11.14 Kbps"
62,"Top > Jones Hall",52,781,"345.88 MB","11.65 Kbps"
63,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",7,20,"343.92 MB","21.58 Kbps"
64,"Top > 294 Alexander Street",10,89,"325.65 MB","23.16 Kbps"
65,"Top > 179-183 Nassau St.",16,98,"318.23 MB","113.15 Kbps"
66,"Top > Moffett-Schultz Laboratory",39,174,"315.18 MB","4.37 Kbps"
67,"Top > GBM-Trailer",12,91,"297.77 MB","45.37 Kbps"
68,"Top > Forrestal Campus > Gas Dynamics",7,7,"280.35 MB","10.68 Kbps"
69,"Top > 22 Chambers St.",20,59,"276.23 MB","17.33 Kbps"
70,"Top > Bendheim Center for Finance",80,442,"257.05 MB","16.13 Kbps"
71,"Top > Princeton Stadium",9,58,"241.35 MB","2.86 Kbps"
72,"Top > 194 Nassau St.",17,158,"237.35 MB","10.55 Kbps"
73,"Top > Bobst Hall",10,42,"223.98 MB","10.39 Kbps"
74,"Top > Engineering Quad > G Wing",9,18,"221.31 MB","14.75 Kbps"
75,"Top > Maclean House",30,336,"218.22 MB","33.25 Kbps"
76,"Top > Dillon Court East/West",49,524,"215.15 MB","9.18 Kbps"
77,"Top > New South Building",51,236,"186.19 MB","5.09 Kbps"
78,"Top > Whig Hall",22,281,"168.25 MB","9.45 Kbps"
79,"Top > 755 Alexander Rd.",15,17,"154.05 MB","3.57 Kbps"
80,"Top > Caldwell Field House",17,43,"153.61 MB","2.60 Kbps"
81,"Top > 71 University Place",18,201,"130.90 MB","34.91 Kbps"
