Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",793,2164,"105.54 GB","1 Mbps"
2,"Top > Firestone Library",658,984,"86.52 GB","468.47 Kbps"
3,"Top > Neuro-Institute-Psych",466,580,"80.30 GB","586.65 Kbps"
4,"Top > 20 Washington Road (Old Frick)",446,971,"59.63 GB","374.13 Kbps"
5,"Top > Computer Science",255,524,"50.06 GB","1.09 Mbps"
6,"Top > Frick Chemistry Laboratory",531,744,"45.85 GB","473.20 Kbps"
7,"Top > Lewis Science Library",227,390,"40.57 GB","901.46 Kbps"
8,"Top > Jadwin Hall",357,668,"34.92 GB","266.07 Kbps"
9,"Top > Carl Icahn",265,441,"34.46 GB","413.04 Kbps"
10,"Top > Guyot Hall",332,706,"31.84 GB","242.62 Kbps"
11,"Top > Thomas Laboratory",302,492,"30.33 GB","320.33 Kbps"
12,"Top > East Pyne Building",308,1102,"27.92 GB","465.27 Kbps"
13,"Top > Fine Hall",256,796,"27.15 GB","263.23 Kbps"
14,"Top > Moffett-Schultz Laboratory",198,332,"24.62 GB","341.03 Kbps"
15,"Top > Sherrerd Hall",224,384,"23.94 GB","448.07 Kbps"
16,"Top > Dillon Gym",192,656,"23.69 GB","401.16 Kbps"
17,"Top > Architecture Building",186,507,"22.83 GB","579.86 Kbps"
18,"Top > Robertson Hall",279,711,"22.60 GB","348.74 Kbps"
19,"Top > Engineering Quad > E Wing",218,344,"22.31 GB","610.29 Kbps"
20,"Top > Engineering Quad > D Wing",123,211,"19.27 GB","478.13 Kbps"
21,"Top > Engineering Quad > C Wing",164,370,"19.24 GB","641.26 Kbps"
22,"Top > Wallace Hall",141,220,"18.56 GB","534.97 Kbps"
23,"Top > Friend Center",194,318,"16.95 GB","369.35 Kbps"
24,"Top > Peyton Hall",121,303,"16.81 GB","263.62 Kbps"
25,"Top > 701 Carnegie",306,346,"16.61 GB","550.35 Kbps"
26,"Top > Shea Rowing Center",110,159,"16.46 GB","650.41 Kbps"
27,"Top > 1879 Hall",184,876,"16.06 GB","389.42 Kbps"
28,"Top > Engineering Quad > G Wing",81,110,"15.98 GB","1.07 Mbps"
29,"Top > Engineering Quad > B Wing",111,211,"15.87 GB","352.67 Kbps"
30,"Top > McCosh Infirmary",233,899,"13.71 GB","205.91 Kbps"
31,"Top > Engineering Quad > A Wing",107,162,"11.35 GB","484.31 Kbps"
32,"Top > Fisher-Bendheim-Corwin",150,543,"10.69 GB","207.31 Kbps"
33,"Top > Andlinger",150,271,"10.69 GB","158.30 Kbps"
34,"Top > West College",107,196,"9.92 GB","294.06 Kbps"
35,"Top > 185 Nassau St.",150,462,"9.65 GB","103.93 Kbps"
36,"Top > McCarter Theater",165,496,"9.54 GB","133.83 Kbps"
37,"Top > MacMillan Building",219,344,"9.35 GB","212.28 Kbps"
38,"Top > Engineering Quad > F Wing",101,224,"9.32 GB","828.32 Kbps"
39,"Top > 87 Prospect",93,113,"9.23 GB","428.22 Kbps"
40,"Top > 22 Chambers St.",92,135,"8.21 GB","514.89 Kbps"
41,"Top > Engineering Quad > J Wing",107,205,"8.14 GB","228.55 Kbps"
42,"Top > Jadwin Gym",108,201,"8.05 GB","111.49 Kbps"
43,"Top > Caldwell Field House",122,220,"7.85 GB","132.83 Kbps"
44,"Top > Hoyt Lab",69,158,"7.79 GB","230.79 Kbps"
45,"Top > Woolworth Music Center",205,704,"7.67 GB","138.75 Kbps"
46,"Top > 693 Alexander Rd.",96,109,"6.63 GB","172.43 Kbps"
47,"Top > 221 Nassau St.",57,198,"6.47 GB","460.15 Kbps"
48,"Top > Eno Hall",76,196,"5.64 GB","601.14 Kbps"
49,"Top > Prospect House",153,637,"5.31 GB","176.88 Kbps"
50,"Top > 36 University Place",109,427,"5.23 GB","109.49 Kbps"
51,"Top > DeNunzio Pool",20,38,"5.08 GB","285.17 Kbps"
52,"Top > New South Building",185,415,"4.94 GB","135.02 Kbps"
53,"Top > Jones Hall",97,557,"4.66 GB","156.86 Kbps"
54,"Top > 194 Nassau St.",69,263,"4.58 GB","203.42 Kbps"
55,"Top > 200 Elm Dr.",82,173,"4.35 GB","273.09 Kbps"
56,"Top > PU Press",94,278,"4.28 GB","97.18 Kbps"
57,"Top > Campus Club",64,580,"3.65 GB","205.06 Kbps"
58,"Top > Stanhope Hall",26,137,"3.61 GB","213.64 Kbps"
59,"Top > McCosh Hall",152,619,"3.18 GB","84.76 Kbps"
60,"Top > 330 Alexander St.",108,164,"3.10 GB","132.40 Kbps"
61,"Top > Henry House",46,202,"2.69 GB","497.26 Kbps"
62,"Top > Maclean House",50,241,"2.66 GB","404.94 Kbps"
63,"Top > Sayre Hall",39,50,"2.59 GB","288.12 Kbps"
64,"Top > Bowen Hall",52,73,"2.49 GB","45.78 Kbps"
65,"Top > Bobst Hall",26,52,"2.47 GB","114.57 Kbps"
66,"Top > Dickinson Hall",102,394,"2.42 GB","68 Kbps"
67,"Top > Von Neumann Hall",35,64,"2.40 GB","213.06 Kbps"
68,"Top > McDonnell Hall",35,72,"2.10 GB","68.61 Kbps"
69,"Top > 179-183 Nassau St.",27,169,"2.02 GB","719.63 Kbps"
70,"Top > 58 Prospect",39,153,"2 GB","76.24 Kbps"
71,"Top > Chapel",85,533,"1.95 GB","159.62 Kbps"
72,"Top > Baker Rink",63,356,"1.87 GB","58.74 Kbps"
73,"Top > 91 Prospect Ave.",30,66,"1.80 GB","106.56 Kbps"
74,"Top > 228 Alexander St.",43,60,"1.74 GB","84.36 Kbps"
75,"Top > 755 Alexander Rd.",36,45,"1.71 GB","39.62 Kbps"
76,"Top > 48 Unversity Place",33,172,"1.70 GB","78.94 Kbps"
77,"Top > Nassau Hall",138,605,"1.66 GB","26.09 Kbps"
78,"Top > 294 Alexander Street",16,94,"1.59 GB","113.17 Kbps"
79,"Top > 16 Stockton St.",18,50,"1.41 GB","1.51 Mbps"
80,"Top > 201 Nassau St.",36,156,"1.33 GB","94.93 Kbps"
81,"Top > Clio Hall",62,275,"1.33 GB","58.98 Kbps"
82,"Top > Friend Center > Friend Center Event APs",42,97,"1.20 GB","142.84 Kbps"
83,"Top > Mudd Library",41,192,"1.18 GB","26.20 Kbps"
84,"Top > 169 Nassau St.",38,252,"1.17 GB","416.64 Kbps"
85,"Top > 306 Alexander",55,147,"1.03 GB","109.99 Kbps"
86,"Top > Lowrie House",12,13,"708.77 MB","50.40 Kbps"
87,"Top > 5 Ivy Lane",12,23,"660.77 MB","44.05 Kbps"
88,"Top > Dillon Court East/West",57,320,"659.77 MB","28.15 Kbps"
89,"Top > West Windsor Maintenance Yard",28,44,"624.95 MB","222.21 Kbps"
90,"Top > Elementary Particles Lab",13,54,"571.40 MB","26.50 Kbps"
91,"Top > Architecture Lab",39,215,"557.67 MB","148.71 Kbps"
92,"Top > Princeton Stadium",28,167,"534.54 MB","6.34 Kbps"
93,"Top > GBM-Trailer",19,117,"515.73 MB","78.59 Kbps"
94,"Top > Princeton Station",19,121,"473.84 MB","72.20 Kbps"
95,"Top > Whig Hall",22,185,"468.64 MB","26.31 Kbps"
96,"Top > 350 Alexander",20,72,"452.46 MB","120.66 Kbps"
97,"Top > Bendheim Center for Finance",39,213,"407.20 MB","25.55 Kbps"
98,"Top > 199 Nassau St.",28,97,"403.52 MB","61.49 Kbps"
99,"Top > Forrestal Campus > Gas Dynamics",16,22,"347.57 MB","13.24 Kbps"
100,"Top > 4 Mercer",11,31,"309.69 MB","82.58 Kbps"
101,"Top > 282 Alexander",44,247,"282.13 MB","42.99 Kbps"
102,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",16,62,"259.60 MB","15.38 Kbps"
103,"Top > Forrestal Campus > Recap",11,11,"252.29 MB","67.28 Kbps"
104,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",18,87,"250.73 MB","15.73 Kbps"
