Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",1154,1684,"201.55 GB","1.09 Mbps"
2,"Top > Frist Campus Center",895,2286,"125.93 GB","1.25 Mbps"
3,"Top > Neuro-Institute-Psych",498,646,"77.41 GB","565.52 Kbps"
4,"Top > Computer Science",316,544,"52.81 GB","1.15 Mbps"
5,"Top > 20 Washington Road (Old Frick)",464,1049,"52.02 GB","326.38 Kbps"
6,"Top > East Pyne Building",489,1527,"51.19 GB","853.09 Kbps"
7,"Top > Lewis Science Library",300,473,"50.79 GB","1.13 Mbps"
8,"Top > Guyot Hall",322,832,"44.01 GB","335.30 Kbps"
9,"Top > Frick Chemistry Laboratory",466,609,"35.97 GB","375.56 Kbps"
10,"Top > Architecture Building",186,499,"35.93 GB","912.40 Kbps"
11,"Top > Friend Center",221,457,"34.40 GB","779.97 Kbps"
12,"Top > Jadwin Hall",325,594,"33.61 GB","256.07 Kbps"
13,"Top > Sherrerd Hall",218,378,"33.17 GB","620.79 Kbps"
14,"Top > Engineering Quad > E Wing",195,332,"31.43 GB","859.71 Kbps"
15,"Top > Robertson Hall",324,834,"31.05 GB","499.17 Kbps"
16,"Top > Carl Icahn",246,437,"30.22 GB","362.17 Kbps"
17,"Top > Wallace Hall",239,385,"29.71 GB","856.44 Kbps"
18,"Top > Dillon Gym",166,632,"26.22 GB","443.85 Kbps"
19,"Top > Thomas Laboratory",205,358,"25.56 GB","269.91 Kbps"
20,"Top > 701 Carnegie",324,378,"24.82 GB","822.35 Kbps"
21,"Top > Engineering Quad > C Wing",159,342,"23.89 GB","796.44 Kbps"
22,"Top > Peyton Hall",143,335,"23.32 GB","365.80 Kbps"
23,"Top > Fine Hall",277,855,"22.54 GB","218.60 Kbps"
24,"Top > Engineering Quad > D Wing",163,226,"22.44 GB","556.76 Kbps"
25,"Top > Andlinger",145,273,"16.26 GB","240.84 Kbps"
26,"Top > Fisher-Bendheim-Corwin",178,604,"15.55 GB","301.49 Kbps"
27,"Top > Moffett-Schultz Laboratory",161,373,"14.96 GB","207.27 Kbps"
28,"Top > Engineering Quad > F Wing",118,210,"14.57 GB","1.29 Mbps"
29,"Top > McCosh Infirmary",219,811,"13.57 GB","203.82 Kbps"
30,"Top > Jadwin Gym",97,177,"13.37 GB","185.22 Kbps"
31,"Top > New South Building",239,446,"12.10 GB","330.92 Kbps"
32,"Top > 36 University Place",128,422,"11.59 GB","242.48 Kbps"
33,"Top > Engineering Quad > B Wing",103,163,"10.94 GB","243.22 Kbps"
34,"Top > Engineering Quad > J Wing",102,169,"10.80 GB","303.28 Kbps"
35,"Top > 185 Nassau St.",136,417,"10.33 GB","111.27 Kbps"
36,"Top > 22 Chambers St.",95,140,"10.28 GB","645.13 Kbps"
37,"Top > 221 Nassau St.",77,251,"9.82 GB","698.04 Kbps"
38,"Top > MacMillan Building",200,308,"9.78 GB","221.96 Kbps"
39,"Top > Woolworth Music Center",181,649,"9.69 GB","175.18 Kbps"
40,"Top > 5 Ivy Lane",20,30,"9.52 GB","634.72 Kbps"
41,"Top > Jones Hall",108,534,"8.36 GB","293.72 Kbps"
42,"Top > Engineering Quad > A Wing",77,115,"8.17 GB","348.39 Kbps"
43,"Top > West College",104,204,"7.92 GB","234.57 Kbps"
44,"Top > Hoyt Lab",72,190,"7.84 GB","232.17 Kbps"
45,"Top > McCosh Hall",171,819,"7.54 GB","201.12 Kbps"
46,"Top > Dickinson Hall",98,535,"7.41 GB","208.10 Kbps"
47,"Top > 87 Prospect",89,102,"7.38 GB","342.38 Kbps"
48,"Top > Shea Rowing Center",61,96,"7.23 GB","285.76 Kbps"
49,"Top > Campus Club",47,496,"7.02 GB","394.08 Kbps"
50,"Top > Prospect House",136,635,"6.44 GB","214.54 Kbps"
51,"Top > 194 Nassau St.",69,332,"6.07 GB","269.59 Kbps"
52,"Top > 201 Nassau St.",37,202,"6.04 GB","429.21 Kbps"
53,"Top > 693 Alexander Rd.",87,100,"5.95 GB","154.91 Kbps"
54,"Top > Baker Rink",60,330,"5.47 GB","171.62 Kbps"
55,"Top > 91 Prospect Ave.",36,66,"4.85 GB","287.44 Kbps"
56,"Top > DeNunzio Pool",28,62,"4.78 GB","268.42 Kbps"
57,"Top > Eno Hall",69,214,"4.39 GB","468.64 Kbps"
58,"Top > Caldwell Field House",51,138,"4.29 GB","72.68 Kbps"
59,"Top > Friend Center > Friend Center Event APs",80,210,"4.26 GB","506.79 Kbps"
60,"Top > Von Neumann Hall",38,73,"4.17 GB","370.94 Kbps"
61,"Top > Engineering Quad > G Wing",68,103,"4.15 GB","276.94 Kbps"
62,"Top > Bowen Hall",71,112,"3.87 GB","71.23 Kbps"
63,"Top > PU Press",119,314,"3.42 GB","77.68 Kbps"
64,"Top > Princeton Stadium",50,195,"3.35 GB","39.66 Kbps"
65,"Top > 1879 Hall",165,1125,"3.29 GB","79.67 Kbps"
66,"Top > 58 Prospect",68,231,"3.18 GB","121.22 Kbps"
67,"Top > 179-183 Nassau St.",25,167,"2.69 GB","955.08 Kbps"
68,"Top > Chapel",124,832,"2.57 GB","211.16 Kbps"
69,"Top > Clio Hall",55,216,"2.48 GB","110.32 Kbps"
70,"Top > 200 Elm Dr.",78,146,"2.48 GB","155.55 Kbps"
71,"Top > 330 Alexander St.",118,157,"2.42 GB","103.10 Kbps"
72,"Top > McCarter Theater",95,293,"2.37 GB","33.30 Kbps"
73,"Top > Henry House",61,268,"2.32 GB","447.71 Kbps"
74,"Top > Mudd Library",42,203,"2.24 GB","49.81 Kbps"
75,"Top > 16 Stockton St.",17,44,"2.20 GB","2.34 Mbps"
76,"Top > Bobst Hall",31,77,"1.89 GB","87.74 Kbps"
