Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",537,712,"67.14 GB","363.52 Kbps"
2,"Top > Frist Campus Center",677,1344,"60.55 GB","617.70 Kbps"
3,"Top > Frick Chemistry Laboratory",509,766,"56.27 GB","604.67 Kbps"
4,"Top > Neuro-Institute-Psych",413,556,"45.50 GB","332.43 Kbps"
5,"Top > Guyot Hall",272,586,"43.62 GB","332.35 Kbps"
6,"Top > 20 Washington Road (Old Frick)",311,638,"34.98 GB","219.48 Kbps"
7,"Top > Engineering Quad > D Wing",166,226,"34.61 GB","960.37 Kbps"
8,"Top > Lewis Science Library",236,394,"34.46 GB","765.80 Kbps"
9,"Top > Fine Hall",299,749,"34.33 GB","332.94 Kbps"
10,"Top > East Pyne Building",379,928,"31.16 GB","519.35 Kbps"
11,"Top > Jadwin Hall",287,607,"29.08 GB","221.56 Kbps"
12,"Top > McDonnell Hall",226,488,"29.07 GB","1.01 Mbps"
13,"Top > Friend Center",233,433,"27.85 GB","626.82 Kbps"
14,"Top > Dillon Gym",205,515,"27.45 GB","464.75 Kbps"
15,"Top > Computer Science",219,510,"25.56 GB","556.42 Kbps"
16,"Top > Robertson Hall",286,630,"24.09 GB","385.46 Kbps"
17,"Top > Engineering Quad > J Wing",95,136,"23.84 GB","750.53 Kbps"
18,"Top > Carl Icahn",205,454,"23.79 GB","285.17 Kbps"
19,"Top > Thomas Laboratory",242,473,"21.70 GB","229.13 Kbps"
20,"Top > McCosh Infirmary",183,569,"19.64 GB","295.01 Kbps"
21,"Top > Engineering Quad > E Wing",157,273,"18.90 GB","583.22 Kbps"
22,"Top > Architecture Building",141,375,"17.10 GB","434.26 Kbps"
23,"Top > Peyton Hall",133,320,"16.37 GB","256.78 Kbps"
24,"Top > 701 Carnegie",306,340,"15.16 GB","487.39 Kbps"
25,"Top > Wallace Hall",152,263,"14.97 GB","431.55 Kbps"
26,"Top > Sherrerd Hall",195,293,"14.61 GB","273.49 Kbps"
27,"Top > Moffett-Schultz Laboratory",144,338,"13.80 GB","191.16 Kbps"
28,"Top > Andlinger",156,263,"12.88 GB","190.88 Kbps"
29,"Top > Jadwin Gym",121,187,"11.33 GB","156.99 Kbps"
30,"Top > MacMillan Building",238,359,"10.95 GB","248.47 Kbps"
31,"Top > 36 University Place",91,295,"10.88 GB","227.64 Kbps"
32,"Top > New South Building",195,333,"10.66 GB","291.67 Kbps"
33,"Top > Engineering Quad > A Wing",102,165,"10.14 GB","478.51 Kbps"
34,"Top > Engineering Quad > C Wing",153,304,"9.75 GB","358.83 Kbps"
35,"Top > Fisher-Bendheim-Corwin",123,345,"9.62 GB","186.58 Kbps"
36,"Top > Engineering Quad > B Wing",88,145,"8.92 GB","225.70 Kbps"
37,"Top > 22 Chambers St.",92,132,"8.68 GB","544.87 Kbps"
38,"Top > Engineering Quad > F Wing",62,105,"7.98 GB","788.74 Kbps"
39,"Top > 87 Prospect",108,137,"6.86 GB","318.18 Kbps"
40,"Top > 755 Alexander Rd.",29,46,"6.16 GB","142.89 Kbps"
41,"Top > 693 Alexander Rd.",87,112,"5.82 GB","151.30 Kbps"
42,"Top > Hoyt Lab",52,107,"5.51 GB","163.23 Kbps"
43,"Top > 194 Nassau St.",61,189,"5.40 GB","240.16 Kbps"
44,"Top > McCarter Theater",125,258,"4.56 GB","63.99 Kbps"
45,"Top > 1879 Hall",140,529,"4.43 GB","107.49 Kbps"
46,"Top > 185 Nassau St.",73,204,"4.25 GB","49.71 Kbps"
47,"Top > Dickinson Hall",93,232,"4.25 GB","119.23 Kbps"
48,"Top > Woolworth Music Center",117,511,"4.23 GB","76.51 Kbps"
49,"Top > Nassau Hall",136,491,"4.17 GB","65.46 Kbps"
50,"Top > 221 Nassau St.",60,144,"3.98 GB","282.92 Kbps"
51,"Top > Jones Hall",83,267,"3.95 GB","135.49 Kbps"
52,"Top > Stanhope Hall",36,87,"3.94 GB","233.41 Kbps"
53,"Top > West College",104,145,"3.84 GB","113.86 Kbps"
54,"Top > Prospect House",133,580,"3.73 GB","124.21 Kbps"
55,"Top > 330 Alexander St.",114,160,"3.71 GB","158.11 Kbps"
56,"Top > Engineering Quad > G Wing",55,74,"3.48 GB","251.18 Kbps"
57,"Top > Baker Rink",56,201,"3.14 GB","106.63 Kbps"
58,"Top > PU Press",105,228,"3.01 GB","68.29 Kbps"
59,"Top > Elementary Particles Lab",18,63,"2.99 GB","138.65 Kbps"
60,"Top > 58 Prospect",36,110,"2.88 GB","123.39 Kbps"
61,"Top > McCosh Hall",93,306,"2.74 GB","73.06 Kbps"
62,"Top > 200 Elm Dr.",72,135,"2.57 GB","161.01 Kbps"
63,"Top > Von Neumann Hall",36,65,"2.56 GB","249.46 Kbps"
64,"Top > 228 Alexander St.",52,73,"2.30 GB","111.71 Kbps"
65,"Top > Caldwell Field House",71,229,"2.24 GB","37.87 Kbps"
66,"Top > Sayre Hall",25,34,"2.11 GB","259.89 Kbps"
67,"Top > Chapel",64,447,"2.10 GB","172.28 Kbps"
68,"Top > Mudd Library",32,125,"1.96 GB","43.51 Kbps"
69,"Top > Friend Center > Friend Center Event APs",39,106,"1.69 GB","202.81 Kbps"
70,"Top > Campus Club",48,451,"1.61 GB","90.65 Kbps"
71,"Top > GBM-Trailer",24,73,"1.43 GB","217.63 Kbps"
72,"Top > Eno Hall",33,70,"1.39 GB","148.61 Kbps"
73,"Top > Bendheim Center for Finance",49,211,"1.26 GB","79.16 Kbps"
74,"Top > West Windsor Maintenance Yard",25,38,"1.18 GB","418.47 Kbps"
75,"Top > Maclean House",26,86,"1.13 GB","172.06 Kbps"
76,"Top > Dillon Court East/West",60,245,"1.06 GB","45.27 Kbps"
77,"Top > DeNunzio Pool",17,38,"1.05 GB","58.76 Kbps"
78,"Top > Clio Hall",52,202,"1.03 GB","45.68 Kbps"
79,"Top > Bowen Hall",39,65,"992.28 MB","20.51 Kbps"
80,"Top > 91 Prospect Ave.",39,68,"914.23 MB","54.18 Kbps"
81,"Top > Lowrie House",12,12,"893.55 MB","63.54 Kbps"
82,"Top > LCA",17,31,"870.18 MB","232.05 Kbps"
83,"Top > 306 Alexander",53,130,"703.03 MB","74.99 Kbps"
84,"Top > Henry House",31,145,"673.43 MB","132.97 Kbps"
85,"Top > Architecture Lab",58,257,"668.74 MB","178.33 Kbps"
86,"Top > 48 Unversity Place",28,115,"664.66 MB","30.82 Kbps"
87,"Top > Princeton Station",26,118,"599.15 MB","91.30 Kbps"
88,"Top > 5 Ivy Lane",10,18,"592.85 MB","39.52 Kbps"
89,"Top > Forrestal Campus > Gas Dynamics",22,29,"565 MB","21.52 Kbps"
90,"Top > Forrestal Campus > Recap",11,11,"469.99 MB","125.33 Kbps"
91,"Top > Princeton Stadium",34,144,"455.36 MB","5.40 Kbps"
92,"Top > 350 Alexander",17,36,"440.82 MB","117.55 Kbps"
93,"Top > 282 Alexander",29,139,"421.56 MB","70.84 Kbps"
94,"Top > 71 University Place",20,75,"412.30 MB","109.95 Kbps"
95,"Top > 199 Nassau St.",18,44,"383.84 MB","61.72 Kbps"
96,"Top > 201 Nassau St.",22,79,"365.12 MB","25.96 Kbps"
97,"Top > Bobst Hall",24,54,"358.68 MB","16.63 Kbps"
98,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",18,66,"327.88 MB","19.43 Kbps"
99,"Top > 169 Nassau St.",25,96,"308.80 MB","109.79 Kbps"
100,"Top > 4 Mercer",10,40,"285.74 MB","76.20 Kbps"
101,"Top > Shea Rowing Center",33,32,"281.27 MB","11.11 Kbps"
102,"Top > 179-183 Nassau St.",23,90,"208.52 MB","74.14 Kbps"
103,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",15,40,"175.54 MB","11.01 Kbps"
104,"Top > Haaga House",9,41,"127.26 MB","19.39 Kbps"
105,"Top > Whig Hall",46,183,"121.70 MB","6.83 Kbps"
106,"Top > Fitzrandolph Observatory",2,3,"116.19 MB","123.93 Kbps"
107,"Top > Palmer House",9,34,"105.78 MB","6.27 Kbps"
108,"Top > 294 Alexander Street",12,61,"96.85 MB","6.89 Kbps"
109,"Top > Alexander Hall",18,37,"69.57 MB","4.95 Kbps"
110,"Top > 16 Stockton St.",8,22,"67.38 MB","71.87 Kbps"
111,"Top > Roberts Stadium",24,132,"48.30 MB","3.43 Kbps"
112,"Top > 1952 Field House",3,13,"0.73 MB","0.11 Kbps"
113,"Top > HPCRC - 151 Forrestal Rd.",1,1,"0.37 MB","0.02 Kbps"
