Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",289,765,"45.18 GB","411.89 Kbps"
2,"Top > Firestone Library",385,459,"42.84 GB","231.95 Kbps"
3,"Top > Architecture Building",89,280,"25.23 GB","640.88 Kbps"
4,"Top > Carl Icahn",70,107,"17.91 GB","214.68 Kbps"
5,"Top > Fine Hall",93,265,"17.05 GB","165.32 Kbps"
6,"Top > Dillon Gym",142,539,"16.71 GB","282.86 Kbps"
7,"Top > Lewis Science Library",96,146,"15.15 GB","336.61 Kbps"
8,"Top > East Pyne Building",103,441,"12.72 GB","212.02 Kbps"
9,"Top > Neuro-Institute-Psych",127,153,"12.67 GB","92.55 Kbps"
10,"Top > Jadwin Hall",103,164,"9.70 GB","73.88 Kbps"
11,"Top > Sherrerd Hall",102,125,"9.53 GB","178.36 Kbps"
12,"Top > Engineering Quad > C Wing",60,141,"8.99 GB","299.80 Kbps"
13,"Top > Wallace Hall",62,76,"8.98 GB","258.87 Kbps"
14,"Top > Frick Chemistry Laboratory",115,135,"8.59 GB","83.28 Kbps"
15,"Top > 693 Alexander Rd.",25,25,"7.90 GB","205.55 Kbps"
16,"Top > 20 Washington Road (Old Frick)",64,171,"6.13 GB","38.49 Kbps"
17,"Top > 48 Unversity Place",48,276,"5.59 GB","259.16 Kbps"
18,"Top > 185 Nassau St.",45,125,"5.23 GB","56.39 Kbps"
19,"Top > Woolworth Music Center",80,410,"5.14 GB","92.97 Kbps"
20,"Top > Lowrie House",11,11,"5.02 GB","357.27 Kbps"
21,"Top > Guyot Hall",76,232,"5.01 GB","38.17 Kbps"
22,"Top > Engineering Quad > E Wing",36,70,"4.01 GB","109.76 Kbps"
23,"Top > 36 University Place",77,473,"3.94 GB","82.33 Kbps"
24,"Top > Computer Science",57,128,"3.03 GB","65.94 Kbps"
25,"Top > Engineering Quad > D Wing",36,67,"2.47 GB","61.39 Kbps"
26,"Top > Fisher-Bendheim-Corwin",19,98,"2.47 GB","47.91 Kbps"
27,"Top > Andlinger",38,45,"2.30 GB","34.14 Kbps"
28,"Top > Campus Club",21,263,"2.05 GB","115.20 Kbps"
29,"Top > Chapel",22,245,"1.92 GB","157.44 Kbps"
30,"Top > Thomas Laboratory",50,124,"1.81 GB","19.11 Kbps"
31,"Top > Friend Center",32,49,"1.71 GB","35.71 Kbps"
32,"Top > McCosh Hall",58,243,"1.70 GB","45.22 Kbps"
33,"Top > McDonnell Hall",30,59,"1.67 GB","52.44 Kbps"
34,"Top > Bobst Hall",10,21,"1.63 GB","75.53 Kbps"
35,"Top > Hoyt Lab",16,63,"1.61 GB","47.78 Kbps"
36,"Top > Engineering Quad > J Wing",28,49,"1.60 GB","44.86 Kbps"
37,"Top > 58 Prospect",11,57,"1.26 GB","48.12 Kbps"
38,"Top > New South Building",47,158,"1.23 GB","33.74 Kbps"
39,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",5,8,"1.21 GB","75.62 Kbps"
40,"Top > Engineering Quad > F Wing",34,89,"1.17 GB","103.69 Kbps"
41,"Top > Engineering Quad > G Wing",12,17,"1.11 GB","73.86 Kbps"
42,"Top > 169 Nassau St.",15,70,"997.97 MB","354.83 Kbps"
43,"Top > Palmer House",3,5,"848.30 MB","50.27 Kbps"
44,"Top > Robertson Hall",45,340,"724.36 MB","10.73 Kbps"
45,"Top > Engineering Quad > B Wing",26,60,"705.75 MB","15.68 Kbps"
46,"Top > 200 Elm Dr.",36,77,"687.90 MB","43.16 Kbps"
47,"Top > 1879 Hall",68,613,"655.72 MB","15.90 Kbps"
48,"Top > Bowen Hall",10,11,"506.96 MB","9.32 Kbps"
49,"Top > 221 Nassau St.",27,76,"483.80 MB","34.40 Kbps"
50,"Top > Jadwin Gym",20,26,"457.60 MB","6.34 Kbps"
51,"Top > 306 Alexander",14,35,"447.65 MB","47.75 Kbps"
52,"Top > Friend Center > Friend Center Event APs",10,22,"437.89 MB","51.90 Kbps"
53,"Top > Jones Hall",29,330,"422.99 MB","13.67 Kbps"
54,"Top > McCosh Infirmary",61,239,"406.05 MB","6.10 Kbps"
55,"Top > Roberts Stadium",9,44,"370.12 MB","26.32 Kbps"
56,"Top > Moffett-Schultz Laboratory",40,122,"358.63 MB","4.97 Kbps"
57,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",8,16,"352.51 MB","20.89 Kbps"
58,"Top > McCarter Theater",41,231,"330.78 MB","4.64 Kbps"
59,"Top > Baker Rink",30,243,"321.92 MB","10.10 Kbps"
60,"Top > Prospect House",41,402,"298.95 MB","9.96 Kbps"
61,"Top > Princeton Station",21,160,"298.31 MB","45.46 Kbps"
62,"Top > 22 Chambers St.",17,34,"242.17 MB","15.20 Kbps"
63,"Top > 194 Nassau St.",14,57,"215.82 MB","9.59 Kbps"
64,"Top > Eno Hall",21,92,"210.47 MB","22.45 Kbps"
65,"Top > Peyton Hall",29,74,"204.53 MB","3.21 Kbps"
66,"Top > Nassau Hall",32,222,"203.61 MB","3.19 Kbps"
67,"Top > Maclean House",10,98,"192.55 MB","29.34 Kbps"
68,"Top > Dillon Court East/West",31,248,"160.91 MB","6.87 Kbps"
69,"Top > 179-183 Nassau St.",8,56,"138.41 MB","49.21 Kbps"
70,"Top > MacMillan Building",39,52,"135.84 MB","3.08 Kbps"
71,"Top > 701 Carnegie",60,60,"127.46 MB","3.88 Kbps"
72,"Top > Engineering Quad > A Wing",17,28,"114.14 MB","4.87 Kbps"
73,"Top > DeNunzio Pool",1,1,"96.16 MB","5.40 Kbps"
74,"Top > GBM-Trailer",8,23,"88.31 MB","13.46 Kbps"
75,"Top > Caldwell Field House",21,24,"80.89 MB","1.37 Kbps"
76,"Top > Whig Hall",10,148,"67.68 MB","3.80 Kbps"
77,"Top > Clio Hall",14,129,"65.85 MB","2.93 Kbps"
78,"Top > 71 University Place",8,77,"43.19 MB","11.52 Kbps"
79,"Top > Dickinson Hall",20,127,"41.09 MB","1.15 Kbps"
80,"Top > Stanhope Hall",9,68,"31.55 MB","1.87 Kbps"
81,"Top > West College",22,74,"29.95 MB","0.89 Kbps"
82,"Top > 282 Alexander",8,64,"29.07 MB","4.43 Kbps"
83,"Top > Mudd Library",5,49,"27.25 MB","0.61 Kbps"
84,"Top > 87 Prospect",27,27,"26.64 MB","1.24 Kbps"
85,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",0,2,"23.54 MB","25.11 Kbps"
86,"Top > 330 Alexander St.",16,38,"22.37 MB","0.95 Kbps"
87,"Top > Architecture Lab",19,32,"21.65 MB","5.77 Kbps"
88,"Top > Sayre Hall",3,3,"16.57 MB","1.77 Kbps"
89,"Top > 199 Nassau St.",8,41,"15.76 MB","2.40 Kbps"
90,"Top > PU Press",8,60,"15.52 MB","0.35 Kbps"
91,"Top > Alexander Hall",11,41,"15.39 MB","1.09 Kbps"
92,"Top > Henry House",12,81,"14.48 MB","2.57 Kbps"
93,"Top > Forrestal Campus > Gas Dynamics",6,6,"13.51 MB","0.51 Kbps"
94,"Top > Shea Rowing Center",11,11,"12.24 MB","0.48 Kbps"
95,"Top > Princeton Stadium",6,32,"10.43 MB","0.12 Kbps"
96,"Top > 201 Nassau St.",8,58,"10.35 MB","0.74 Kbps"
97,"Top > Haaga House",3,25,"9.75 MB","1.49 Kbps"
98,"Top > Bendheim Center for Finance",14,110,"6.72 MB","0.42 Kbps"
99,"Top > 228 Alexander St.",10,26,"6.18 MB","0.30 Kbps"
100,"Top > 91 Prospect Ave.",9,21,"4.88 MB","0.29 Kbps"
101,"Top > 294 Alexander Street",5,23,"4.55 MB","0.32 Kbps"
102,"Top > 755 Alexander Rd.",13,13,"3.89 MB","0.09 Kbps"
103,"Top > 350 Alexander",6,41,"3.79 MB","1.01 Kbps"
104,"Top > Von Neumann Hall",10,19,"2.98 MB","0.27 Kbps"
105,"Top > Fitzrandolph Observatory",2,5,"1.96 MB","2.09 Kbps"
106,"Top > 5 Ivy Lane",5,8,"0.81 MB","0.05 Kbps"
107,"Top > Elementary Particles Lab",6,14,"0.71 MB","0.03 Kbps"
108,"Top > Cordish Family Pavilion",1,3,"0.24 MB","0.06 Kbps"
109,"Top > 4 Mercer",2,14,"0.21 MB","0.06 Kbps"
110,"Top > LCA",2,2,"0.21 MB","0.06 Kbps"
111,"Top > 1952 Field House",1,2,"0.12 MB","0.02 Kbps"
112,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
113,"Top > 16 Stockton St.",2,4,"0.08 MB","0.08 Kbps"
114,"Top > Clark Field",1,1,"0.01 MB","0.01 Kbps"
115,"Top > West Windsor Maintenance Yard",1,3,"0 MB","0 Kbps"
116,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
117,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
118,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
119,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
120,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
121,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
122,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
123,Top,0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
