Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Neuro-Institute-Psych",110,117,"13.41 GB","102.04 Kbps"
2,"Top > Engineering Quad > C Wing",28,35,"7.20 GB","249.97 Kbps"
3,"Top > Architecture Building",36,52,"5.67 GB","149.87 Kbps"
4,"Top > Engineering Quad > D Wing",26,31,"2.84 GB","73.27 Kbps"
5,"Top > Engineering Quad > E Wing",16,19,"2.53 GB","71.97 Kbps"
6,"Top > Engineering Quad > J Wing",20,20,"2.46 GB","71.93 Kbps"
7,"Top > 693 Alexander Rd.",25,25,"1.76 GB","47.79 Kbps"
8,"Top > 185 Nassau St.",18,36,"1.69 GB","18.99 Kbps"
9,"Top > Wallace Hall",28,31,"1.44 GB","43.23 Kbps"
10,"Top > McCosh Infirmary",49,59,"1.40 GB","21.85 Kbps"
11,"Top > Jadwin Hall",45,67,"1.33 GB","10.59 Kbps"
12,"Top > Frist Campus Center",77,96,"1.27 GB","12.05 Kbps"
13,"Top > Moffett-Schultz Laboratory",32,42,"1.25 GB","18.02 Kbps"
14,"Top > Eno Hall",11,13,"1.24 GB","138.26 Kbps"
15,"Top > Firestone Library",90,91,"982.75 MB","5.54 Kbps"
16,"Top > Fine Hall",30,57,"884.55 MB","8.93 Kbps"
17,"Top > DeNunzio Pool",33,49,"752.86 MB","44.03 Kbps"
18,"Top > Andlinger",36,37,"674.06 MB","10.40 Kbps"
19,"Top > Lowrie House",13,13,"650.62 MB","48.19 Kbps"
20,"Top > Jadwin Gym",26,40,"620.73 MB","8.96 Kbps"
21,"Top > Robertson Hall",30,50,"604.44 MB","9.33 Kbps"
22,"Top > 1879 Hall",30,74,"534.59 MB","13.50 Kbps"
23,"Top > Guyot Hall",55,78,"450.54 MB","3.58 Kbps"
24,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",5,14,"438.01 MB","28.63 Kbps"
25,"Top > 200 Elm Dr.",34,44,"437.28 MB","28.58 Kbps"
26,"Top > 306 Alexander",16,23,"386.07 MB","42.90 Kbps"
27,"Top > 22 Chambers St.",15,28,"383.15 MB","25.04 Kbps"
28,"Top > Carl Icahn",39,43,"381.91 MB","4.77 Kbps"
29,"Top > Frick Chemistry Laboratory",78,83,"341.58 MB","3.45 Kbps"
30,"Top > Dillon Gym",55,90,"314.56 MB","5.55 Kbps"
31,"Top > Elementary Particles Lab",8,18,"269.13 MB","13 Kbps"
32,"Top > McCarter Theater",23,60,"258.21 MB","3.77 Kbps"
33,"Top > Engineering Quad > B Wing",18,18,"234.99 MB","5.44 Kbps"
34,"Top > Shea Rowing Center",10,12,"230.62 MB","9.49 Kbps"
35,"Top > Palmer House",7,15,"218.22 MB","13.47 Kbps"
36,"Top > GBM-Trailer",7,15,"217.93 MB","34.59 Kbps"
37,"Top > East Pyne Building",34,75,"213.01 MB","3.70 Kbps"
38,"Top > 701 Carnegie",60,60,"203.72 MB","6.47 Kbps"
39,"Top > Woolworth Music Center",20,32,"181.45 MB","3.42 Kbps"
40,"Top > Sherrerd Hall",54,56,"165.94 MB","3.23 Kbps"
41,"Top > 294 Alexander Street",6,14,"165.19 MB","12.24 Kbps"
42,"Top > MacMillan Building",41,56,"148.64 MB","3.51 Kbps"
43,"Top > West College",16,19,"133.25 MB","4.11 Kbps"
44,"Top > Computer Science",39,46,"129.16 MB","2.93 Kbps"
45,"Top > Engineering Quad > G Wing",7,10,"105.35 MB","7.32 Kbps"
