Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Moffett-Schultz Laboratory",50,137,"19.07 GB","264.19 Kbps"
2,"Top > Engineering Quad > C Wing",40,86,"8.95 GB","298.48 Kbps"
3,"Top > Dillon Gym",99,245,"7.93 GB","134.34 Kbps"
4,"Top > Engineering Quad > D Wing",41,63,"6.19 GB","153.56 Kbps"
5,"Top > Engineering Quad > J Wing",29,50,"5.27 GB","147.86 Kbps"
6,"Top > Princeton Stadium",88,139,"5.05 GB","59.83 Kbps"
7,"Top > 701 Carnegie",110,117,"4.44 GB","135.23 Kbps"
8,"Top > Frist Campus Center",124,224,"4.30 GB","39.18 Kbps"
9,"Top > MacMillan Building",144,281,"4.24 GB","96.34 Kbps"
10,"Top > 755 Alexander Rd.",33,48,"4.09 GB","94.75 Kbps"
11,"Top > West Windsor Maintenance Yard",28,55,"4.05 GB","1.44 Mbps"
12,"Top > Jadwin Hall",74,215,"3.88 GB","29.54 Kbps"
13,"Top > Shea Rowing Center",63,85,"3.47 GB","137.25 Kbps"
14,"Top > Frick Chemistry Laboratory",112,171,"3.08 GB","29.90 Kbps"
15,"Top > Architecture Building",33,71,"2.83 GB","71.93 Kbps"
16,"Top > Firestone Library",162,188,"2.61 GB","14.15 Kbps"
17,"Top > Wallace Hall",40,49,"2.56 GB","73.68 Kbps"
18,"Top > Robertson Hall",37,94,"2.46 GB","36.50 Kbps"
19,"Top > Engineering Quad > E Wing",28,58,"2.45 GB","67.12 Kbps"
20,"Top > Neuro-Institute-Psych",130,152,"1.89 GB","13.79 Kbps"
21,"Top > Fine Hall",45,232,"1.74 GB","16.83 Kbps"
22,"Top > 20 Washington Road (Old Frick)",61,121,"1.71 GB","10.73 Kbps"
23,"Top > New South Building",57,164,"1.56 GB","42.74 Kbps"
24,"Top > Elementary Particles Lab",18,64,"1.47 GB","68.40 Kbps"
25,"Top > Sherrerd Hall",60,70,"1.47 GB","27.55 Kbps"
26,"Top > Dickinson Hall",27,91,"1.46 GB","40.89 Kbps"
27,"Top > 306 Alexander",40,111,"1.39 GB","148.56 Kbps"
28,"Top > 221 Nassau St.",31,83,"1.32 GB","93.77 Kbps"
29,"Top > Andlinger",55,74,"1.30 GB","19.27 Kbps"
30,"Top > 200 Elm Dr.",30,71,"1.23 GB","76.96 Kbps"
31,"Top > East Pyne Building",53,173,"1.21 GB","20.22 Kbps"
32,"Top > Jadwin Gym",74,125,"1.17 GB","16.23 Kbps"
33,"Top > McCosh Infirmary",53,111,"1.16 GB","17.43 Kbps"
34,"Top > 91 Prospect Ave.",11,27,"1.15 GB","68.20 Kbps"
35,"Top > Lowrie House",12,12,"1.14 GB","80.91 Kbps"
36,"Top > Guyot Hall",79,205,"1.12 GB","8.55 Kbps"
37,"Top > Engineering Quad > G Wing",20,30,"1.12 GB","74.76 Kbps"
38,"Top > Carl Icahn",64,150,"1.09 GB","13.12 Kbps"
39,"Top > DeNunzio Pool",34,65,"1.01 GB","56.64 Kbps"
40,"Top > 36 University Place",21,82,"951.09 MB","19.89 Kbps"
41,"Top > Prospect House",21,78,"940.95 MB","31.37 Kbps"
42,"Top > 185 Nassau St.",24,103,"913.57 MB","9.84 Kbps"
43,"Top > 58 Prospect",17,39,"862.18 MB","32.84 Kbps"
44,"Top > Engineering Quad > B Wing",30,50,"848.94 MB","18.87 Kbps"
45,"Top > Caldwell Field House",22,61,"848.21 MB","14.36 Kbps"
46,"Top > Thomas Laboratory",45,111,"834.43 MB","8.81 Kbps"
47,"Top > 87 Prospect",39,49,"803.80 MB","37.28 Kbps"
48,"Top > West College",22,46,"698.07 MB","20.68 Kbps"
49,"Top > 22 Chambers St.",18,30,"684.14 MB","42.93 Kbps"
50,"Top > Friend Center",12,18,"658 MB","13.76 Kbps"
51,"Top > 693 Alexander Rd.",35,39,"653.28 MB","17 Kbps"
52,"Top > Von Neumann Hall",17,35,"582.75 MB","51.80 Kbps"
53,"Top > Baker Rink",35,239,"568.28 MB","17.83 Kbps"
54,"Top > LCA",21,34,"557.72 MB","148.72 Kbps"
55,"Top > Bendheim Center for Finance",6,28,"536.39 MB","33.66 Kbps"
56,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",18,104,"496.13 MB","29.40 Kbps"
57,"Top > Haaga House",22,95,"472.30 MB","71.97 Kbps"
58,"Top > Computer Science",46,92,"452.13 MB","9.84 Kbps"
59,"Top > Dillon Court East/West",19,84,"406.73 MB","17.35 Kbps"
60,"Top > Engineering Quad > F Wing",14,41,"393.92 MB","35.02 Kbps"
61,"Top > Architecture Lab",24,134,"377.60 MB","100.69 Kbps"
62,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",16,87,"367.99 MB","23.09 Kbps"
63,"Top > Nassau Hall",30,110,"363.42 MB","5.70 Kbps"
64,"Top > McCosh Hall",28,97,"360.94 MB","9.63 Kbps"
65,"Top > Palmer House",11,30,"357.99 MB","21.21 Kbps"
66,"Top > Fisher-Bendheim-Corwin",17,53,"342.03 MB","6.63 Kbps"
67,"Top > Bowen Hall",16,26,"333.63 MB","6.14 Kbps"
68,"Top > Friend Center > Friend Center Event APs",4,8,"309.44 MB","36.67 Kbps"
69,"Top > 48 Unversity Place",17,48,"285.86 MB","13.26 Kbps"
70,"Top > GBM-Trailer",17,90,"262.43 MB","39.99 Kbps"
71,"Top > McDonnell Hall",16,35,"260.46 MB","8.17 Kbps"
72,"Top > 330 Alexander St.",23,52,"228.94 MB","9.77 Kbps"
73,"Top > Stanhope Hall",7,61,"219.26 MB","12.99 Kbps"
74,"Top > Hoyt Lab",11,40,"216.93 MB","6.43 Kbps"
75,"Top > Chapel",5,33,"216.19 MB","17.74 Kbps"
76,"Top > Princeton Station",18,104,"215.56 MB","32.85 Kbps"
77,"Top > Peyton Hall",29,98,"210.85 MB","3.31 Kbps"
78,"Top > 1879 Hall",33,151,"210.64 MB","5.11 Kbps"
79,"Top > Forrestal Campus > Recap",10,10,"175.87 MB","46.90 Kbps"
80,"Top > McCarter Theater",41,145,"151.98 MB","2.13 Kbps"
81,"Top > 194 Nassau St.",16,71,"147.73 MB","6.57 Kbps"
82,"Top > 199 Nassau St.",11,65,"147.55 MB","22.48 Kbps"
83,"Top > HPCRC - 151 Forrestal Rd.",1,1,"145.33 MB","6.46 Kbps"
84,"Top > Forrestal Campus > Gas Dynamics",12,13,"144.42 MB","5.50 Kbps"
85,"Top > Mudd Library",5,43,"135.34 MB","3.01 Kbps"
86,"Top > 179-183 Nassau St.",4,29,"133.27 MB","47.38 Kbps"
87,"Top > Lewis Science Library",28,34,"132.61 MB","2.95 Kbps"
88,"Top > Woolworth Music Center",21,52,"132.32 MB","2.39 Kbps"
89,"Top > Alexander Hall",13,38,"127.44 MB","9.06 Kbps"
90,"Top > Roberts Stadium",9,109,"120.03 MB","8.54 Kbps"
91,"Top > PU Press",27,61,"114.54 MB","2.60 Kbps"
92,"Top > 228 Alexander St.",23,53,"110.73 MB","5.37 Kbps"
93,"Top > Clio Hall",11,47,"98.07 MB","4.36 Kbps"
94,"Top > Engineering Quad > A Wing",21,29,"84.33 MB","3.60 Kbps"
95,"Top > 4 Mercer",3,11,"84.15 MB","22.44 Kbps"
96,"Top > 169 Nassau St.",11,49,"81.77 MB","29.07 Kbps"
97,"Top > Bobst Hall",7,20,"75.77 MB","3.51 Kbps"
98,"Top > 282 Alexander",14,153,"75.72 MB","11.54 Kbps"
99,"Top > Sayre Hall",9,11,"72.64 MB","7.75 Kbps"
100,"Top > Campus Club",8,84,"47.89 MB","2.69 Kbps"
101,"Top > 16 Stockton St.",6,22,"47.27 MB","50.42 Kbps"
102,"Top > Eno Hall",10,38,"43.34 MB","4.62 Kbps"
103,"Top > 294 Alexander Street",11,60,"30.02 MB","2.14 Kbps"
104,"Top > 201 Nassau St.",9,53,"27.74 MB","1.97 Kbps"
105,"Top > 1952 Field House",3,14,"27.71 MB","4.22 Kbps"
106,"Top > Jones Hall",15,62,"26.13 MB","0.84 Kbps"
107,"Top > 71 University Place",9,46,"22.50 MB","6 Kbps"
108,"Top > Maclean House",8,55,"22.17 MB","3.38 Kbps"
109,"Top > Fitzrandolph Observatory",4,25,"13.78 MB","14.70 Kbps"
110,"Top > Cordish Family Pavilion",2,9,"13.45 MB","3.59 Kbps"
111,"Top > Henry House",7,52,"3.43 MB","0.61 Kbps"
112,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",2,26,"2.61 MB","2.79 Kbps"
113,"Top > 5 Ivy Lane",4,11,"1.66 MB","0.11 Kbps"
114,"Top > 350 Alexander",5,44,"1.62 MB","0.43 Kbps"
115,"Top > Whig Hall",2,23,"1.03 MB","0.06 Kbps"
116,"Top > Charlton St Substation",1,1,"0.04 MB","0.04 Kbps"
117,"Top > Clark Field",1,1,"0 MB","0 Kbps"
118,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
119,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
120,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
121,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
122,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
123,Top,0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
