Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",920,1143,"148.37 GB","803.37 Kbps"
2,"Top > Frist Campus Center",567,1496,"85.47 GB","812.06 Kbps"
3,"Top > Neuro-Institute-Psych",404,521,"68.99 GB","504.06 Kbps"
4,"Top > Frick Chemistry Laboratory",414,537,"49.60 GB","519.58 Kbps"
5,"Top > 20 Washington Road (Old Frick)",398,774,"42.13 GB","264.35 Kbps"
6,"Top > Jadwin Hall",273,479,"40.02 GB","304.94 Kbps"
7,"Top > Guyot Hall",303,700,"34.84 GB","265.47 Kbps"
8,"Top > East Pyne Building",318,1157,"32.69 GB","544.88 Kbps"
9,"Top > Engineering Quad > E Wing",149,249,"29.78 GB","814.53 Kbps"
10,"Top > Dillon Gym",234,634,"28.44 GB","481.57 Kbps"
11,"Top > Computer Science",210,410,"28.23 GB","614.48 Kbps"
12,"Top > Carl Icahn",227,391,"27.14 GB","325.22 Kbps"
13,"Top > 701 Carnegie",316,357,"21.39 GB","708.72 Kbps"
14,"Top > Wallace Hall",196,319,"21.33 GB","614.90 Kbps"
15,"Top > McCosh Hall",110,481,"19.26 GB","513.56 Kbps"
16,"Top > Robertson Hall",255,623,"19.22 GB","296.63 Kbps"
17,"Top > Fine Hall",199,587,"18.65 GB","180.85 Kbps"
18,"Top > Architecture Building",147,368,"18.38 GB","466.67 Kbps"
19,"Top > Engineering Quad > J Wing",114,195,"18.34 GB","514.77 Kbps"
20,"Top > Thomas Laboratory",220,370,"18.18 GB","191.96 Kbps"
21,"Top > Lewis Science Library",149,209,"18 GB","400.02 Kbps"
22,"Top > Jadwin Gym",105,173,"17.93 GB","248.32 Kbps"
23,"Top > 693 Alexander Rd.",94,112,"17.50 GB","455.32 Kbps"
24,"Top > Engineering Quad > D Wing",140,197,"16.29 GB","404.16 Kbps"
25,"Top > Sherrerd Hall",177,262,"15.56 GB","291.20 Kbps"
26,"Top > 22 Chambers St.",93,137,"15.08 GB","946 Kbps"
27,"Top > Fisher-Bendheim-Corwin",132,424,"14.82 GB","287.33 Kbps"
28,"Top > Engineering Quad > C Wing",159,302,"14.30 GB","476.60 Kbps"
29,"Top > 221 Nassau St.",64,186,"14.24 GB","1.01 Mbps"
30,"Top > Friend Center",101,230,"12.53 GB","272.94 Kbps"
31,"Top > Peyton Hall",117,319,"12.46 GB","195.41 Kbps"
32,"Top > Woolworth Music Center",147,506,"11.46 GB","207.17 Kbps"
33,"Top > MacMillan Building",223,337,"11.15 GB","253.09 Kbps"
34,"Top > Moffett-Schultz Laboratory",137,312,"9.52 GB","131.94 Kbps"
35,"Top > Andlinger",118,194,"9.45 GB","139.93 Kbps"
36,"Top > McCosh Infirmary",193,545,"8.84 GB","132.88 Kbps"
37,"Top > Engineering Quad > B Wing",98,159,"8.32 GB","184.84 Kbps"
38,"Top > 58 Prospect",45,178,"7.86 GB","299.27 Kbps"
39,"Top > Dickinson Hall",69,398,"7.41 GB","207.90 Kbps"
40,"Top > Engineering Quad > F Wing",56,147,"5.87 GB","522.21 Kbps"
41,"Top > 185 Nassau St.",82,300,"5.87 GB","63.28 Kbps"
42,"Top > 87 Prospect",83,97,"5.84 GB","271.06 Kbps"
43,"Top > 228 Alexander St.",40,64,"5.65 GB","273.84 Kbps"
44,"Top > 36 University Place",116,386,"5.55 GB","115.99 Kbps"
45,"Top > Engineering Quad > A Wing",60,122,"5.51 GB","235.29 Kbps"
46,"Top > New South Building",202,423,"5.22 GB","142.90 Kbps"
47,"Top > 194 Nassau St.",56,217,"5.13 GB","228.01 Kbps"
48,"Top > 5 Ivy Lane",21,33,"4.82 GB","321.49 Kbps"
49,"Top > West College",101,190,"4.77 GB","141.28 Kbps"
50,"Top > 200 Elm Dr.",81,167,"4.69 GB","294.12 Kbps"
51,"Top > Hoyt Lab",70,152,"4.04 GB","119.75 Kbps"
52,"Top > Engineering Quad > G Wing",73,111,"4.03 GB","268.64 Kbps"
53,"Top > Prospect House",112,496,"3.99 GB","133.02 Kbps"
54,"Top > Jones Hall",112,446,"3.68 GB","123.83 Kbps"
55,"Top > Princeton Stadium",48,192,"3.60 GB","42.72 Kbps"
56,"Top > 1879 Hall",120,923,"3.37 GB","81.65 Kbps"
