Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",631,962,"112.85 GB","636.47 Kbps"
2,"Top > Frist Campus Center",437,1232,"92.16 GB","875.17 Kbps"
3,"Top > Lewis Science Library",208,325,"39.54 GB","915.27 Kbps"
4,"Top > Dillon Gym",194,743,"25.49 GB","449.52 Kbps"
5,"Top > Jadwin Hall",122,250,"24.02 GB","190.66 Kbps"
6,"Top > Frick Chemistry Laboratory",210,284,"23.14 GB","233.78 Kbps"
7,"Top > East Pyne Building",172,1231,"21.93 GB","380.65 Kbps"
8,"Top > 20 Washington Road (Old Frick)",196,489,"20.56 GB","134.40 Kbps"
9,"Top > Fine Hall",141,543,"18.85 GB","190.38 Kbps"
10,"Top > Neuro-Institute-Psych",173,216,"17.08 GB","129.98 Kbps"
11,"Top > Architecture Building",119,399,"17.06 GB","451.29 Kbps"
12,"Top > Wallace Hall",103,159,"13.07 GB","392.62 Kbps"
13,"Top > Engineering Quad > C Wing",74,211,"10.27 GB","356.53 Kbps"
14,"Top > Dickinson Hall",34,363,"9.78 GB","285.83 Kbps"
15,"Top > Carl Icahn",93,199,"9.55 GB","119.22 Kbps"
16,"Top > Engineering Quad > E Wing",60,154,"9.16 GB","260.93 Kbps"
17,"Top > Guyot Hall",107,504,"8.83 GB","70.04 Kbps"
18,"Top > 185 Nassau St.",54,349,"8.80 GB","98.77 Kbps"
19,"Top > Friend Center",58,119,"8.64 GB","188.23 Kbps"
20,"Top > Fisher-Bendheim-Corwin",105,330,"8.30 GB","167.67 Kbps"
21,"Top > Woolworth Music Center",124,623,"7.33 GB","138.07 Kbps"
22,"Top > Sherrerd Hall",97,141,"6.94 GB","135.33 Kbps"
23,"Top > 36 University Place",88,649,"6.64 GB","144.68 Kbps"
24,"Top > Moffett-Schultz Laboratory",54,218,"6.24 GB","89.98 Kbps"
25,"Top > Computer Science",83,237,"6.17 GB","139.88 Kbps"
26,"Top > Engineering Quad > F Wing",56,147,"6.06 GB","560.82 Kbps"
27,"Top > 1879 Hall",94,915,"5.83 GB","147.28 Kbps"
28,"Top > Roberts Stadium",141,439,"5.75 GB","425.70 Kbps"
29,"Top > Robertson Hall",59,396,"5.38 GB","83.10 Kbps"
30,"Top > 58 Prospect",43,128,"5.32 GB","211.14 Kbps"
31,"Top > 693 Alexander Rd.",26,26,"4.80 GB","130.16 Kbps"
32,"Top > McCarter Theater",148,525,"4.71 GB","68.88 Kbps"
33,"Top > Thomas Laboratory",57,257,"3.99 GB","43.91 Kbps"
34,"Top > Engineering Quad > D Wing",41,93,"3.98 GB","102.87 Kbps"
35,"Top > Chapel",46,613,"3.77 GB","322.63 Kbps"
36,"Top > Bobst Hall",12,34,"3.40 GB","164.13 Kbps"
37,"Top > Engineering Quad > J Wing",37,62,"3.39 GB","99.17 Kbps"
38,"Top > Engineering Quad > B Wing",40,91,"3.24 GB","75.09 Kbps"
39,"Top > 701 Carnegie",59,60,"3.24 GB","102.82 Kbps"
40,"Top > McCosh Hall",44,463,"3.20 GB","88.93 Kbps"
41,"Top > Bowen Hall",15,24,"3.11 GB","59.63 Kbps"
42,"Top > Peyton Hall",40,190,"3.02 GB","49.38 Kbps"
43,"Top > Andlinger",84,135,"2.98 GB","45.95 Kbps"
44,"Top > Campus Club",38,379,"2.91 GB","170.17 Kbps"
45,"Top > Jadwin Gym",45,88,"2.51 GB","36.23 Kbps"
46,"Top > Caldwell Field House",23,61,"2.48 GB","43.81 Kbps"
47,"Top > Shea Rowing Center",88,129,"2.46 GB","101.21 Kbps"
48,"Top > Prospect House",60,661,"2.29 GB","79.62 Kbps"
49,"Top > Engineering Quad > A Wing",33,63,"2.16 GB","95.96 Kbps"
50,"Top > Friend Center > Friend Center Event APs",32,71,"2.11 GB","261.01 Kbps"
51,"Top > New South Building",80,259,"1.91 GB","54.56 Kbps"
52,"Top > DeNunzio Pool",15,46,"1.72 GB","100.81 Kbps"
53,"Top > Jones Hall",32,468,"1.71 GB","57.68 Kbps"
54,"Top > Architecture Lab",29,98,"1.63 GB","452.78 Kbps"
55,"Top > Whig Hall",30,345,"1.46 GB","85.32 Kbps"
56,"Top > 221 Nassau St.",40,222,"1.37 GB","101.65 Kbps"
57,"Top > Hoyt Lab",21,125,"1.30 GB","40.18 Kbps"
58,"Top > 48 Unversity Place",54,376,"1.23 GB","59.33 Kbps"
59,"Top > 179-183 Nassau St.",35,205,"911.44 MB","337.57 Kbps"
60,"Top > Engineering Quad > G Wing",19,29,"865.57 MB","60.11 Kbps"
61,"Top > McDonnell Hall",17,65,"854.88 MB","27.94 Kbps"
62,"Top > 200 Elm Dr.",32,120,"774.61 MB","50.63 Kbps"
63,"Top > Maclean House",39,530,"712.96 MB","113.17 Kbps"
64,"Top > McCosh Infirmary",62,384,"686.50 MB","10.74 Kbps"
65,"Top > Nassau Hall",52,691,"625.82 MB","10.23 Kbps"
66,"Top > 22 Chambers St.",23,121,"621.22 MB","40.60 Kbps"
67,"Top > Eno Hall",20,115,"589.91 MB","65.55 Kbps"
68,"Top > MacMillan Building",59,118,"555.86 MB","13.14 Kbps"
69,"Top > 330 Alexander St.",19,76,"520.72 MB","23.14 Kbps"
70,"Top > Baker Rink",38,346,"484.46 MB","15.83 Kbps"
71,"Top > 4 Mercer",11,92,"397.83 MB","110.51 Kbps"
72,"Top > 306 Alexander",22,133,"382.77 MB","42.53 Kbps"
73,"Top > Princeton Station",23,195,"382.31 MB","60.68 Kbps"
74,"Top > Palmer House",12,72,"329.35 MB","20.33 Kbps"
75,"Top > 282 Alexander",21,334,"325.14 MB","51.61 Kbps"
76,"Top > Elementary Particles Lab",14,61,"282.15 MB","13.63 Kbps"
77,"Top > Stanhope Hall",19,350,"274.44 MB","16.94 Kbps"
78,"Top > 194 Nassau St.",22,222,"233.29 MB","10.80 Kbps"
79,"Top > 87 Prospect",26,30,"218.34 MB","10.55 Kbps"
80,"Top > Dillon Court East/West",45,355,"203.74 MB","9.06 Kbps"
81,"Top > PU Press",12,130,"199.60 MB","4.72 Kbps"
82,"Top > Clio Hall",29,301,"174.29 MB","8.07 Kbps"
83,"Top > West College",31,275,"164.52 MB","5.08 Kbps"
84,"Top > Cordish Family Pavilion",8,41,"153.80 MB","42.72 Kbps"
85,"Top > Lowrie House",12,13,"153.78 MB","11.39 Kbps"
86,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",11,45,"147.46 MB","9.64 Kbps"
87,"Top > Princeton Stadium",12,102,"144.67 MB","1.79 Kbps"
88,"Top > 169 Nassau St.",29,302,"139.40 MB","51.63 Kbps"
89,"Top > GBM-Trailer",12,127,"137.55 MB","21.83 Kbps"
90,"Top > Henry House",27,360,"126.84 MB","23.49 Kbps"
91,"Top > Bendheim Center for Finance",11,114,"123.95 MB","8.10 Kbps"
92,"Top > 201 Nassau St.",15,215,"100.92 MB","7.48 Kbps"
93,"Top > 16 Stockton St.",8,54,"96.86 MB","107.62 Kbps"
94,"Top > 71 University Place",13,175,"87.17 MB","24.21 Kbps"
95,"Top > Haaga House",10,92,"80.65 MB","12.80 Kbps"
96,"Top > Alexander Hall",18,147,"73.99 MB","5.48 Kbps"
97,"Top > Forrestal Campus > Gas Dynamics",6,7,"57.65 MB","2.29 Kbps"
98,"Top > 1952 Field House",5,39,"55.65 MB","8.83 Kbps"
99,"Top > 350 Alexander",15,144,"53.50 MB","14.86 Kbps"
100,"Top > Von Neumann Hall",11,24,"47.83 MB","4.43 Kbps"
101,"Top > 755 Alexander Rd.",15,19,"37.60 MB","0.91 Kbps"
102,"Top > Mudd Library",6,90,"31.91 MB","0.74 Kbps"
103,"Top > 199 Nassau St.",11,102,"31.89 MB","5.06 Kbps"
104,"Top > 294 Alexander Street",9,50,"30.49 MB","2.26 Kbps"
105,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",11,59,"23.38 MB","1.44 Kbps"
106,"Top > West Windsor Maintenance Yard",2,9,"20.41 MB","7.56 Kbps"
107,"Top > 228 Alexander St.",12,55,"15.43 MB","0.78 Kbps"
108,"Top > Sayre Hall",4,4,"13.78 MB","1.53 Kbps"
109,"Top > LCA",4,5,"6.53 MB","1.81 Kbps"
110,"Top > 5 Ivy Lane",5,16,"4.75 MB","0.33 Kbps"
111,"Top > 91 Prospect Ave.",10,34,"4.45 MB","0.27 Kbps"
112,"Top > Fitzrandolph Observatory",2,9,"4.35 MB","4.83 Kbps"
113,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",1,8,"3.89 MB","4.32 Kbps"
114,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
115,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
116,"Top > HPCRC - 151 Forrestal Rd.",0,0,"0 MB","0 Kbps"
117,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
118,"Top > Charlton St Substation",0,0,"0 MB","0 Kbps"
119,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
120,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
121,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
122,Top,0,0,"0 MB","0 Kbps"
123,"Top > Clark Field",0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
