Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Frist Campus Center",880,2004,"105.59 GB","1 Mbps"
2,"Top > Firestone Library",554,900,"72.96 GB","411.49 Kbps"
3,"Top > Neuro-Institute-Psych",424,580,"67.13 GB","510.86 Kbps"
4,"Top > Computer Science",242,630,"45.98 GB","1.04 Mbps"
5,"Top > Frick Chemistry Laboratory",507,773,"44.17 GB","449.83 Kbps"
6,"Top > 20 Washington Road (Old Frick)",405,808,"36.54 GB","238.85 Kbps"
7,"Top > Guyot Hall",329,655,"36.03 GB","285.96 Kbps"
8,"Top > Jadwin Hall",342,684,"35.36 GB","280.60 Kbps"
9,"Top > Lewis Science Library",245,431,"34.06 GB","788.53 Kbps"
10,"Top > Friend Center",260,561,"33.11 GB","721.44 Kbps"
11,"Top > Fine Hall",287,923,"29.08 GB","293.76 Kbps"
12,"Top > East Pyne Building",397,1094,"28.32 GB","491.68 Kbps"
13,"Top > Robertson Hall",310,798,"28.25 GB","435.88 Kbps"
14,"Top > Engineering Quad > D Wing",163,222,"28.03 GB","724.40 Kbps"
15,"Top > Engineering Quad > J Wing",95,192,"25.15 GB","735.25 Kbps"
16,"Top > Moffett-Schultz Laboratory",208,399,"24.93 GB","359.67 Kbps"
17,"Top > Engineering Quad > C Wing",165,432,"23.51 GB","816.34 Kbps"
18,"Top > Carl Icahn",271,568,"23.28 GB","290.70 Kbps"
19,"Top > Wallace Hall",146,290,"22.52 GB","676.26 Kbps"
20,"Top > Architecture Building",138,525,"21.42 GB","566.57 Kbps"
21,"Top > Engineering Quad > E Wing",148,316,"19.02 GB","541.77 Kbps"
22,"Top > 701 Carnegie",301,347,"19.01 GB","616.17 Kbps"
23,"Top > Dillon Gym",205,522,"18.51 GB","326.43 Kbps"
24,"Top > MacMillan Building",228,329,"18.33 GB","433.29 Kbps"
25,"Top > Thomas Laboratory",291,569,"17.82 GB","196.01 Kbps"
26,"Top > Andlinger",131,235,"14.57 GB","224.87 Kbps"
27,"Top > Peyton Hall",133,260,"14.34 GB","234.24 Kbps"
28,"Top > Sherrerd Hall",154,330,"14.05 GB","273.84 Kbps"
29,"Top > Jadwin Gym",111,177,"14.04 GB","202.61 Kbps"
30,"Top > McCarter Theater",145,323,"12.42 GB","181.61 Kbps"
31,"Top > 87 Prospect",97,119,"11.68 GB","564.17 Kbps"
32,"Top > Engineering Quad > F Wing",63,183,"10.74 GB","994.53 Kbps"
33,"Top > Engineering Quad > A Wing",89,196,"10.71 GB","475.88 Kbps"
