Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",340,414,"37.81 GB","204.75 Kbps"
2,"Top > Jadwin Hall",83,132,"36.43 GB","277.56 Kbps"
3,"Top > Frick Chemistry Laboratory",107,121,"27.83 GB","269.86 Kbps"
4,"Top > Frist Campus Center",266,1110,"25.73 GB","234.59 Kbps"
5,"Top > Neuro-Institute-Psych",132,152,"20.90 GB","152.69 Kbps"
6,"Top > Architecture Building",93,362,"19.04 GB","483.67 Kbps"
7,"Top > Dillon Gym",129,427,"18.19 GB","308.06 Kbps"
8,"Top > Lewis Science Library",104,144,"12.32 GB","273.84 Kbps"
9,"Top > Fine Hall",75,290,"9.02 GB","87.47 Kbps"
10,"Top > East Pyne Building",148,567,"8.15 GB","135.80 Kbps"
11,"Top > Sherrerd Hall",72,96,"8.04 GB","150.43 Kbps"
12,"Top > 693 Alexander Rd.",26,27,"5.70 GB","148.41 Kbps"
13,"Top > Hoyt Lab",17,63,"5.07 GB","150.11 Kbps"
14,"Top > Friend Center > Friend Center Event APs",15,21,"4.87 GB","577.65 Kbps"
15,"Top > Carl Icahn",65,106,"4.75 GB","56.90 Kbps"
16,"Top > Engineering Quad > F Wing",43,112,"4.09 GB","363.22 Kbps"
17,"Top > Computer Science",60,156,"3.89 GB","84.60 Kbps"
18,"Top > Thomas Laboratory",43,157,"3.73 GB","39.35 Kbps"
19,"Top > Engineering Quad > C Wing",61,151,"3.70 GB","123.19 Kbps"
20,"Top > Engineering Quad > E Wing",33,76,"3.38 GB","92.47 Kbps"
21,"Top > McCarter Theater",295,517,"3.28 GB","46.07 Kbps"
22,"Top > Chapel",22,286,"3.21 GB","263.38 Kbps"
23,"Top > 701 Carnegie",59,60,"3.07 GB","93.68 Kbps"
24,"Top > Wallace Hall",42,59,"3.03 GB","87.32 Kbps"
25,"Top > Engineering Quad > B Wing",33,64,"3 GB","66.64 Kbps"
26,"Top > Campus Club",53,676,"2.79 GB","156.53 Kbps"
27,"Top > McCosh Hall",38,281,"2.71 GB","72.21 Kbps"
28,"Top > Engineering Quad > J Wing",34,59,"2.52 GB","70.60 Kbps"
29,"Top > 20 Washington Road (Old Frick)",57,211,"2.27 GB","14.22 Kbps"
30,"Top > 200 Elm Dr.",34,85,"2 GB","125.18 Kbps"
31,"Top > Fisher-Bendheim-Corwin",40,217,"1.91 GB","37 Kbps"
32,"Top > 1879 Hall",148,1300,"1.90 GB","46.02 Kbps"
33,"Top > McCosh Infirmary",70,416,"1.84 GB","27.63 Kbps"
34,"Top > Friend Center",25,34,"1.58 GB","33.01 Kbps"
35,"Top > Robertson Hall",68,895,"1.54 GB","22.84 Kbps"
36,"Top > 36 University Place",46,348,"1.46 GB","30.50 Kbps"
37,"Top > Prospect House",56,653,"1.45 GB","48.39 Kbps"
38,"Top > Guyot Hall",73,305,"1.36 GB","10.35 Kbps"
39,"Top > Engineering Quad > D Wing",40,72,"1.10 GB","27.39 Kbps"
40,"Top > Palmer House",9,23,"1.09 GB","64.67 Kbps"
41,"Top > Woolworth Music Center",85,694,"1.07 GB","19.27 Kbps"
42,"Top > 221 Nassau St.",33,133,"851.86 MB","60.58 Kbps"
43,"Top > Alexander Hall",16,70,"837.92 MB","59.59 Kbps"
44,"Top > 48 Unversity Place",27,203,"816.17 MB","37.85 Kbps"
45,"Top > 330 Alexander St.",16,37,"794.66 MB","33.91 Kbps"
46,"Top > Andlinger",37,51,"767.13 MB","11.36 Kbps"
47,"Top > Moffett-Schultz Laboratory",41,136,"751.37 MB","10.41 Kbps"
48,"Top > Eno Hall",22,86,"719.46 MB","76.74 Kbps"
49,"Top > Lowrie House",13,13,"674.49 MB","47.96 Kbps"
50,"Top > 87 Prospect",27,28,"619.30 MB","28.72 Kbps"
51,"Top > 185 Nassau St.",34,164,"594.77 MB","6.41 Kbps"
52,"Top > Jadwin Gym",18,21,"476.96 MB","6.61 Kbps"
53,"Top > McDonnell Hall",14,23,"443.20 MB","13.90 Kbps"
54,"Top > Jones Hall",43,591,"407.70 MB","13.18 Kbps"
55,"Top > Architecture Lab",21,26,"407.45 MB","108.65 Kbps"
56,"Top > Nassau Hall",30,256,"400.80 MB","6.29 Kbps"
57,"Top > 58 Prospect",21,146,"392.87 MB","14.97 Kbps"
58,"Top > 179-183 Nassau St.",13,77,"351.95 MB","125.14 Kbps"
59,"Top > 71 University Place",11,118,"343.69 MB","91.65 Kbps"
60,"Top > Princeton Stadium",10,33,"330.07 MB","3.91 Kbps"
61,"Top > Stanhope Hall",12,118,"296.74 MB","17.58 Kbps"
62,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",9,15,"289.72 MB","18.18 Kbps"
63,"Top > 22 Chambers St.",17,40,"278.48 MB","17.47 Kbps"
64,"Top > Peyton Hall",33,106,"212.86 MB","3.34 Kbps"
65,"Top > Roberts Stadium",11,64,"195.13 MB","13.88 Kbps"
66,"Top > Baker Rink",31,239,"189.96 MB","5.96 Kbps"
67,"Top > MacMillan Building",41,56,"171 MB","3.88 Kbps"
68,"Top > Princeton Station",17,134,"162.07 MB","24.70 Kbps"
69,"Top > Engineering Quad > A Wing",23,21,"159.96 MB","6.82 Kbps"
70,"Top > 194 Nassau St.",19,110,"131.16 MB","5.83 Kbps"
71,"Top > Elementary Particles Lab",9,12,"130.31 MB","6.04 Kbps"
72,"Top > Dillon Court East/West",28,234,"108.19 MB","4.62 Kbps"
73,"Top > 169 Nassau St.",21,116,"98.51 MB","35.03 Kbps"
74,"Top > New South Building",46,157,"94.29 MB","2.58 Kbps"
75,"Top > DeNunzio Pool",1,1,"88.33 MB","4.96 Kbps"
76,"Top > Clio Hall",22,196,"85.79 MB","3.81 Kbps"
77,"Top > Henry House",10,77,"81.17 MB","14.43 Kbps"
78,"Top > Fitzrandolph Observatory",5,8,"75.91 MB","80.97 Kbps"
79,"Top > Shea Rowing Center",14,14,"61.49 MB","2.43 Kbps"
80,"Top > 282 Alexander",9,82,"54.75 MB","8.34 Kbps"
