Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",532,711,"87.74 GB","475.08 Kbps"
2,"Top > Computer Science",88,275,"36.45 GB","793.54 Kbps"
3,"Top > Lewis Science Library",167,242,"35.43 GB","787.35 Kbps"
4,"Top > Frist Campus Center",253,1341,"32.95 GB","300.38 Kbps"
5,"Top > Architecture Building",108,560,"27.67 GB","702.75 Kbps"
6,"Top > Campus Club",533,2340,"26.27 GB","1.47 Mbps"
7,"Top > Robertson Hall",310,1991,"25.09 GB","371.64 Kbps"
8,"Top > Jadwin Hall",117,203,"22.95 GB","174.88 Kbps"
9,"Top > Neuro-Institute-Psych",154,197,"22.52 GB","164.50 Kbps"
10,"Top > 20 Washington Road (Old Frick)",155,649,"21.55 GB","135.22 Kbps"
11,"Top > Friend Center",150,223,"20.26 GB","423.78 Kbps"
12,"Top > Frick Chemistry Laboratory",157,208,"18.48 GB","179.21 Kbps"
13,"Top > Carl Icahn",92,158,"16.44 GB","197.06 Kbps"
14,"Top > Wallace Hall",100,145,"16.15 GB","465.71 Kbps"
15,"Top > Fisher-Bendheim-Corwin",252,1116,"15.11 GB","293.02 Kbps"
16,"Top > Dillon Gym",113,372,"13.45 GB","227.66 Kbps"
17,"Top > Engineering Quad > C Wing",52,218,"12.13 GB","404.20 Kbps"
18,"Top > Peyton Hall",35,164,"11.58 GB","181.71 Kbps"
19,"Top > Engineering Quad > E Wing",59,154,"11.06 GB","302.42 Kbps"
20,"Top > Engineering Quad > F Wing",45,139,"10.81 GB","960.74 Kbps"
21,"Top > Fine Hall",85,401,"8.91 GB","86.39 Kbps"
22,"Top > Sherrerd Hall",96,129,"8.24 GB","154.13 Kbps"
23,"Top > East Pyne Building",84,689,"7.36 GB","122.63 Kbps"
24,"Top > 1879 Hall",239,2194,"6.70 GB","162.32 Kbps"
25,"Top > Engineering Quad > J Wing",44,69,"6.62 GB","185.84 Kbps"
26,"Top > Guyot Hall",92,450,"6.32 GB","48.13 Kbps"
27,"Top > Moffett-Schultz Laboratory",61,213,"4.86 GB","67.37 Kbps"
28,"Top > Bendheim Center for Finance",384,2312,"4.69 GB","294.57 Kbps"
29,"Top > Woolworth Music Center",62,797,"4.61 GB","83.36 Kbps"
30,"Top > Thomas Laboratory",60,192,"4.56 GB","48.21 Kbps"
31,"Top > Bobst Hall",16,67,"4.11 GB","190.76 Kbps"
32,"Top > Andlinger",43,79,"3.89 GB","57.64 Kbps"
33,"Top > McCosh Infirmary",75,443,"3.86 GB","58.02 Kbps"
34,"Top > Jadwin Gym",53,89,"3.52 GB","48.73 Kbps"
35,"Top > Alexander Hall",125,209,"3.29 GB","234.09 Kbps"
36,"Top > McCarter Theater",101,355,"3.05 GB","42.87 Kbps"
37,"Top > 185 Nassau St.",53,288,"3.01 GB","32.43 Kbps"
38,"Top > Engineering Quad > D Wing",50,85,"2.58 GB","63.93 Kbps"
39,"Top > Hoyt Lab",20,122,"2.17 GB","64.24 Kbps"
40,"Top > Lowrie House",12,12,"2.17 GB","154.05 Kbps"
41,"Top > Chapel",34,360,"2.15 GB","176.29 Kbps"
42,"Top > Shea Rowing Center",15,27,"2.14 GB","84.44 Kbps"
43,"Top > 221 Nassau St.",37,177,"2 GB","142.31 Kbps"
44,"Top > Engineering Quad > G Wing",16,25,"1.98 GB","131.81 Kbps"
45,"Top > Prospect House",51,662,"1.81 GB","60.21 Kbps"
46,"Top > Engineering Quad > B Wing",34,75,"1.73 GB","38.54 Kbps"
47,"Top > 693 Alexander Rd.",27,28,"1.69 GB","44.05 Kbps"
48,"Top > 179-183 Nassau St.",24,158,"1.66 GB","591.73 Kbps"
49,"Top > 36 University Place",44,303,"1.19 GB","24.85 Kbps"
50,"Top > 701 Carnegie",62,62,"1.11 GB","33.83 Kbps"
51,"Top > Eno Hall",31,161,"1.09 GB","115.91 Kbps"
52,"Top > 58 Prospect",170,653,"1.05 GB","40.18 Kbps"
53,"Top > Jones Hall",42,584,"1.05 GB","33.90 Kbps"
54,"Top > 71 University Place",11,106,"976.26 MB","260.34 Kbps"
55,"Top > Nassau Hall",41,407,"975.47 MB","15.30 Kbps"
56,"Top > Engineering Quad > A Wing",21,37,"908.59 MB","38.77 Kbps"
57,"Top > McCosh Hall",90,593,"815.09 MB","21.74 Kbps"
58,"Top > Friend Center > Friend Center Event APs",13,92,"810.44 MB","96.05 Kbps"
59,"Top > Dickinson Hall",31,350,"774.65 MB","21.74 Kbps"
60,"Top > 306 Alexander",19,81,"727.17 MB","77.56 Kbps"
61,"Top > Princeton Station",14,97,"691.28 MB","105.34 Kbps"
62,"Top > McDonnell Hall",14,40,"667.95 MB","20.96 Kbps"
63,"Top > Elementary Particles Lab",15,49,"535.44 MB","24.83 Kbps"
64,"Top > 5 Ivy Lane",9,36,"535.26 MB","35.68 Kbps"
65,"Top > 330 Alexander St.",18,52,"400.03 MB","17.07 Kbps"
66,"Top > Maclean House",21,250,"394.03 MB","60.04 Kbps"
67,"Top > Bowen Hall",19,49,"358.44 MB","6.59 Kbps"
68,"Top > 22 Chambers St.",21,76,"339.69 MB","21.31 Kbps"
69,"Top > PU Press",19,131,"321.40 MB","7.29 Kbps"
70,"Top > Stanhope Hall",15,227,"264.74 MB","15.69 Kbps"
71,"Top > Clio Hall",18,179,"261.76 MB","11.63 Kbps"
72,"Top > Sayre Hall",8,8,"246.50 MB","26.29 Kbps"
73,"Top > 91 Prospect Ave.",12,34,"227.80 MB","13.50 Kbps"
74,"Top > DeNunzio Pool",17,38,"215.47 MB","12.10 Kbps"
75,"Top > Palmer House",16,72,"213.13 MB","12.63 Kbps"
76,"Top > Architecture Lab",23,77,"204.17 MB","54.44 Kbps"
77,"Top > 200 Elm Dr.",30,64,"200.43 MB","12.58 Kbps"
78,"Top > 194 Nassau St.",29,185,"191.44 MB","8.51 Kbps"
79,"Top > Princeton Stadium",11,74,"175.77 MB","2.08 Kbps"
80,"Top > Baker Rink",23,157,"174.92 MB","5.49 Kbps"
81,"Top > MacMillan Building",45,54,"159.91 MB","3.63 Kbps"
82,"Top > 282 Alexander",18,195,"157.17 MB","23.95 Kbps"
83,"Top > Forrestal Campus > Gas Dynamics",8,8,"151.56 MB","5.77 Kbps"
84,"Top > Von Neumann Hall",12,23,"151.46 MB","13.46 Kbps"
85,"Top > Dillon Court East/West",37,252,"134.99 MB","5.76 Kbps"
86,"Top > Whig Hall",11,182,"131.34 MB","7.37 Kbps"
87,"Top > 169 Nassau St.",18,210,"129.61 MB","46.08 Kbps"
88,"Top > Roberts Stadium",11,107,"122.33 MB","8.70 Kbps"
89,"Top > 48 Unversity Place",19,128,"121.77 MB","5.65 Kbps"
90,"Top > GBM-Trailer",8,59,"120.98 MB","18.43 Kbps"
91,"Top > 199 Nassau St.",11,112,"92.97 MB","14.17 Kbps"
92,"Top > Henry House",24,223,"64.72 MB","11.51 Kbps"
93,"Top > West College",22,125,"48.02 MB","1.42 Kbps"
94,"Top > Caldwell Field House",15,46,"46.11 MB","0.78 Kbps"
95,"Top > Mudd Library",10,117,"43 MB","0.96 Kbps"
96,"Top > Chilled Water-CoGen-ElmSubStation > Chilled Water Plant",7,23,"42.39 MB","2.51 Kbps"
97,"Top > 87 Prospect",27,31,"39.38 MB","1.83 Kbps"
98,"Top > New South Building",41,123,"35.99 MB","0.98 Kbps"
99,"Top > 1952 Field House",3,11,"34.20 MB","5.21 Kbps"
100,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",8,19,"29.44 MB","1.85 Kbps"
101,"Top > 350 Alexander",13,107,"23.82 MB","6.35 Kbps"
102,"Top > Haaga House",20,92,"21.65 MB","3.30 Kbps"
103,"Top > 201 Nassau St.",12,127,"20.14 MB","1.43 Kbps"
104,"Top > 228 Alexander St.",11,26,"17.44 MB","0.85 Kbps"
105,"Top > 755 Alexander Rd.",14,14,"14.54 MB","0.34 Kbps"
106,"Top > 294 Alexander Street",9,73,"13.38 MB","0.95 Kbps"
107,"Top > 16 Stockton St.",4,35,"6.64 MB","7.08 Kbps"
108,"Top > 4 Mercer",4,18,"2.48 MB","0.66 Kbps"
109,"Top > Cordish Family Pavilion",2,12,"0.74 MB","0.20 Kbps"
110,"Top > LCA",2,2,"0.17 MB","0.04 Kbps"
111,"Top > Forrestal Campus > Recap",1,1,"0.09 MB","0.02 Kbps"
112,"Top > Charlton St Substation",0,3,"0.02 MB","0.02 Kbps"
113,"Top > HPCRC - 151 Forrestal Rd.",0,1,"0.02 MB","0 Kbps"
114,"Top > West Windsor Maintenance Yard",2,5,"0.01 MB","0.01 Kbps"
115,"Top > Clark Field",1,1,"0.01 MB","0.01 Kbps"
116,"Top > Fitzrandolph Observatory",0,1,"0.01 MB","0.01 Kbps"
117,"Top > Chilled Water-CoGen-ElmSubStation > Elm Drive Sub Station",0,1,"0 MB","0 Kbps"
118,"Top > Dodge Hall",4,4,"0 MB","0 Kbps"
119,"Top > Aaron Burr",4,4,"0 MB","0 Kbps"
120,"Top > 171 Broadmead St.",0,0,"0 MB","0 Kbps"
121,"Top > 262 Alexander St.",2,2,"0 MB","0 Kbps"
122,"Top > Forrestal Campus > PUAM-SF",0,0,"0 MB","0 Kbps"
123,Top,0,0,"0 MB","0 Kbps"
124,"Top > Scheide Caldwell House",2,2,"0 MB","0 Kbps"
125,"Top > Center for Jewish Life",1,1,"0 MB","0 Kbps"
126,"Top > Forrestal Campus > Printing Services",0,0,"0 MB","0 Kbps"
127,"Top > Murray-Dodge",2,2,"0 MB","0 Kbps"
128,"Top > 26 College Road West",0,0,"0 MB","0 Kbps"
129,"Top > Green Hall",0,0,"0 MB","0 Kbps"
130,"Top > 34-Chambers",5,5,"0 MB","0 Kbps"
131,"Top > McCormick Hall",2,2,"0 MB","0 Kbps"
